title,author,year_written,year_printed,publication_place,publisher,publisher_place,printer,printer_place,transkribus_doc_id,transkribus_collection_id,transkribus_url,transkribus_ready,folder,rafe,vocalization_position,speakers_stage_vocalized,notes,polona_item_id,library,library_signature,record_no,alt_titles,physical_description,author_certainty,author_source
Mishke Mashke,Joseph Lateiner,1892,1911,Warsaw,"Farlag ""Kultur"" (Dzika 13)",Warsaw,F. Baumritter (Warsaw),,828537,2372172,https://app.transkribus.org/collection/2372172/doc/828537,done?,MishkeMashke-Kultur1910,,,,"Hebrew date תרע״א (5671) = 1910/1911; title page also bears Russian imprint ""Книжный магазинъ Культура, Варшава, Дзикая № 13""; price 20 kop.",558155,Biblioteka Narodowa (Polona),II 65.675,b1676484,Evropejcy v Amerikě (ru),"[2], 33 s. ; 22 cm",certain,"title page p.1: ""לאטַיינֶער."""
Der Mann untern Tisch,Joseph Lateiner,,1911,Warsaw,"""Teater bibliyotek""",,Druk ha-Tsfira (Panska 40),Warsaw,817462,2372172,https://app.transkribus.org/collection/2372172/doc/817462,done,DerManUnterTiff,yes,syllables,no,"already in DraCor; Hebrew date תרעא (5671) = 1910/1911; no publisher named on title page, only printer",89746599,Biblioteka Narodowa (Polona),45.590,b0000002023772,Człowiek pod stołem (pl),16 s. ; 20 cm,certain,"title page p.1: ""פֿון י. לאָטיינער"""
Yudale der Blinder,Joseph Lateiner,,1908,Przemyśl,Amkroyt un Fraynd,,,,828539,2372172,https://app.transkribus.org/collection/2372172/doc/828539,not_yet,"Yudale_der_blinder,_Emkroyt1908",no,consonants,no,RA-corrected pp.5-9,98066001,Biblioteka Narodowa (Polona),63.347,b0000002022264,Ślepy Juda czyli prawda i fałsz (pl),64 s. ; 25 cm,certain,"title page p.3: ""יוסֵף לאטַיינֶער."""
Di Seder Nakht,Joseph Lateiner,,1908,Przemyśl,Amkroyt et Freund Buchhandlung,Przemyśl,,,828503,2372172,https://app.transkribus.org/collection/2372172/doc/828503,not_yet,Di_seyder_nakht_Emkroyt_1908,no,mixed,no,RA-corrected pp.1-4; speakers+stage-dirs neither vocalized nor tagged; music by Frissel,98063259,Biblioteka Narodowa (Polona),63.166,b0000002022235,Noc paschalna (pl),"67, [1] s. ; 25 cm",certain,"title page p.3: ""יאזעף לאטיינער"""
Ezra,Joseph Lateiner,,1908,Przemyśl,Amkroyt un Fraynd,,,,828481,2372172,https://app.transkribus.org/collection/2372172/doc/828481,not_yet,Ezra-Emkroyt1908,,,,,557501,Biblioteka Narodowa (Polona),II 63.171,b0000002022241,Ezdrasz wieczny Żyd (pl),68 s. ; 25 cm,certain,"title page p.3: ""יאָזעף לאטיינער"""
Blimele (di Perle von Warsha),Joseph Lateiner,,1903,Podgórze,A. Faust,,,,828455,2372172,https://app.transkribus.org/collection/2372172/doc/828455,not_yet,Blimele-AhronFaust1903,,,,,557484,Biblioteka Narodowa (Polona),II 63.206,b0000002022307,Perła Warszawy (pl),63 s. ; 25 cm,certain,"title page p.5: ""לאטַיינֶער."""
Bas Sheva,Joseph Lateiner,,1911,Przemyśl,Amkroyt un Fraynd,,,,828443,2372172,https://app.transkribus.org/collection/2372172/doc/828443,not_yet,BasSheva,,,,,96705165,Biblioteka Narodowa (Polona),66.584,b0000002022243,Batszewa (pl),67 s. ; 25 cm,certain,"title page p.5: ""יוסף לאטיינער."""
Das Yudishe Kind,Joseph Lateiner,,1911,Warsaw,"Farlag ""Kultur"" (Dzika 13)",Warsaw,,,828424,2372172,https://app.transkribus.org/collection/2372172/doc/828424,not_yet,דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete,yes,syllables,vocalized_untagged,"RA-corrected pp.1-2; speakers+stage-dirs vocalized but not tagged; Hebrew date תרע״א = 1910/1911 (title page bears ""תרעא — 1911"")",535097,Biblioteka Narodowa (Polona),II 63.395,b0000002023770,Dziecko żydowskie (pl),58 s. ; 25 cm,certain,"title page p.1: ""י. לאטַיינֶער"""
Isha Raa,Joseph Lateiner,,1904,Podgórze,Verlag von Benjamin Munk Buchhandlung,Lemberg,Druck von S.L. Deitscher,Podgórze,820937,2372172,https://app.transkribus.org/collection/2372172/doc/820937,not_yet,IshahRaah,,,,Hebrew date תרס״ד (5664) = 1903/1904; catalogue title: Ishe roeh / אישה רע,98064620,Biblioteka Narodowa (Polona),63.344,b0000002022314,Zła żona (pl),71 s. ; 25 cm,certain,"title page p.3: ""יאזעף לאטַיינֶער."""
Al Naharot Bavel,Joseph Lateiner,,1909,Przemyśl,Amkraut & Freund Buchhandlung,Przemyśl,,,820975,2372172,https://app.transkribus.org/collection/2372172/doc/820975,not_yet,AlNaharotBavel-Amkreut&Freund1909,no,consonants,no,RA-corrected pp.5-9 (deduced from pp.7-9 2026-05-20); only stray rafe is the act-opening setting direction on p7,557521,Biblioteka Narodowa (Polona),II 63.436,b0000002022237,Nad rzekami Babilonu (pl),59 s. ; 25 cm,certain,"title page p.1: ""י. לאטֵיינֶער"""
