edition	page(s)	line_id / count	category	owner	issue/detail	text	suggested_action	translit	crop_path	transkribus_url
Al Naharot Bavel	9	r1l13	untyped stage	NOA	untyped stage (no lexicon)	אליקים: (וויטהענד) פַארְשְטְאפּ דִיר דַיין פִּיסְק	manual	likim: (vithend) frshtp dir deyn pisk	data/review/crops/Al-Naharot-Bavel_p0009_r1l13.png	https://app.transkribus.org/collection/2372172/doc/820975/detail/9
Al Naharot Bavel	9	r1l31	untyped stage	NOA	untyped stage (no lexicon)	אליקים: יִמַח שְמוֹנִיק, וֶוער בִּיזְטוּ (וויל איה	manual	likim: imkh shmunik, uuer biztu (vil ih	data/review/crops/Al-Naharot-Bavel_p0009_r1l31.png	https://app.transkribus.org/collection/2372172/doc/820975/detail/9
Al Naharot Bavel	19	r1l31	untagged speaker	NOA	untagged speaker (unknown) 'קעניג'	קעניג: יאָ דָאס וִויל אִיך, אוּן דִי גֶערֶעכטִיגקֵ	manual	kenig: io ds uoyl ikh, un di gerekhtigk	data/review/crops/Al-Naharot-Bavel_p0019_r1l31.png	https://app.transkribus.org/collection/2372172/doc/820975/detail/19
Al Naharot Bavel	35	r1l13	untagged speaker	NOA	untagged speaker (unknown) 'הויפטמאן'	הויפטמאן: אִיהר שווייגט?	manual	hoyftmn: ihr shveygt?	data/review/crops/Al-Naharot-Bavel_p0035_r1l13.png	https://app.transkribus.org/collection/2372172/doc/820975/detail/35
Der Mann untern Tisch	10	r_2_1l11	untyped stage	NOA	untyped stage (no lexicon)	נוּ ר' אוֹרח האָט איִהר שֵׂכֶל אוּן וואַרפט אייַךְ	manual	nu r' urkh hot ihr shkhl un varft eykh		https://app.transkribus.org/collection/2372172/doc/817462/detail/10
Der Mann untern Tisch	10	r_2_1l14	untyped stage	NOA	untyped stage (no lexicon)	אַה, דיִ תחיִנה מייֵנְט איִהר? יאָ איִךְ האָבּ זיִ	manual	ah, di skhinh meynt ihr? io ikh hob zi		https://app.transkribus.org/collection/2372172/doc/817462/detail/10
Der Mann untern Tisch	11	r_2_1l9	invalid stage.type 'mixed'	NOA	invalid stage.type 'mixed'	(זיי נעהמען זיך אַרוּם, יאכֿטשע ערשיינט).	manual	(zey nehmen zikh arum, ikhtshe ersheynt).		https://app.transkribus.org/collection/2372172/doc/817462/detail/11
Der Mann untern Tisch	11	r_2_1l34	invalid stage.type 'mixed'	NOA	invalid stage.type 'mixed'	(ער בעהאַלט זיך. אויפֿטריט סאבעלע).	manual	(er behalt zikh. oyftrit sbele).		https://app.transkribus.org/collection/2372172/doc/817462/detail/11
Der Mann untern Tisch	14	r_1_1l26	untyped stage	NOA	untyped stage (no lexicon)	(קלערְט אבּייסיל) הערְט מיךְ אויס טאָמעֶר וועֶט אי	manual	(klert beysil) hert mikh oys tomer vet i		https://app.transkribus.org/collection/2372172/doc/817462/detail/14
Der Mann untern Tisch	18	r_1_1l3	untyped stage	NOA	untyped stage (no lexicon)	ווי מיר קומען צום רבין צופאָרעֶן (בּיס).	manual	vi mir kumen tsum rbin tsuforen (bis).		https://app.transkribus.org/collection/2372172/doc/817462/detail/18
Der Mann untern Tisch	18	r_1_1l31	invalid stage.type 'mixed'	NOA	invalid stage.type 'mixed'	איִן דעֶר צַייט וועֶן מעֶן ענְדיִגט דאָס געזאַנג ש	manual	in der tseyt ven men endigt dos gezang sh		https://app.transkribus.org/collection/2372172/doc/817462/detail/18
