edition,page(s),line_id / count,category,owner,issue/detail,text,suggested_action
Yetsi'as Mitsrayim,2,r1l2,schema violation,NOA,role span requires xmlid attribute,Paroh,fix per schema
Yetsi'as Mitsrayim,2,r1l3,schema violation,NOA,role span requires xmlid attribute,Tutmasiss,fix per schema
Yetsi'as Mitsrayim,2,r1l5,schema violation,NOA,role span requires xmlid attribute,Menafto,fix per schema
Yetsi'as Mitsrayim,2,r1l6,schema violation,NOA,role span requires xmlid attribute,Isiss,fix per schema
Yetsi'as Mitsrayim,2,r1l8,schema violation,NOA,role span requires xmlid attribute,Ferisiss,fix per schema
Yetsi'as Mitsrayim,2,r1l9,schema violation,NOA,role span requires xmlid attribute,Aron,fix per schema
Yetsi'as Mitsrayim,2,r1l10,schema violation,NOA,role span requires xmlid attribute,Mosess,fix per schema
Yetsi'as Mitsrayim,2,r1l11,schema violation,NOA,role span requires xmlid attribute,Mirjam,fix per schema
Yetsi'as Mitsrayim,2,r1l12,schema violation,NOA,role span requires xmlid attribute,Nachschon,fix per schema
Yetsi'as Mitsrayim,2,r1l13,schema violation,NOA,role span requires xmlid attribute,Schifro,fix per schema
Yetsi'as Mitsrayim,2,r1l14,schema violation,NOA,role span requires xmlid attribute,Dosson,fix per schema
Yetsi'as Mitsrayim,2,r1l15,schema violation,NOA,role span requires xmlid attribute,Awirom,fix per schema
Yetsi'as Mitsrayim,2,r1l16,schema violation,NOA,role span requires xmlid attribute,Chagiss,fix per schema
Yetsi'as Mitsrayim,2,r1l17,schema violation,NOA,role span requires xmlid attribute,Volk,fix per schema
Yetsi'as Mitsrayim,2,r1l17,schema violation,NOA,role span requires xmlid attribute,Egipter,fix per schema
Yetsi'as Mitsrayim,2,r1l17,schema violation,NOA,role span requires xmlid attribute,Nogschim,fix per schema
Yetsi'as Mitsrayim,3,r1l3,schema violation,NOA,stage span requires a type attribute (no bare stage),"Vor der Stadt Ramsess, das Volk arbeit",fix per schema
Yetsi'as Mitsrayim,3,r1l4,schema violation,NOA,stage span requires a type attribute (no bare stage),und singt,fix per schema
Yetsi'as Mitsrayim,3,r1l5,schema violation,NOA,speaker span requires xmlid attribute (link to a role xml:id),Chor,fix per schema
Yetsi'as Mitsrayim,3,r1l13,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Titmasiss.,fix per schema
Yetsi'as Mitsrayim,3,r1l14,schema violation,NOA,speaker span requires xmlid attribute (link to a role xml:id),Titmasiss:,fix per schema
Yetsi'as Mitsrayim,3,line_1633882186367_249,schema violation,NOA,speaker span requires xmlid attribute (link to a role xml:id),Dosson:,fix per schema
Yetsi'as Mitsrayim,3,r1l18,schema violation,NOA,speaker span requires xmlid attribute (link to a role xml:id),Titmasiss:,fix per schema
Yetsi'as Mitsrayim,4,r1l1,schema violation,NOA,speaker span requires xmlid attribute (link to a role xml:id),Awirom:,fix per schema
Yetsi'as Mitsrayim,4,r1l2,schema violation,NOA,speaker span requires xmlid attribute (link to a role xml:id),Titmasiss:,fix per schema
Yetsi'as Mitsrayim,4,r1l2,schema violation,NOA,stage span requires a type attribute (no bare stage),/ab/,fix per schema
Yetsi'as Mitsrayim,4,r1l4,schema violation,NOA,speaker span requires xmlid attribute (link to a role xml:id),Dosson:,fix per schema
Yetsi'as Mitsrayim,4,r1l6,schema violation,NOA,stage span requires a type attribute (no bare stage),will gehen,fix per schema
Yetsi'as Mitsrayim,4,r1l7,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Aron Mirjam.,fix per schema
Yetsi'as Mitsrayim,4,r1l9,schema violation,NOA,speaker span requires xmlid attribute (link to a role xml:id),Aron:,fix per schema
Yetsi'as Mitsrayim,4,r1l10,schema violation,NOA,stage span requires a type attribute (no bare stage),/theilt von Korb.,fix per schema
Yetsi'as Mitsrayim,4,r1l11,schema violation,NOA,speaker span requires xmlid attribute (link to a role xml:id),Mirjam:,fix per schema
Yetsi'as Mitsrayim,4,r1l12,schema violation,NOA,stage span requires a type attribute (no bare stage),/theilt/,fix per schema
Yetsi'as Mitsrayim,4,line_1633969706846_320,schema violation,NOA,speaker span requires xmlid attribute (link to a role xml:id),Aron:,fix per schema
Yetsi'as Mitsrayim,4,r1l19,schema violation,NOA,speaker span requires xmlid attribute (link to a role xml:id),Dosson:,fix per schema
Yetsi'as Mitsrayim,4,r1l20,schema violation,NOA,speaker span requires xmlid attribute (link to a role xml:id),Aron:,fix per schema
Yetsi'as Mitsrayim,5,line_1634942947222_1654,schema violation,NOA,fw span requires a type attribute (page numbers are type:pageNum),3.,fix per schema
Yetsi'as Mitsrayim,6,r1l12,schema violation,NOA,stage span requires a type attribute (no bare stage),"Auftritt Nachschon, Chaim.",fix per schema
Yetsi'as Mitsrayim,7,r1l16,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt. Mosess.,fix per schema
Yetsi'as Mitsrayim,9,r1l2,schema violation,NOA,stage span requires a type attribute (no bare stage), % man klingt/,fix per schema
Yetsi'as Mitsrayim,9,r1l8,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritte Tutmassin Noigschim.,fix per schema
Yetsi'as Mitsrayim,9,r1l18,schema violation,NOA,stage span requires a type attribute (no bare stage),%alle gehen ab/,fix per schema
Yetsi'as Mitsrayim,10,r1l2,schema violation,NOA,stage span requires a type attribute (no bare stage),%ab%,fix per schema
Yetsi'as Mitsrayim,10,r1l6,schema violation,NOA,stage span requires a type attribute (no bare stage),%singt/,fix per schema
Yetsi'as Mitsrayim,10,r1l16,schema violation,NOA,stage span requires a type attribute (no bare stage),%here zu Gott%,fix per schema
Yetsi'as Mitsrayim,11,r1l2,schema violation,NOA,stage span requires a type attribute (no bare stage),Verwandlung,fix per schema
Yetsi'as Mitsrayim,11,r1l3,schema violation,NOA,stage span requires a type attribute (no bare stage),Zimmer bei Mirjam.,fix per schema
Yetsi'as Mitsrayim,11,r1l7,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Mirjam,fix per schema
Yetsi'as Mitsrayim,12,r1l9,schema violation,NOA,stage span requires a type attribute (no bare stage),%ab/,fix per schema
Yetsi'as Mitsrayim,12,r1l14,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Nachschon.,fix per schema
Yetsi'as Mitsrayim,13,r1l7,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Schifro,fix per schema
Yetsi'as Mitsrayim,13,r1l12,schema violation,NOA,stage span requires a type attribute (no bare stage),/ab,fix per schema
Yetsi'as Mitsrayim,14,r1l6,schema violation,NOA,stage span requires a type attribute (no bare stage),/singt/,fix per schema
Yetsi'as Mitsrayim,15,r1l8,schema violation,NOA,stage span requires a type attribute (no bare stage),Verwandlung,fix per schema
Yetsi'as Mitsrayim,15,r1l9,schema violation,NOA,stage span requires a type attribute (no bare stage),"frei gegend, Menafto.",fix per schema
Yetsi'as Mitsrayim,15,r1l15,schema violation,NOA,stage span requires a type attribute (no bare stage),%ab/,fix per schema
Yetsi'as Mitsrayim,16,r2l7,schema violation,NOA,stage span requires a type attribute (no bare stage),% stellt weg die,fix per schema
Yetsi'as Mitsrayim,16,r2l8,schema violation,NOA,stage span requires a type attribute (no bare stage),Laterne schlagt sich ab u. Menafto,fix per schema
Yetsi'as Mitsrayim,17,r1l17,schema violation,NOA,stage span requires a type attribute (no bare stage),%nehmen far sehere,fix per schema
Yetsi'as Mitsrayim,18,r1l5,schema violation,NOA,stage span requires a type attribute (no bare stage),(Duet singen),fix per schema
Yetsi'as Mitsrayim,18,r1l19,schema violation,NOA,stage span requires a type attribute (no bare stage),/tanzen beide ab/,fix per schema
Yetsi'as Mitsrayim,19,line_1634943930566_2123,schema violation,NOA,stage span requires a type attribute (no bare stage),Verwandlung,fix per schema
Yetsi'as Mitsrayim,19,line_1634944158127_2176,schema violation,NOA,stage span requires a type attribute (no bare stage),bein Nill,fix per schema
Yetsi'as Mitsrayim,19,r1l9,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Nachschoin Noigschim,fix per schema
Yetsi'as Mitsrayim,20,r1l6,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Isiss,fix per schema
Yetsi'as Mitsrayim,21,r1l20,schema violation,NOA,stage span requires a type attribute (no bare stage),%Noigschim ab/,fix per schema
Yetsi'as Mitsrayim,21,r1l22,schema violation,NOA,stage span requires a type attribute (no bare stage),%ab/,fix per schema
Yetsi'as Mitsrayim,22,r1l22,schema violation,NOA,stage span requires a type attribute (no bare stage),%ab/,fix per schema
Yetsi'as Mitsrayim,23,r1l6,schema violation,NOA,stage span requires a type attribute (no bare stage), %ab/,fix per schema
Yetsi'as Mitsrayim,23,r1l7,schema violation,NOA,stage span requires a type attribute (no bare stage),"%Auftritt Paroh, Isiss, Tutmasiss",fix per schema
Yetsi'as Mitsrayim,23,r1l8,schema violation,NOA,stage span requires a type attribute (no bare stage),"Chor, Prister%",fix per schema
Yetsi'as Mitsrayim,23,r1l15,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Aron Mosess.,fix per schema
Yetsi'as Mitsrayim,24,r1l4,schema violation,NOA,stage span requires a type attribute (no bare stage),%warft stecken,fix per schema
Yetsi'as Mitsrayim,24,r1l6,schema violation,NOA,stage span requires a type attribute (no bare stage),wert a Schlang/,fix per schema
Yetsi'as Mitsrayim,25,line_1634944951027_2489,schema violation,NOA,stage span requires a type attribute (no bare stage),% Ansambl Chor ,fix per schema
Yetsi'as Mitsrayim,26,r1l18,schema violation,NOA,stage span requires a type attribute (no bare stage),Vorhang,fix per schema
Yetsi'as Mitsrayim,27,line_1635016325910_195,schema violation,NOA,stage span requires a type attribute (no bare stage),II Act: Zimmer bei Mirjam.,fix per schema
Yetsi'as Mitsrayim,27,r2l7,schema violation,NOA,stage span requires a type attribute (no bare stage),%ab/,fix per schema
Yetsi'as Mitsrayim,27,r2l13,schema violation,NOA,stage span requires a type attribute (no bare stage)," gehen suchen, man",fix per schema
Yetsi'as Mitsrayim,27,r2l14,schema violation,NOA,stage span requires a type attribute (no bare stage),bringt herein Menafto%,fix per schema
Yetsi'as Mitsrayim,28,r1l15,schema violation,NOA,stage span requires a type attribute (no bare stage),%Auftritt Schifrele %,fix per schema
Yetsi'as Mitsrayim,29,r1l7,schema violation,NOA,stage span requires a type attribute (no bare stage),%beide ab/,fix per schema
Yetsi'as Mitsrayim,29,r1l17,schema violation,NOA,stage span requires a type attribute (no bare stage),Auftritt Isiss.,fix per schema
Yetsi'as Mitsrayim,30,r1l5,schema violation,NOA,stage span requires a type attribute (no bare stage),%ab mit Schifro/,fix per schema
Yetsi'as Mitsrayim,30,r1l9,schema violation,NOA,stage span requires a type attribute (no bare stage),%entkleidet sich/ ,fix per schema
Yetsi'as Mitsrayim,32,r1l10,schema violation,NOA,stage span requires a type attribute (no bare stage),%ab/,fix per schema
