edition,page(s),line_id / count,category,owner,issue/detail,text,suggested_action
Isha Raa,6,tr_1_tl_9,untagged speaker,NOA,untagged speaker (unknown) 'אללע',אללע: יַא יַא עֶר לעבּע לאַנְג,manual
Isha Raa,10,tr_1_tl_37,untagged speaker,NOA,untagged speaker (unknown) 'מלכה',מלכה: פרֶצְ'ל !,manual
Isha Raa,11,tr_1_tl_28,untagged speaker,NOA,untagged speaker (unknown) 'אנטינגוס',אנטינגוס: אִיזְט דַיינֶע הֶערְרִין צוּ הוִיזֶע? (ע,manual
Isha Raa,16,tr_1_tl_21,untagged speaker,NOA,untagged speaker (unknown) 'דוד',דוד: (זיפצט) בּרוּך דיין אמְת.,manual
Isha Raa,22,tr_1_tl_21,untagged speaker,NOA,untagged speaker (unknown) 'שלומיר',שלומיר: געליעבּטער פָאטֶער! זַייא נִיכְט טרוֹירִיג,manual
Isha Raa,33,tr_1_tl_33,untagged speaker,NOA,untagged speaker (unknown) 'פאזשע',פאזשע: מַיין הֶערְר אוּנד קֶענִיג!,manual
Isha Raa,33,tr_1_tl_35,untagged speaker,NOA,untagged speaker (unknown) 'פאזשע',פאזשע: יאָ מַיין קֶענִיג.,manual
Isha Raa,33,tr_1_tl_37,untagged speaker,NOA,untagged speaker (unknown) 'פאזשע',פאזשע: טאָדט!,manual
Isha Raa,34,tr_1_tl_4,untagged speaker,NOA,untagged speaker (unknown) 'פאזשע',פאזשע: ערְפִילְט האבּען דִיא סנהדרִין אִיהר הֵיילִ,manual
Isha Raa,38,tr_1_tl_37,untagged speaker,NOA,untagged speaker (unknown) 'חנוד',חנוד: אַלץ דאס אייגֶענֶע אוּנְד וִויעדֶער דאָס אַי,manual
Isha Raa,40,tr_1_tl_41,untagged speaker,NOA,untagged speaker (unknown) 'אינטיגוס',אינטיגוס: וואָס קִימֶערְט מִיך וואָס עֶר הָאט גֶעמ,manual
Isha Raa,44,l_1,untagged speaker,NOA,untagged speaker (unknown) 'פרע',פרע: אֵיין אשה רעה!.... יאָ דאָס בּיזט דוּא אוּנ ל,manual
Isha Raa,45,l_4,untagged speaker,NOA,untagged speaker (unknown) 'פרע',"פרע: פּאוואליע! דֶערְהרְגֶע מִיך נִישְט, אִיך בּין",manual
Isha Raa,46,tr_1_tl_11,untagged speaker,NOA,untagged speaker (unknown) 'פרע',"פרע: שאט קאטשקעס!... לָאזְט מִיך אוִיסרעֶדעֶן, אִי",manual
Isha Raa,46,tr_1_tl_24,untagged speaker,NOA,untagged speaker (unknown) 'פרע',פרע: אִיך גֶעדֶענְק שׁוֹין נִיט וָואס דֶער קאפּף ה,manual
Isha Raa,46,l_1,untagged speaker,NOA,untagged speaker (unknown) 'פרע',"פרע: גֶעדֶענְק אִיך שׁוֹין אוֹיך נִיט, אִיך גֶעדֶע",manual
Isha Raa,47,tr_1_tl_18,untagged speaker,NOA,untagged speaker (unknown) 'פרע',"פרע: וֶוער עֶר אִיז פוּן וואַנען עֶר אִיז, וואהִין",manual
Isha Raa,47,tr_1_tl_25,untagged speaker,NOA,untagged speaker (unknown) 'ה',"ה: אָה הֶערְרִין, נָאך אִיזְט עֶס צַייט, צִיה צוּר",manual
Isha Raa,47,l_1,untagged speaker,NOA,untagged speaker (unknown) 'פרע',פרע: אַרויס מיט'ן אב.,manual
Isha Raa,48,tr_1_tl_4,untagged speaker,NOA,untagged speaker (unknown) 'פרע',פרע: דאָס יאָ!,manual
Isha Raa,48,tr_1_tl_9,untagged speaker,NOA,untagged speaker (unknown) 'פרי',פרי: אַז.,manual
Isha Raa,48,tr_1_tl_11,untagged speaker,NOA,untagged speaker (unknown) 'פרע',פרע: מוֹרָא? גָאט אִיז מִיט דִיר! אויבּ סאִיז אַ ר,manual
Isha Raa,48,tr_1_tl_14,untagged speaker,NOA,untagged speaker (unknown) 'פרע',פרע: אִיך נָאר אִיך! אָט זֶעהסט דוּא עֶס מִיט דִיא,manual
Isha Raa,48,tr_1_tl_18,untagged speaker,NOA,untagged speaker (unknown) 'פרע',פרע: אַ מִיתה משוּנה! פוּן דֶעסטוועגֶען קוּק אִיך ,manual
Isha Raa,50,l_5,untagged speaker,NOA,untagged speaker (unknown) 'וועכטער',וועכטער: הֶע בּורשע וֶוער בּיזט דוּא?,manual
Isha Raa,50,l_4,untagged speaker,NOA,untagged speaker (unknown) 'וועכטער',וועכטער: אוּנד וואָס זוּכסט דוּא הִיעֶר בּיים גֶעפ,manual
Isha Raa,50,l_2,untagged speaker,NOA,untagged speaker (unknown) 'וועכטער',וועכטער: ווילְסט דִיעזֶען בּלינדען פִיהרֶען?,manual
Isha Raa,50,l,untagged speaker,NOA,untagged speaker (unknown) 'וועכטער',וועכטער: אוּנד וַוייסְט דוּא וֶוער דִיעזֶער בּלינד,manual
Isha Raa,51,tr_1_tl_2,untagged speaker,NOA,untagged speaker (unknown) 'וועכטער',וועכטער: האָסְט אִיהם שאן אַמאל גֶעזֶעהֶען?,manual
Isha Raa,51,tr_1_tl_5,untagged speaker,NOA,untagged speaker (unknown) 'וועכטער',וועכטער: דוּא וויינְסְט? דוּא שַׁיינְסט אִיהְם טִי,manual
Isha Raa,51,tr_1_tl_12,untagged speaker,NOA,untagged speaker (unknown) 'וועכטער',וועכטער: אִינְטֶערֶעסִיערְט דִיך זַיין אוּנגליק זָ,manual
Isha Raa,51,tr_1_tl_18,untagged speaker,NOA,untagged speaker (unknown) 'וועכטער',וועכטער: אַלזא דוּא ווילְסט זַיין פִיהרֶער זַיין? ,manual
Isha Raa,51,tr_1_tl_32,untagged speaker,NOA,untagged speaker (unknown) 'וועכטער',וועכטער: נִיכְט נוּר אויִס עֶס געפענגניס זאָנדערְן,manual
Isha Raa,52,l_1,untagged speaker,NOA,untagged speaker (unknown) 'וועכטער',וועכטער: עֶס אִיזְט אֵיין קנאבּע וֶועלְכֶער אוּם ד,manual
Isha Raa,52,tr_1_tl_5,untagged speaker,NOA,untagged speaker (unknown) 'וועכטער',"וועכטער: דֶער קנאבּע וִויל דַיין פִיהרֶער זַיין, ב",manual
Isha Raa,53,tr_1_tl_7,untagged speaker,NOA,untagged speaker (unknown) 'אבנד',אבנד: וֶועלְכֶע שׁטִימֶע?,manual
Isha Raa,57,tr_1_tl_27,untagged speaker,NOA,untagged speaker (unknown) 'שלומי',שלומי: דוּא בּיזט עֶס? תלמי!,manual
