edition,page(s),line_id / count,category,owner,issue/detail,text,suggested_action
Blimele (di Perle von Warsha),7,r_1_1l17,untagged speaker,NOA,untagged speaker (unknown) 'בערל',בערל: וואס וואוּנְדֶערְסט דוא דיך אַזוֹי?,manual
Blimele (di Perle von Warsha),7,r_1_1l19,untagged speaker,NOA,untagged speaker (unknown) 'בערל',בערל: וואָס גֶעהט דִיך אָן פוּן וואַנען? אַבּי אִי,manual
Blimele (di Perle von Warsha),7,r_1_1l22,untagged speaker,NOA,untagged speaker (unknown) 'בערל',בערל: וואָס אִיז מִיט דִיר זֶעלִיקֶעל? וואָס בּיזט,manual
Blimele (di Perle von Warsha),7,r_1_1l26,untagged speaker,NOA,untagged speaker (unknown) 'בערל',בערל: אָבּער זֶעלִיקֶעל בּיזט דוּא מְשוּגֶע גֶעווֶ,manual
Blimele (di Perle von Warsha),8,r_5_1l1,untagged speaker,NOA,untagged speaker (unknown) 'בערל',בערל: אָבּער וואָס אִיז גֶעשֶׁעהֶען זֶעלִיקלע?,manual
Blimele (di Perle von Warsha),8,r_5_1l5,untagged speaker,NOA,untagged speaker (unknown) 'בערל',בערל: נוּ יאָ בּליהמעלע: (נייגעריג).,manual
Blimele (di Perle von Warsha),8,r_5_1l8,untagged speaker,NOA,untagged speaker (unknown) 'בערל',בערל: אָבּער וואָס אִיז גֶעשֶׁעהֶען מִיט בּליהמעלע,manual
Blimele (di Perle von Warsha),8,r_5_1l10,untagged speaker,NOA,untagged speaker (unknown) 'בערל',בערל: מִיט ווֶעמֶען? וואָס אִיז בּליהמעלען גֶעשֶׁע,manual
Blimele (di Perle von Warsha),8,r_5_1l14,untagged speaker,NOA,untagged speaker (unknown) 'בערל',בערל: (גאנץ ניעדער געשלאגען) בּליהמעלע האט הַיינְט,manual
Blimele (di Perle von Warsha),8,r_5_1l16,untagged speaker,NOA,untagged speaker (unknown) 'בערל',בערל: אוּן וֶוער אִיז דֶער גלִיקלִיכֶער וואַס פִיה,manual
Blimele (di Perle von Warsha),8,r_5_1l18,untagged speaker,NOA,untagged speaker (unknown) 'בערל',בערל: וִויא אַהין זאָל אִיך גֶעהֶען?,manual
