substring_no_nikud	type
דערווייל דרעהט ער זיך אום צו סאבעלען און גיט איהר א קוש.	business
זינגט	delivery
אין דער צייט ווען די מוזיק שפילט זאגט סאבעלע צום קראקעווער.	business
אב)	exit
(טור⸗	
ניווער אב)	exit
(ער	
גיט איהר)	business
(אין פענסטער)	location
(זיי נעהמען זיך ארום, יאכטשע ערשיינט).	mixed
(ער יאגט איהם ארויס)	exit
(ער בעהאלט זיך	business
אונטער'ן טיש. אויפטריט טורניווער און זעצט זיך צום טיש, יאכטשע	business
גיט איהם א שלעפ).	business
(ער יאגט איהם ארויס)	exit
(ער בעהאלט זיך. אויפטריט סאבעלע).	mixed
(זינגט)	delivery
(ביס)	
אין דער צייט ווען מען ענדיגט דאס געזאנג שפילט די מוזיק	mixed
זעלבסט און יאכטשע טאנצט מיט'ן טורניווער און סאבעלע מיט'ן קרא⸗	mixed
קעווער, אזוי ווי יאכטשע דערזעהט לויפט ער נאך דעם קראקעווער, דער	mixed
טורניווער בעהאלט איהם און ער זינגט אוי טא, טא.	mixed
פארהאנג פאלט.	mixed
(ארים צימער ביי ירוחם).	setting
(בעז)	delivery
(צערייסט די נאטען).	business
(אויפטריט פריידעלע).	entrance
(אב).	exit
(אויפטריט איסר).	entrance
(גיט א בענקעל)	business
(אפארט)	business
(וויל איהם געבען אפאטש)	business
(חאפט א בענקעל, איסר בלייבט ליגען אויף דער ערד).	business
(ביי די טהיר)	business
(אב).	exit
(אונטער דיא קוליסען)	business
(פישעל פאלט אריין).	entrance
(ערשראקען)	business
(קוקט ארויס)	business
(אויפטריט בערמאן, פיהרט דורה'לע).	entrance
(זיפצט)	business
(אב מיט יאכנע).	exit
(קאמפאניערט)	business
(אויפטריט אלטעריל מיט פריידאלע).	entrance
(זיי זינגען און קישען זיך אין מיטען געזאנג פישל דערזעהט עס).	business
(צייגט ירוחט)	business
(גייט צו)	business
(צו פריידעלע)	delivery
(פריידעלע לאזט א ראפ די אויגען און וויל	business
געהן ווי אלטעריל).	business
(ווייזט אויף די צווייטע זייט)	business
(ווייזט איהר	business
די אויגען אראפ צו לאזען)	business
(פריידע אב).	exit
