play	page	line_id	kind	old_xmlid	new_xmlid	old_substring	new_substring	line_text
Yudale_der_blinder,_Emkroyt1908	12	r6l3	span_changed	yakhne	yakhne	יאַכנע	יאכנע	יאכנע: זענען אפשר פערליעבּט?
Yudale_der_blinder,_Emkroyt1908	13	line_1647440536815_1366	span_changed	yakhne	yakhne	יאַכנע	יאכנע	יאכנע: אַז די קינדער האבּען זיך ליעבּ אוּן עשירות איז אויך דא פאר
Yudale_der_blinder,_Emkroyt1908	14	line_1647512918897_214	added				ביידע:	ביידע: נִיע זִיך שַׁיידֶען נִיע זיךְ קוועהלֶען,
Yudale_der_blinder,_Emkroyt1908	15	r1l4	added				ביידע:	ביידע: אָשא עִינִי אָל ההרִים, דִיא אוֹיגען העבּען מִיר צוּ דִיר אַרויף
Yudale_der_blinder,_Emkroyt1908	15	line_1647513264664_336	added				ביידע:	ביידע: ווֶער — דִי הִילְפֶע אִיז נוּר עֵר. עֵר.
AlNaharotBavel-Amkreut&Freund1909	12	r1l34	deleted	yehudis		יהודית'ל		יהודית'ל וואָס גֶעהט אוּנְז אָן דֶער קֶענִיג צִי דֶער משוּמד, זָאָלֶען זַיי
AlNaharotBavel-Amkreut&Freund1909	13	line_1649540665709_6055	deleted	ben_kaspi		בֶּן		בֶּן כַּסְפִּי: מְשוּגֶע זֶענְט אִיהר אַלע אוּן אַ שׁגֶעון אִיז אַייער אִידֶעֶע. נאַ דִיר
AlNaharotBavel-Amkreut&Freund1909	13	line_1649540665709_6055	added				בֶּן כַּסְפִּי:	בֶּן כַּסְפִּי: מְשוּגֶע זֶענְט אִיהר אַלע אוּן אַ שׁגֶעון אִיז אַייער אִידֶעֶע. נאַ דִיר
AlNaharotBavel-Amkreut&Freund1909	14	r1l25	deleted	ben_kaspi		בֶּן		בֶּן כַּסְפִּי: (קאלט) מִילא נוּ? וואָס זְשֶׁע קֶען מֶען מַאכֶען? מן הסתּם וִויל
AlNaharotBavel-Amkreut&Freund1909	14	r1l25	added				בֶּן כַּסְפִּי:	בֶּן כַּסְפִּי: (קאלט) מִילא נוּ? וואָס זְשֶׁע קֶען מֶען מַאכֶען? מן הסתּם וִויל
AlNaharotBavel-Amkreut&Freund1909	14	r1l15	xmlid_changed	ben_kaspi		בֶּן	בֶּן כּספּי: 	בֶּן כּספּי: אָליקים זֵיי קֵיין שגץ נִישְט!
AlNaharotBavel-Amkreut&Freund1909	14	r1l33	deleted	ben_kaspi		בֶּן		"בֶּן כַּסְפִּי: מִיט נסִים הָאט אוּנז גָאט ַבּ""ה אוֹיסְגֶעלֵייזְט פוּן מִצְרַיִם, אוּן מִיט"
AlNaharotBavel-Amkreut&Freund1909	14	r1l33	added				בֶּן כַּסְפִּי: 	"בֶּן כַּסְפִּי: מִיט נסִים הָאט אוּנז גָאט ַבּ""ה אוֹיסְגֶעלֵייזְט פוּן מִצְרַיִם, אוּן מִיט"
KidushHashem	7	r3l11	span_changed	tobyas	tobyas	טאבִּיאס	טאביאס	טאביאס (זיגנענד): עֶס לֶעבֶּע אִיזרַאעֶל, אוּנְזֶער גְרוֹיסֶער הֶעלְד!...
KidushHashem	7	r3l46	span_changed	tobyas	tobyas	טאבִּיאס	טאביאס	טאביאס (אפארט): הֶערְסְטוּ, דָאס פְרֶעג אִיךְ טַאקִי אוֹיךְ!
