play	page	line_id	kind	old_type	new_type	old_substring	new_substring	line_text
DerManUnterTiff	10	r_2_1l15	type_changed		business	גיִט איִהר)	גיִט איִהר)	גיִט איִהר) יעֶצְט ווײַזט וואָס איִהר קעֶנְט.
DerManUnterTiff	10	r_2_1l12	type_changed		exit	ניִווער אָבּ)	ניִווער אָבּ)	ניִווער אָבּ) נאָ ר' קראָקעֶוועֶר האָט איִהר מיִר געֶבְּרַאַכְֿט?
DerManUnterTiff	11	r_2_1l20	type_changed	mixed	business	גיט איהם אַ שׁלעפ).	גיט איהם אַ שׁלעפ).	גיט איהם אַ שׁלעפ).
DerManUnterTiff	11	r_2_1l19	type_changed	mixed	business	אוּנטער'ן טישׁ. אויפֿטריט טוּרְניווער אוּן זעצט זיך צוּם טישׁ, יאָכֿטשע	אוּנטער'ן טישׁ. אויפֿטריט טוּרְניווער אוּן זעצט זיך צוּם טישׁ, יאָכֿטשע	אוּנטער'ן טישׁ. אויפֿטריט טוּרְניווער אוּן זעצט זיך צוּם טישׁ, יאָכֿטשע
DerManUnterTiff	11	r_2_1l18	type_changed		business	(עֵר בּעהאַלט זיך	(עֵר בּעהאַלט זיך	טישׁ איךְ וועֶל אַמיסטעֶן זעהן וואָס זי מייֵנְט. (עֵר בּעהאַלט זיך
Yudale_der_blinder,_Emkroyt1908	5	r2l11	type_changed	business	setting	(ארים צימער ביי ירוחם).	(ארים צימער ביי ירוחם).	(ארים צימער ביי ירוחם).
Yudale_der_blinder,_Emkroyt1908	9	r1l46	type_changed	business	entrance	(פישעל פאלט אריין).	(פישעל פאלט אריין).	גֶעווַאלְד, גֶעווַאלְד, אוּן ווֵיינְט. (פישעל פאלט אריין).
Yudale_der_blinder,_Emkroyt1908	13	r1l9	type_changed	business	exit	(אב מיט יאכנע).	(אב מיט יאכנע).	עסען. (אב מיט יאכנע).
Yudale_der_blinder,_Emkroyt1908	16	line_1647513486968_439	type_changed	business	setting	(ארמעס צימער ביי ירוחם).	(ארמעס צימער ביי ירוחם).	(ארמעס צימער ביי ירוחם).
Yudale_der_blinder,_Emkroyt1908	16	r1l1	added		setting		פערוואַנדלונג	פערוואַנדלונג.
Yudale_der_blinder,_Emkroyt1908	18	r2l3	type_changed	business	delivery	(בּייז)	(בּייז)	וואלדמאן: (בּייז) אִיך פְרֵייא מִיך, אִיך פְרֵייא מִיך, אוּן דוּל מִיר נִישְט
