new_type	rank	token	count
business	1	גיט	2
business	2	איהם	2
business	3	טיש	2
business	4	זיך	2
business	5	איהר	1
business	6	א	1
business	7	שלעפ	1
business	8	אונטער'ן	1
business	9	אויפטריט	1
business	10	טורניווער	1
business	11	און	1
business	12	זעצט	1
business	13	צום	1
business	14	יאכטשע	1
business	15	ער	1
business	16	בעהאלט	1
business	17	פאקט	1
delivery	1	בייז	1
delivery	2	שפעטיש	1
delivery	3	שרייט	1
delivery	4	ברוגז	1
entrance	1	אריין	2
entrance	2	פישעל	1
entrance	3	פאלט	1
entrance	4	אויפטרעטען	1
entrance	5	ירוחם	1
entrance	6	פריידעלע	1
entrance	7	יאכנע	1
entrance	8	אלטעריל	1
entrance	9	בערמאן	1
entrance	10	משוררים	1
entrance	11	קומט	1
exit	1	אב	3
exit	2	ניווער	1
exit	3	מיט	1
exit	4	יאכנע	1
setting	1	צימער	2
setting	2	ביי	2
setting	3	ירוחם	2
setting	4	פערוואנדלונג	2
setting	5	ארים	1
setting	6	ארמעס	1
trailer	1	ענדע	1
trailer	2	פון	1
trailer	3	ערשטען	1
trailer	4	אקט	1
