play	label	occurrences	pages	first_page_url	reason
Lateiner_Meshumed	אסיפ	65	12,13,14,22,23,24,25,26	https://app.transkribus.org/collection/2372172/doc/534187/detail/12	unmatched
MS_Emigration	קעלנער	30	49,50,51,52,53,54,57	https://app.transkribus.org/collection/2372172/doc/1013131/detail/49	unmatched
MS_Emigration	ער	25	110,113,114,115,116,117	https://app.transkribus.org/collection/2372172/doc/1013131/detail/110	unmatched
MS_Emigration	זיא	24	110,113,114,115,116,117	https://app.transkribus.org/collection/2372172/doc/1013131/detail/110	unmatched
MS_KhurbnYerusholaim	גדליה	12	12,13,14,20,22,24	https://app.transkribus.org/collection/2372172/doc/838368/detail/12	unmatched
MS_YaakovEsav	פאלק	12	22,23,24	https://app.transkribus.org/collection/2372172/doc/494907/detail/22	role: unmatched
Lateiner_Meshumed	שפיאן	11	30,31,32	https://app.transkribus.org/collection/2372172/doc/534187/detail/30	unmatched
Lateiner_Meshumed	פאוו	9	39,40,41	https://app.transkribus.org/collection/2372172/doc/534187/detail/39	unmatched
MS_Emigration	דיענער	9	6,7	https://app.transkribus.org/collection/2372172/doc/1013131/detail/6	unmatched
MS_BenHaDor	ער	8	17,32,33	https://app.transkribus.org/collection/2372172/doc/826910/detail/17	unmatched
MS_YoysefInEgipten	מנשה	8	46,47,48,49,51	https://app.transkribus.org/collection/2372172/doc/826832/detail/46	unmatched
Lateiner_Meshumed	קאצאפ	6	4,5	https://app.transkribus.org/collection/2372172/doc/534187/detail/4	unmatched
Lateiner_Meshumed	סאלד	6	33	https://app.transkribus.org/collection/2372172/doc/534187/detail/33	unmatched
Lateiner_Meshumed	יוד	6	39	https://app.transkribus.org/collection/2372172/doc/534187/detail/39	unmatched
Lateiner_Meshumed	כהר	5	19,20	https://app.transkribus.org/collection/2372172/doc/534187/detail/19	unmatched
MS_TissaEssler	בארי	5	10	https://app.transkribus.org/collection/2372172/doc/905289/detail/10	unmatched
Lateiner_Meshumed	פאליסמ	4	38	https://app.transkribus.org/collection/2372172/doc/534187/detail/38	unmatched
Lateiner_Meshumed	פאוועל	4	40	https://app.transkribus.org/collection/2372172/doc/534187/detail/40	unmatched
MS_BasKoyen	קעניגין	4	23,24	https://app.transkribus.org/collection/2372172/doc/838374/detail/23	unmatched
MS_BenHaDor	אלטע	4	32,33	https://app.transkribus.org/collection/2372172/doc/826910/detail/32	unmatched
