play	label	xmlid	count	pages
AlNaharotBavel-Amkreut&Freund1909	אֶלְיָקים	elyakim	3	28,63
AlNaharotBavel-Amkreut&Freund1909	אֶלְיָקים;	elyakim	1	63
AlNaharotBavel-Amkreut&Freund1909	אליקים	elyakim	123	7,8,9,10,11,12,13,14,15,28,29,30,32,33,34,35,36,58,60,61,62,63
AlNaharotBavel-Amkreut&Freund1909	בֶּן	ben_kaspi	27	13,14,15,16,28,29,30,32,33,35,36
AlNaharotBavel-Amkreut&Freund1909	בֶּן כַּסְפִּי	ben_kaspi	26	13,14,15,16,28,29,30,32,33,35,36
AlNaharotBavel-Amkreut&Freund1909	בֶּן כּספּי	ben_kaspi	1	14
AlNaharotBavel-Amkreut&Freund1909	בּן	ben_kaspi	2	15,31
AlNaharotBavel-Amkreut&Freund1909	בּן כַּסְפִּי	ben_kaspi	2	15,31
AlNaharotBavel-Amkreut&Freund1909	ביידע	beyde	2	49
AlNaharotBavel-Amkreut&Freund1909	דְלִילָה	delila	2	52
AlNaharotBavel-Amkreut&Freund1909	דוד	dovid	86	12,13,16,17,26,27,28,30,63
AlNaharotBavel-Amkreut&Freund1909	דלילה	delila	52	38,39,40,51,52,53,58
AlNaharotBavel-Amkreut&Freund1909	דניאל	daniel	20	8,9,10,11,31,34,35,36,56
AlNaharotBavel-Amkreut&Freund1909	הויפטמאן	hoyptman	57	34,35,36,37,40,41,49,51,52,54,55,56,57
AlNaharotBavel-Amkreut&Freund1909	זמרי	zimri	122	7,8,9,10,11,18,19,20,21,22,23,24,25,34,35,43,47,48,49,50,52,53,57,58,59
AlNaharotBavel-Amkreut&Freund1909	זרובבל	zerubavel	84	8,9,10,11,23,24,25,32,33,34,35,36,37,41,42,43,58,62,63
AlNaharotBavel-Amkreut&Freund1909	יְהוּדִית	yehudis	1	12
AlNaharotBavel-Amkreut&Freund1909	יהודִית'ל	yehudis	1	12
AlNaharotBavel-Amkreut&Freund1909	יהודית	yehudis	107	12,13,16,17,26,27,28,29,30,60,61,62,63
AlNaharotBavel-Amkreut&Freund1909	פאלמירא	palmira	97	19,20,21,22,23,24,25,44,45,46,47,52,53,54,55,59
AlNaharotBavel-Amkreut&Freund1909	קעניג	belshatsar	149	18,19,20,39,40,41,42,43,44,45,46,47,48,51,52,53,54,55,56,57,58
BasSheva	אבנר	bnr	46	12,13,15,16,17,59,60,61,62,63,65,66,67,68,69
BasSheva	אבנר, בנימין	bnr bnimin	1	16
BasSheva	אלע	alle	22	13,14,26,51,59,60,62,67,68,69,70
BasSheva	אסתר	ssr	65	28,29,30,31,32,33,46,47,48,49,50,51,52,60,61,62,63
BasSheva	בּת שבע	bs_shbe	81	7,8,9,10,11,12,14,15,23,24,26,27,36,37,38,39,49,50,51,52,53,60,61,65,66,67,68,69
BasSheva	ביידע	beyde	7	9,33,45,63
BasSheva	בנימִין	bnimin	2	47,48
BasSheva	בנימין	bnimin	87	13,15,16,17,30,31,32,33,39,40,41,42,43,44,45,46,47,48,49,60,61,63
BasSheva	בנימן	bnimin	2	16,45
BasSheva	בת שבע	bnimin	1	67
BasSheva	טייפעל	teyfel	47	18,19,20,21,35,42,43,44,45
BasSheva	למך	lmkh	25	15,22,23,26,27,61,62,63,66,68,69
BasSheva	מעדכען	meydkhen	2	35,36
BasSheva	מענער	mener	1	7
BasSheva	עָזריה	ezrih	7	7,8,9,17,21,42,65
BasSheva	עזריה	ezrih	122	8,9,12,13,14,15,16,17,18,19,20,21,27,34,35,36,38,39,40,41,42,50,51,52,53,63,64,65,66,67,68,70
BasSheva	צדוק	tsduk	123	10,11,12,13,14,15,22,23,25,26,27,28,29,30,50,54,55,56,57,58,59,60,67,68,69
BasSheva	צדיק	tsduk	5	10,26,29,67,68
BasSheva	קַאהר	chor	1	7
BasSheva	קאהר	chor	15	21,22,27,37,38,49,50,52,71
BasSheva	שלומיאל	shlumil	96	9,10,11,14,15,22,23,24,25,26,49,50,55,56,57,58,59,60,61,64,65,67,69
Blimele-AhronFaust1903	איינער	eyner	5	22,23,47,65
Blimele-AhronFaust1903	אלע	alle	12	10,15,16,22,25,40,65,67
Blimele-AhronFaust1903	בּליהמעלע	blimele	3	51,52
Blimele-AhronFaust1903	באטע	bote	2	48
Blimele-AhronFaust1903	ביידע	beyde	5	13,14,63
Blimele-AhronFaust1903	בליהמעלע	blimele	43	15,16,28,29,51,52,53,54,55,64,65
Blimele-AhronFaust1903	בערל	berele	17	7,8,9
Blimele-AhronFaust1903	גראף	graf_stanislav	111	17,18,19,20,21,22,23,24,25,40,41,43,44,48,56,57,58,59,60,61,64,65,66
Blimele-AhronFaust1903	דאמען	damen	6	10,15,26,27
Blimele-AhronFaust1903	דאניאל	doktor_daniel	81	15,16,22,23,24,25,26,27,37,38,39,40,41,48,49,50,51,52,54,55,56,65,67
Blimele-AhronFaust1903	דאניאל ליעפע זעליקל	doktor_daniel liepe zelikel_mnagen	1	41
Blimele-AhronFaust1903	דער איינער	der_einer	1	66
Blimele-AhronFaust1903	זֶעלִיקל	zelikel_mnagen	1	35
