play,full_line,direction,type,line_id,page,page_url
Der Mann untern Tisch,"(די בּינע שׁטעלְט פאָר אֵיין שׁענעם זאַל, אין דער רעכֿטער זַייט שְׁטעהט אַ טישׁ, דער טישׁ איז געדעקט מיט אַ ווֵייס טישׁ- טאַך ס'ליגט 2 חלְה'ס מיט אַ סערוועטעל צוּגעדעקט. עַם שְׁטעהט לֵייכֿטער מיט ליכֿט. דער טישׁ איז געדעקט מיט לעפֿעל גאָפעל אוּן מעסער, ווען דער פאָרהאַנג געהט אַרוֹיף שטעהט סאָבּעלע אוּן בּענְטשׁט ליכֿט).","(די בּינע שׁטעלְט פאָר אֵיין שׁענעם זאַל, אין דער רעכֿטער זַייט שְׁטעהט אַ טישׁ, דער טישׁ איז געדעקט מיט אַ ווֵייס טישׁ- טאַך ס'ליגט 2 חלְה'ס מיט אַ סערוועטעל צוּגעדעקט. עַם שְׁטעהט לֵייכֿטער מיט ליכֿט. דער טישׁ איז געדעקט מיט לעפֿעל גאָפעל אוּן מעסער, ווען דער פאָרהאַנג געהט אַרוֹיף שטעהט סאָבּעלע אוּן בּענְטשׁט ליכֿט).",setting,r_1_1l2,5,https://app.transkribus.org/collection/2372172/doc/817462/detail/5
Der Mann untern Tisch,(אויפֿטריט יאָכֿטשֶׁעֶ מיִט'ן טוּרְניִווער),(אויפֿטריט יאָכֿטשֶׁעֶ מיִט'ן טוּרְניִווער,entrance,r_1_1l13,5,https://app.transkribus.org/collection/2372172/doc/817462/detail/5
Der Mann untern Tisch,"אוֹי טאָ אָ, אוֹי טאָ אָ, אוֹי טאָ טאָ, 10 אָקעֶס פֿאַסאָלעֶס (אַב)",(אַב),exit,r_2_1l12,7,https://app.transkribus.org/collection/2372172/doc/817462/detail/7
Der Mann untern Tisch,"(אין דער צייַט שְׁטעהט יאָכֿטשׁע אוּן שאָקעלט זיך. אויפֿטריט טוּרְניווער קראָקעווער. יאָכֿטשע שאַ, שאַ, מַאךְ ניט קֵיין רעשׁ אָט געהן זיי). דעֶרְוַוייל דרעֶהט עֵר זיִך אוּם צוּ סאָבעלען אוּן גיִט איִהר אַ קוּשׁ.","(אין דער צייַט שְׁטעהט יאָכֿטשׁע אוּן שאָקעלט זיך. אויפֿטריט טוּרְניווער קראָקעווער. יאָכֿטשע שאַ, שאַ, מַאךְ ניט קֵיין רעשׁ אָט געהן זיי). דעֶרְוַוייל דרעֶהט עֵר זיִך אוּם צוּ סאָבעלען אוּן גיִט איִהר אַ קוּשׁ.",business,r_2_1l18,7,https://app.transkribus.org/collection/2372172/doc/817462/detail/7
Der Mann untern Tisch,קראָקעֶוועֶר זיִנְגְט:,זיִנְגְט,delivery,r_1_1l10,8,https://app.transkribus.org/collection/2372172/doc/817462/detail/8
Der Mann untern Tisch,איִן דעֶר צַייט וועֶן דיִ מוּזיִק שפּילט זאָגְט סאָבּעֶלעֶ צוּם קראָקעֶוועֶר.,איִן דעֶר צַייט וועֶן דיִ מוּזיִק שפּילט זאָגְט סאָבּעֶלעֶ צוּם קראָקעֶוועֶר.,business,r_1_1l19,9,https://app.transkribus.org/collection/2372172/doc/817462/detail/9
Der Mann untern Tisch,ערוך. (אב),אב),exit,r_1_1l38,9,https://app.transkribus.org/collection/2372172/doc/817462/detail/9
Der Mann untern Tisch,נוּ ר' אוֹרח האָט איִהר שֵׂכֶל אוּן וואַרפט אייַךְ אַרוֹיס (טוּר⸗,(טוּר⸗,,r_2_1l11,10,https://app.transkribus.org/collection/2372172/doc/817462/detail/10
Der Mann untern Tisch,ניִווער אָבּ) נאָ ר' קראָקעֶוועֶר האָט איִהר מיִר געֶבְּרַאַכְֿט?,ניִווער אָבּ),exit,r_2_1l12,10,https://app.transkribus.org/collection/2372172/doc/817462/detail/10
Der Mann untern Tisch,"אַה, דיִ תחיִנה מייֵנְט איִהר? יאָ איִךְ האָבּ זיִ גיִבּראַכֿט (עֵר",(עֵר,,r_2_1l14,10,https://app.transkribus.org/collection/2372172/doc/817462/detail/10
Der Mann untern Tisch,גיִט איִהר) יעֶצְט ווײַזט וואָס איִהר קעֶנְט.,גיִט איִהר),business,r_2_1l15,10,https://app.transkribus.org/collection/2372172/doc/817462/detail/10
Der Mann untern Tisch,טוּרניווער: (אין פֿענסטער),(אין פֿענסטער),location,r_2_1l18,10,https://app.transkribus.org/collection/2372172/doc/817462/detail/10
Der Mann untern Tisch,"(זיי נעהמען זיך אַרוּם, יאכֿטשע ערשיינט).","(זיי נעהמען זיך אַרוּם, יאכֿטשע ערשיינט).",mixed,r_2_1l9,11,https://app.transkribus.org/collection/2372172/doc/817462/detail/11
Der Mann untern Tisch,מיִט'ן קאָפּ איִן דעֶר עֶרְד אַרייַן געֶהט (ער יאָגט איהם אַרויס),(ער יאָגט איהם אַרויס),exit,r_2_1l15,11,https://app.transkribus.org/collection/2372172/doc/817462/detail/11
Der Mann untern Tisch,"טישׁ איךְ וועֶל אַמיסטעֶן זעהן וואָס זי מייֵנְט. (עֵר בּעהאַלט זיך אוּנטער'ן טישׁ. אויפֿטריט טוּרְניווער אוּן זעצט זיך צוּם טישׁ, יאָכֿטשע גיט איהם אַ שׁלעפ).","(עֵר בּעהאַלט זיך אוּנטער'ן טישׁ. אויפֿטריט טוּרְניווער אוּן זעצט זיך צוּם טישׁ, יאָכֿטשע גיט איהם אַ שׁלעפ).",business,r_2_1l18,11,https://app.transkribus.org/collection/2372172/doc/817462/detail/11
Der Mann untern Tisch,טאָ געֶהט איִן ד'רעֶד אַרייַן מיִט'ן קאָפּ (ער יאָגט איהם אַרויס),(ער יאָגט איהם אַרויס),exit,r_2_1l31,11,https://app.transkribus.org/collection/2372172/doc/817462/detail/11
Der Mann untern Tisch,(ער בעהאַלט זיך. אויפֿטריט סאבעלע).,(ער בעהאַלט זיך. אויפֿטריט סאבעלע).,mixed,r_2_1l34,11,https://app.transkribus.org/collection/2372172/doc/817462/detail/11
Der Mann untern Tisch,(אין דער צייט הייבט זיך אויף יאכֿטשע און נעהמט דעם גאָרטעל),(אין דער צייט הייבט זיך אויף יאכֿטשע און נעהמט דעם גאָרטעל),business,r_4_1l5,12,https://app.transkribus.org/collection/2372172/doc/817462/detail/12
Der Mann untern Tisch,איִן שְׁלאָגְט איִהר) נאַ דיִר אַ קראָקעֶוועֶר (בּיז ער יאָגט זי אָרויס),(בּיז ער יאָגט זי אָרויס),exit,line_1635959183252_2748,12,https://app.transkribus.org/collection/2372172/doc/817462/detail/12
Der Mann untern Tisch,"(אויפֿטריט טוּרְניווער, יאָכֿטשׁע וויל איהם אַרויסיאגען, דער טוּרְניווער לויפְֿט אַרוּם טישׁ, יאָכֿטשע יאָגט איהם נאָך בּיז עֵר האַפט צוּ איהם אַ בּענְקעל). (יאָכטשע אָבּ, אויפטריט סאבּעלע און פערהאַלט דעם טורניווער).","(אויפֿטריט טוּרְניווער, יאָכֿטשׁע וויל איהם אַרויסיאגען, דער טוּרְניווער לויפְֿט אַרוּם טישׁ, יאָכֿטשע יאָגט איהם נאָך בּיז עֵר האַפט צוּ איהם אַ בּענְקעל). (יאָכטשע אָבּ, אויפטריט סאבּעלע און פערהאַלט דעם טורניווער).",business,r_4_1l11,12,https://app.transkribus.org/collection/2372172/doc/817462/detail/12
Der Mann untern Tisch,(קלערְט אבּייסיל) הערְט מיךְ אויס טאָמעֶר וועֶט אייַךְ אייַער מאַן,(קלערְט אבּייסיל),,r_1_1l26,14,https://app.transkribus.org/collection/2372172/doc/817462/detail/14
Der Mann untern Tisch,איִבֶּעֶר רעֶדעֶן מיִט אייַעֶר מאַן (סאבעלע אָבּ). נוּ וואָס עֶס האָט,(סאבעלע אָבּ),exit,r_2_1l5,15,https://app.transkribus.org/collection/2372172/doc/817462/detail/15
Der Mann untern Tisch,סאָבּעֶלעֶ קוּם נאָר אַריַין (אויפֿטריט סאָבּעלע) נוּ שֶׁעהן אַזוֹי?,(אויפֿטריט סאָבּעלע),entrance,r_2_1l13,16,https://app.transkribus.org/collection/2372172/doc/817462/detail/16
Der Mann untern Tisch,א לעֶמישקעֶ (אָב).,(אָב),exit,r_2_1l6,17,https://app.transkribus.org/collection/2372172/doc/817462/detail/17
Der Mann untern Tisch,אויפֿטריט טוּרְניווער אוּן קראָקעווער,אויפֿטריט טוּרְניווער אוּן קראָקעווער,entrance,r_2_1l11,17,https://app.transkribus.org/collection/2372172/doc/817462/detail/17
Der Mann untern Tisch,(צו סאבעלען) אַ פּיאָנטעֶק.,(צו סאבעלען),delivery,r_2_1l19,17,https://app.transkribus.org/collection/2372172/doc/817462/detail/17
Der Mann untern Tisch,קראקעווער (זינגט):,(זינגט),delivery,r_1_1l1,18,https://app.transkribus.org/collection/2372172/doc/817462/detail/18
Der Mann untern Tisch,ווי מיר קומען צום רבין צופאָרעֶן (בּיס).,(בּיס),,r_1_1l3,18,https://app.transkribus.org/collection/2372172/doc/817462/detail/18
Der Mann untern Tisch,"איִן דעֶר צַייט וועֶן מעֶן ענְדיִגט דאָס געזאַנג שפּילט דיִ מוּזיִק זעֶלְבְּסְט אוּן יאָכֿטשֶעֶ טַאנְצְט מיִט'ן טוּרְניִווער אוּן סאָבּעֶלעֶ מיִט'ן קראָ⸗ קעֶווער, אַזוֹי וויִ יאָכֿטשעֶ דעֶרְזעֶהט לויִפֿט עֵר נאָך דעֶם קראָקעֶוועֶר, דעֶר טוּרְניִווער בּעֶהאַלט איִהם אוּן עֵר זיִנְגְט אוֹי טאָ, טאָ. פאָרהאַנג פאַלט.","איִן דעֶר צַייט וועֶן מעֶן ענְדיִגט דאָס געזאַנג שפּילט דיִ מוּזיִק זעֶלְבְּסְט אוּן יאָכֿטשֶעֶ טַאנְצְט מיִט'ן טוּרְניִווער אוּן סאָבּעֶלעֶ מיִט'ן קראָ⸗ קעֶווער, אַזוֹי וויִ יאָכֿטשעֶ דעֶרְזעֶהט לויִפֿט עֵר נאָך דעֶם קראָקעֶוועֶר, דעֶר טוּרְניִווער בּעֶהאַלט איִהם אוּן עֵר זיִנְגְט אוֹי טאָ, טאָ. פאָרהאַנג פאַלט.",mixed,r_1_1l31,18,https://app.transkribus.org/collection/2372172/doc/817462/detail/18
Yudale der Blinder,(ארים צימער ביי ירוחם).,(ארים צימער ביי ירוחם).,business,r2l11,5,https://app.transkribus.org/collection/2372172/doc/828539/detail/5
Yudale der Blinder,"ירוחם: (בעז) אַז קרִיכֶען זאלסְטוּ ווִי אַהין אִיךְ ווֵייס, ווֶער פרעגט דִיךְ",(בעז),delivery,line_1647267226661_1467,5,https://app.transkribus.org/collection/2372172/doc/828539/detail/5
Yudale der Blinder,ירוחם: עֶס וֶועט זַיין שׁטִיל צוּ נֵיין? (צערייסט די נאטען).,(צערייסט די נאטען).,business,line_1647267350544_1513,5,https://app.transkribus.org/collection/2372172/doc/828539/detail/5
Yudale der Blinder,(אויפטריט פריידעלע).,(אויפטריט פריידעלע).,entrance,r2l41,5,https://app.transkribus.org/collection/2372172/doc/828539/detail/5
Yudale der Blinder,יאכנע: דֶער מאמֶען זאָל זײַן פאַר אַ יעדֶען עֵבֶר (אב).,(אב).,exit,line_1647267380716_1531,5,https://app.transkribus.org/collection/2372172/doc/828539/detail/5
Yudale der Blinder,(אויפטריט איסר).,(אויפטריט איסר).,entrance,r2l46,5,https://app.transkribus.org/collection/2372172/doc/828539/detail/5
Yudale der Blinder,יאכנע: (גיט אַ בענקעל) זִיצְט (אַפאַרט) אִין גֶעהַאקְטֶע וואוּנְדֶען.,(גיט אַ בענקעל),business,line_1647268127683_1919,6,https://app.transkribus.org/collection/2372172/doc/828539/detail/6
Yudale der Blinder,יאכנע: (גיט אַ בענקעל) זִיצְט (אַפאַרט) אִין גֶעהַאקְטֶע וואוּנְדֶען.,(אַפאַרט),business,line_1647268127683_1919,6,https://app.transkribus.org/collection/2372172/doc/828539/detail/6
Yudale der Blinder,ירוחם: ווֶעהרְט פֶערְשְׁטִימְט! ווָארִין... (וויל איהם געבען אפאטש),(וויל איהם געבען אפאטש),business,TextRegion_1648504972456_2586l8,8,https://app.transkribus.org/collection/2372172/doc/828539/detail/8
Yudale der Blinder,"ירוחם: אָ דוּ הונְד (חאפט א בענקעל, איסר בלייבט ליגען אויף דער ערד).","(חאפט א בענקעל, איסר בלייבט ליגען אויף דער ערד).",business,line_1647437219753_345,9,https://app.transkribus.org/collection/2372172/doc/828539/detail/9
Yudale der Blinder,איסר: (ביי די טהיר) אַיידֶער אִיךְ גֶעה אִיבֶּערְלֶעגְט אַייךְ גוּט דֶעם שִׁידָךְ,(ביי די טהיר),business,line_1647437362195_397,9,https://app.transkribus.org/collection/2372172/doc/828539/detail/9
Yudale der Blinder,"שֶׁעָה, מַזָל טוֹב! (אב).",(אב).,exit,r1l37,9,https://app.transkribus.org/collection/2372172/doc/828539/detail/9
Yudale der Blinder,פישל: (אונטער דיא קוליסען) גֶעווַאלְד... גֶעווַאלְד!,(אונטער דיא קוליסען),business,r1l40,9,https://app.transkribus.org/collection/2372172/doc/828539/detail/9
Yudale der Blinder,"גֶעווַאלְד, גֶעווַאלְד, אוּן ווֵיינְט. (פישעל פאלט אריין).",(פישעל פאלט אריין).,business,r1l46,9,https://app.transkribus.org/collection/2372172/doc/828539/detail/9
