n	play	page	line_id	offset	span	line	url
1201	MS_YaakovEsav	0032_20296755.xml	r1l13	39	בלייבט אינטער דער טהיר, שטעקט	קאן נאך מיין יעקבען, מעביר נחלה זיין. (בלייבט אינטער דער טהיר, שטעקט	https://app.transkribus.org/collection/2372172/doc/494907/detail/32
1202	MS_YaakovEsav	0032_20296755.xml	r1l14	0	(צייטען ווייז אריין דעם קאפ צי הערען וואס זיי רעדען	(צייטען ווייז אריין דעם קאפ צי הערען וואס זיי רעדען	https://app.transkribus.org/collection/2372172/doc/494907/detail/32
1203	MS_YaakovEsav	0033_20296757.xml	r2l7	0	געהט צו	געהט צו| אָט בין איך טאטע.	https://app.transkribus.org/collection/2372172/doc/494907/detail/33
1204	MS_YaakovEsav	0033_20296757.xml	r2l9	0	נעמט איהם אָן ביי דער האנד	נעמט איהם אָן ביי דער האנד| הער מיך אויס מיין ליעבער זוהן.	https://app.transkribus.org/collection/2372172/doc/494907/detail/33
1205	MS_YaakovEsav	0033_20296757.xml	r1l12	36	רבקה הערט זיך איין שאקעלט	וועסט זי איבערגעבען דיינס אַ קינד. |רבקה הערט זיך איין שאקעלט	https://app.transkribus.org/collection/2372172/doc/494907/detail/33
1206	MS_YaakovEsav	0033_20296757.xml	r1l13	0	טרויריג מיטען קאפ	טרויריג מיטען קאפ|	https://app.transkribus.org/collection/2372172/doc/494907/detail/33
1207	MS_YaakovEsav	0034_20296759.xml	r2l4	37	רבקה הערט זיך אלץ איין. זעהר	אין וועל דיר בענשען פֿיר מיין טויט. (רבקה הערט זיך אלץ איין. זעהר	https://app.transkribus.org/collection/2372172/doc/494907/detail/34
1208	MS_YaakovEsav	0034_20296759.xml	r2l5	0	נישט צו פֿרידען	נישט צו פֿרידען|	https://app.transkribus.org/collection/2372172/doc/494907/detail/34
1209	MS_YaakovEsav	0034_20296759.xml	r2l19	33	יעקב קומט	זאל פֿאלען אויף מיין יעקבס קאפ. (יעקב קומט) גוט מיין זוהן וואס	https://app.transkribus.org/collection/2372172/doc/494907/detail/34
1210	MS_YaakovEsav	0035_20296761.xml	r1l18	0	פֿליהט אריין אלס מלאך מיט אויפֿגעשטעלטע פֿליעגעל	פֿליהט אריין אלס מלאך מיט אויפֿגעשטעלטע פֿליעגעל| אַ נייער שווינדעל!	https://app.transkribus.org/collection/2372172/doc/494907/detail/35
1211	MS_YaakovEsav	0036_20296763.xml	r1l11	0	לויפט אריין לאכענד, לויפט ארום	לויפט אריין לאכענד, לויפט ארום | האַ. האַ. האַ. איך האב איהם געזעהן.	https://app.transkribus.org/collection/2372172/doc/494907/detail/36
1212	MS_YaakovEsav	0036_20296763.xml	r1l19	33	זיטופעט מיט די פֿיס	ווי מיין באבע הגר פֿון אברהם'ען. זיטופעט מיט די פֿיס| איך וויל	https://app.transkribus.org/collection/2372172/doc/494907/detail/36
1213	MS_YaakovEsav	0036_20296763.xml	r2l9	0	טאנצט פֿאר גדולה	טאנצט פֿאר גדולה| נאר לעבען. ווילד זיין, אוי א פֿערגעניגען.	https://app.transkribus.org/collection/2372172/doc/494907/detail/36
1214	MS_YaakovEsav	0036_20296763.xml	r2l11	1	עס קומט צוריק יעקב אין עשוס קליידער. און רבקה מיט עסען)	(עס קומט צוריק יעקב אין עשוס קליידער. און רבקה מיט עסען)	https://app.transkribus.org/collection/2372172/doc/494907/detail/36
1215	MS_YaakovEsav	0036_20296763.xml	r2l22	0	(עס געשיהט	(עס געשיהט) אזוי געשווינד מיין קינד האסטו געכאפט אַ גענעג?	https://app.transkribus.org/collection/2372172/doc/494907/detail/36
1216	MS_YaakovEsav	0037_20296765.xml	r2l3	0	צו זיך	צו זיך| ווי פרום ער רעד היינט, צו יעקבען| קום אהער מיין קינד	https://app.transkribus.org/collection/2372172/doc/494907/detail/37
1217	MS_YaakovEsav	0037_20296765.xml	r2l3	31	צו יעקבען	צו זיך| ווי פרום ער רעד היינט, צו יעקבען| קום אהער מיין קינד	https://app.transkribus.org/collection/2372172/doc/494907/detail/37
1218	MS_YaakovEsav	0037_20296765.xml	r2l4	48	געשיהט	איך וועל דיך בעטאפען צו ביסטו עס מיין זוהן עשו. געשיהט| איך	https://app.transkribus.org/collection/2372172/doc/494907/detail/37
1219	MS_YaakovEsav	0037_20296765.xml	r2l10	50	געשיהט)	|ברענג זשע מיר אהער דאס עסען וועל איך דיך בענשען. געשיהט)	https://app.transkribus.org/collection/2372172/doc/494907/detail/37
1220	MS_YaakovEsav	0037_20296765.xml	r2l15	1	יעקב קניהט פֿור יצחקען, עס קומען אדומל און ישראל אַלס מלאכים. יצחיק זינגט|	|יעקב קניהט פֿור יצחקען, עס קומען אדומל און ישראל אַלס מלאכים. יצחיק זינגט|	https://app.transkribus.org/collection/2372172/doc/494907/detail/37
1221	MS_YaakovEsav	0037_20296765.xml	r1l2	29	אָב מיט רבקהן לינקס. און עשו קומט אָן	איך וועל טהון דיין בעפֿעהל. (אָב מיט רבקהן לינקס. און עשו קומט אָן	https://app.transkribus.org/collection/2372172/doc/494907/detail/37
1222	MS_YaakovEsav	0037_20296765.xml	r1l4	0	רעכטס	רעכטס)	https://app.transkribus.org/collection/2372172/doc/494907/detail/37
1223	MS_YaakovEsav	0037_20296765.xml	r1l8	0	ערשראקען	ערשראקען| ווער ביסטו?	https://app.transkribus.org/collection/2372172/doc/494907/detail/37
1224	MS_YaakovEsav	0037_20296765.xml	r1l13	0	ציטרענד	ציטרענד| און ווער האט עס מיר דאָ פֿריהער עסען געבראכט. און איך	https://app.transkribus.org/collection/2372172/doc/494907/detail/37
1225	MS_YaakovEsav	0038_20296767.xml	r2l14	26	ער ווארפֿט אראב פֿון זיך די חיה	טאטע! דו בענשט איהם נאך! |ער ווארפֿט אראב פֿון זיך די חיה	https://app.transkribus.org/collection/2372172/doc/494907/detail/38
1226	MS_YaakovEsav	0038_20296767.xml	r2l15	0	און פֿאלט פֿאר יצחקען אויף די קניע מיט געוויין	און פֿאלט פֿאר יצחקען אויף די קניע מיט געוויין| טאטע האָסט שוין	https://app.transkribus.org/collection/2372172/doc/494907/detail/38
1227	MS_YaakovEsav	0038_20296767.xml	r2l16	30	וויינט שטארק	גאר קיין ברכה נישט פֿאר מיר? |וויינט שטארק|	https://app.transkribus.org/collection/2372172/doc/494907/detail/38
1228	MS_YaakovEsav	0038_20296767.xml	r1l5	0	שטעהט אויף	שטעהט אויף| זאלסט בעוואהנען די פֿעטע לענדער פֿון דער ערד.	https://app.transkribus.org/collection/2372172/doc/494907/detail/38
1229	MS_YaakovEsav	0038_20296767.xml	r1l9	41	פֿאלט צוריק אויפען בעט	אברהמ׳ס גאָט, וועסטו הערשען איבער איהם. |פֿאלט צוריק אויפען בעט	https://app.transkribus.org/collection/2372172/doc/494907/detail/38
1230	MS_YaakovEsav	0038_20296767.xml	r1l13	6	יעקב קומט אן	לעבען יעקב קומט אן| קום אהער מיין טייערער ברודער. האט דיר אויך	https://app.transkribus.org/collection/2372172/doc/494907/detail/38
1231	MS_YaakovEsav	0039_20296769.xml	r2l2	0	שרעקענד	שרעקענד| איך ווייס נישט וואס דו ביסט און כעס אויף, מיר? וואס האסטו	https://app.transkribus.org/collection/2372172/doc/494907/detail/39
1232	MS_YaakovEsav	0039_20296769.xml	r1l4	0	פֿאלט צו איהם צו ווילד. רייסט איהם אראב די קליידער ווארגט איהם|	פֿאלט צו איהם צו ווילד. רייסט איהם אראב די קליידער ווארגט איהם|	https://app.transkribus.org/collection/2372172/doc/494907/detail/39
1233	MS_YaakovEsav	0039_20296769.xml	r1l5	0	ישראל לויהט אריין אלס מלאך שטעלט זיך אין דער מיט. רבקה נאך איהם|	ישראל לויהט אריין אלס מלאך שטעלט זיך אין דער מיט. רבקה נאך איהם|	https://app.transkribus.org/collection/2372172/doc/494907/detail/39
1234	MS_YaakovEsav	0039_20296769.xml	r1l10	0	ווערד אפֿגעשטופט און ישראל פערשווינדעט	ווערד אפֿגעשטופט און ישראל פערשווינדעט| לערענט עס אזוי אייער תורה?	https://app.transkribus.org/collection/2372172/doc/494907/detail/39
1235	MS_YaakovEsav	0039_20296769.xml	r1l22	31	קריצט מיט די ציין	געהערט דאס אויך צו אייער תורה? קריצט מיט די ציין	https://app.transkribus.org/collection/2372172/doc/494907/detail/39
1236	MS_YaakovEsav	0040_20296771.xml	r2l11	0	מיט שרעקליכען צארען|	מיט שרעקליכען צארען| הייסט עס איך בין דיין משרת? אַ דו...	https://app.transkribus.org/collection/2372172/doc/494907/detail/40
1237	MS_YaakovEsav	0040_20296771.xml	r2l12	2	אלט צו יעקבען. עס פֿאלען אריין אין דער מיט רבקה און ישראל	פֿאלט צו יעקבען. עס פֿאלען אריין אין דער מיט רבקה און ישראל|	https://app.transkribus.org/collection/2372172/doc/494907/detail/40
1238	MS_YaakovEsav	0040_20296771.xml	r2l19	41	עס קומען אדומל פֿון	שלום! ניין! אַ רשע מאכט קיין שלום נישט. |עס קומען אדומל פֿון	https://app.transkribus.org/collection/2372172/doc/494907/detail/40
1239	MS_YaakovEsav	0040_20296771.xml	r2l20	0	רעכטס. אין בלייבט שטעהן ביי דער טיר רעכטס. ישראל ביי דער טהיר לינקס	רעכטס. אין בלייבט שטעהן ביי דער טיר רעכטס. ישראל ביי דער טהיר לינקס	https://app.transkribus.org/collection/2372172/doc/494907/detail/40
1240	MS_YaakovEsav	0040_20296771.xml	r1l4	58	ער	אַ מלחמה. אנעוויגע מלחמה וועט זיין צווישען יעקב און עשו. (ער	https://app.transkribus.org/collection/2372172/doc/494907/detail/40
1241	MS_YaakovEsav	0040_20296771.xml	r1l5	0	ציהט זיין שווערט בלייבט שטעהן פֿאזיציאן)	ציהט זיין שווערט בלייבט שטעהן פֿאזיציאן)	https://app.transkribus.org/collection/2372172/doc/494907/detail/40
1242	MS_YaakovEsav	0040_20296771.xml	r1l7	2	י ביהנע ווערט שטארק פֿינסטער. עס קומט פֿאר אַ פֿרייער געגענד	(די ביהנע ווערט שטארק פֿינסטער. עס קומט פֿאר אַ פֿרייער געגענד	https://app.transkribus.org/collection/2372172/doc/494907/detail/40
1243	MS_YaakovEsav	0040_20296771.xml	r1l8	0	מיט פֿיעל שטיינער. נאך אַ פויזע קומט אָן יעקב פֿון לינקס)	מיט פֿיעל שטיינער. נאך אַ פויזע קומט אָן יעקב פֿון לינקס)	https://app.transkribus.org/collection/2372172/doc/494907/detail/40
1244	MS_YaakovEsav	0040_20296771.xml	r1l21	0	זינגט דאס תורהלע	זינגט דאס תורהלע	https://app.transkribus.org/collection/2372172/doc/494907/detail/40
1245	MS_YaakovEsav	0041_20296772.xml	r1l2	0	עס ווייזט זיך זונען אונטערגאנג	עס ווייזט זיך זונען אונטערגאנג ) עס איז נאכט. ווייטער געהן האב איך קיין	https://app.transkribus.org/collection/2372172/doc/494907/detail/41
1246	MS_YaakovEsav	0041_20296772.xml	r1l4	13	(ער טראגט זיך אן שטיינער מאכט זיך אַ שלאף ארט)	מיט שטיינער! (ער טראגט זיך אן שטיינער מאכט זיך אַ שלאף ארט)	https://app.transkribus.org/collection/2372172/doc/494907/detail/41
1247	MS_YaakovEsav	0041_20296772.xml	r1l5	0	די שטיינער ציהען זיך ציזאממען עס ווערט איין	די שטיינער ציהען זיך ציזאממען עס ווערט איין	https://app.transkribus.org/collection/2372172/doc/494907/detail/41
1248	MS_YaakovEsav	0041_20296772.xml	r1l6	0	שטיין. ער לעגט זיך שלאפֿען עס בעווייזט זיך דער	שטיין. ער לעגט זיך שלאפֿען עס בעווייזט זיך דער	https://app.transkribus.org/collection/2372172/doc/494907/detail/41
1249	MS_YaakovEsav	0041_20296772.xml	r1l7	0	(לייטער מיט די מלאכים, זיין חלום. ענגעל כאר)	(לייטער מיט די מלאכים, זיין חלום. ענגעל כאר)	https://app.transkribus.org/collection/2372172/doc/494907/detail/41
1250	MS_YaakovEsav	0042_20296773.xml	r2l2	1	רחלס געצעלט, עס ליעגען רעכטס איבערגעבליבענע חפֿצים, אַ קריגעל, עטליכע בעכער	(רחלס געצעלט, עס ליעגען רעכטס איבערגעבליבענע חפֿצים, אַ קריגעל, עטליכע בעכער	https://app.transkribus.org/collection/2372172/doc/494907/detail/42
1251	MS_YaakovEsav	0042_20296773.xml	r2l3	0	אַ פאסטוך שטעקען און אַ בויגען. נאנטער צו דער ביהנע אַ קאסטען. רחל איז אויף	אַ פאסטוך שטעקען און אַ בויגען. נאנטער צו דער ביהנע אַ קאסטען. רחל איז אויף	https://app.transkribus.org/collection/2372172/doc/494907/detail/42
1252	MS_YaakovEsav	0042_20296773.xml	r2l4	0	דער צייט געלעגען צו ווערען. זעהט אויס ליידענט. זיצט אויפֿען קאסטען. ווען דער	דער צייט געלעגען צו ווערען. זעהט אויס ליידענט. זיצט אויפֿען קאסטען. ווען דער	https://app.transkribus.org/collection/2372172/doc/494907/detail/42
1253	MS_YaakovEsav	0042_20296773.xml	r2l6	5	נאך געזאנ	רחל | נאך געזאנג איך לייד! אבער וואס זי שולדיג? איך אליין האב איהר די	https://app.transkribus.org/collection/2372172/doc/494907/detail/42
