play	page	transkribus_url	line_id	span	line	rule_said
MS_BasKoyen	0007_31089290.xml	https://app.transkribus.org/collection/2372172/doc/838374/detail/7	r1l6	I	I העלד און זיעגער איין לאבער קראנץ אויף זיין קאפ	
MS_BasKoyen	0023_31089306.xml	https://app.transkribus.org/collection/2372172/doc/838374/detail/23	l	I	I	
MS_BasKoyen	0029_31089312.xml	https://app.transkribus.org/collection/2372172/doc/838374/detail/29	r2l16	3 1 2	3 1 2	
MS_BasKoyen	0033_31089316.xml	https://app.transkribus.org/collection/2372172/doc/838374/detail/33	r2l3	I	I אייך ניט זעהן געפונען	
MS_BasKoyen	0033_31089316.xml	https://app.transkribus.org/collection/2372172/doc/838374/detail/33	r2l16	II	II גוטען וויין און שלאף געזונדערהייט (נעמט א גלעזעל וויין און	
MS_BasKoyen	0036_31089319.xml	https://app.transkribus.org/collection/2372172/doc/838374/detail/36	r2l6	I	I זענען אויפן וועג צו דער גרענעץ און לויט דעם	
MS_BenHaDor	0017_30780209.xml	https://app.transkribus.org/collection/2372172/doc/826910/detail/17	r2l22	״/״	״/״	
MS_BenHaDor	0033_30780225.xml	https://app.transkribus.org/collection/2372172/doc/826910/detail/33	r1l2	(4)	קרא (4) ווער איז דארטען דא?	
MS_BenHaDor	0033_30780225.xml	https://app.transkribus.org/collection/2372172/doc/826910/detail/33	r1l3	(4)	אלטע | קווא (4) קיינער איז נישטא	
MS_BenHaDor	0033_30780225.xml	https://app.transkribus.org/collection/2372172/doc/826910/detail/33	r1l4	(4)	יונגע | קוּקוּ (4)	
MS_BenHaDor	0033_30780225.xml	https://app.transkribus.org/collection/2372172/doc/826910/detail/33	r1l5	(4)	ער | קרא (4)	
MS_DiTsveyTnoim	0006_31094195.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/6	r2l19	Auftrit	Auftrit (שמעון צענאביא (פֿון העהלע	
MS_DiTsveyTnoim	0007_31094198.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/7	l	Auftr	Auftr	
MS_DiTsveyTnoim	0009_31094204.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/9	r2l9	Auf	אויפֿטריט חגלה. Auf	
MS_DiTsveyTnoim	0009_31094204.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/9	r2l18	Auftr	Auftr נחמן (אַלס מיידעל)	
MS_DiTsveyTnoim	0010_31094207.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/10	r1l12	Auftr	Auftr (הילנא. (אלס מאַנן	
MS_DiTsveyTnoim	0011_31094209.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/11	r3l4	Auftr	חגלה, נחמן, פּלדש. Auftr	
MS_DiTsveyTnoim	0014_31094219.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/14	r1l4	2. (II)	2. (II)	
MS_DiTsveyTnoim	0014_31094219.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/14	r1l14	3. (III)	3. (III)	
MS_DiTsveyTnoim	0014_31094219.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/14	r2l4	Auftr	בן פּדות, אונד איזראעלית. Auftr	
MS_DiTsveyTnoim	0017_31094228.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/17	r2l7	Auft	Auft הילנא (איז עוואַס פֿריהער געקומען)	
MS_DiTsveyTnoim	0017_31094228.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/17	r2l18	Auft	Auft שמעון - צענאַביאַ	
MS_DiTsveyTnoim	0018_31094232.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/18	r1l15	Auftr	I. (נאָכן באַלעט) Auftr	
MS_DiTsveyTnoim	0019_31094234.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/19	r1l10	Auft	חגלה-פּלדש.-נחמן. Auft	
MS_DiTsveyTnoim	0021_31094240.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/21	r1l15	Auftr	Auftr צענאַביא. (מיט אַ ראַללע פּאַפּיער)	
MS_DiTsveyTnoim	0021_31094240.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/21	r2l8	Auftr	Auftr II	
MS_DiTsveyTnoim	0021_31094240.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/21	r2l14	Auftr	Auftr (שמעון. (אויפגערעגט מיטין בריעף	
MS_DiTsveyTnoim	0023_31094248.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/23	r1l3	Auftrit	הילנא. Auftrit	
MS_DiTsveyTnoim	0024_31094251.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/24	r2l11	Auftr	Auftr יוחנן - איזראעלית	
MS_DiTsveyTnoim	0026_31094262.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/26	r2l15	Auft	בן פּדות - צענאביאַ. Auft	
MS_DiTsveyTnoim	0032_31094284.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/32	r1l12	Auftr	צענאביא. נאַכהער הילנא. Auftr	
MS_DiTsveyTnoim	0032_31094284.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/32	r2l8	ָAuf	אָAuf בן פּדות מיט כאָהר (אַלס תלמידים פֿון הויז לינקס) בר נזיר (מיט	
MS_DiTsveyTnoim	0037_31094303.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/37	r1l8	Auftr שמעון.	Auftr שמעון. (אַלס עגיפּטער מיט גרויסען פֿאַלשען באָרד) נחמן	
MS_DiTsveyTnoim	0039_31094309.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/39	r1l12	Auf: Ansal | N3 בר-נזיר. בן פּדות	Auf: Ansal | N3 בר-נזיר. בן פּדות	
MS_DiTsveyTnoim	0041_31094311.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/41	r1l2	Auft	פּלדש -חגלה (מיט עססען) Auft	
MS_DiTsveyTnoim	0042_31094312.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/42	r2l2	Auftr	Auftr יזראעלית	
MS_DiTsveyTnoim	0043_31094313.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/43	r2l5	Auft.	אויפטריט הילנא Auft.	
MS_DiTsveyTnoim	0044_31094314.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/44	r1l3	Auft	Auft צענאביא. (אין קעטטען)	
MS_DiTsveyTnoim	0044_31094314.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/44	r2l15	Auftr	בר- נזיר. Auftr	
MS_DiTsveyTnoim	0044_31094314.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/44	r2l22	Auf	פֿרילינג (אַדאַמע) Auf	
MS_DiTsveyTnoim	0045_31094315.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/45	r1l10	Auftr	Auftr (דער זאָממער (אדאַמע	
MS_DiTsveyTnoim	0045_31094315.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/45	r2l20	Auft	Auft הילנא. -נחמן. (יעדער איז האַב מאַנן און האַלב פֿרוי)	
MS_DiTsveyTnoim	0047_31094317.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/47	r1l10	Auftr	Auftr צענאביאַ. (אין פֿאָלער פּראַכט מיט אַ קרוין)	
MS_DiTsveyTnoim	0047_31094317.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/47	r1l21	Auft	אויף, זעהט קומען: שמעון יזראעלית Auft	
MS_DiTsveyTnoim	0048_31094318.xml	https://app.transkribus.org/collection/2372172/doc/838430/detail/48	r1l3	.II A	.II A	
MS_Emigration	0022_41061612.xml	https://app.transkribus.org/collection/2372172/doc/1013131/detail/22	r1l12	(4)	אה ניין (4) ניין ניין ניין דאס קאן ניכט זיין	
MS_Emigration	0025_41061619.xml	https://app.transkribus.org/collection/2372172/doc/1013131/detail/25	line_1653485325706_1703	RI	RI סאנו	
MS_Emigration	0025_41061619.xml	https://app.transkribus.org/collection/2372172/doc/1013131/detail/25	r1l11	RII	RII .אננא וועה איז מיר וויא איזט מיין קינד מיין ראשעל	
MS_Emigration	0026_41061622.xml	https://app.transkribus.org/collection/2372172/doc/1013131/detail/26	r1l2	RI	RI	
MS_Emigration	0026_41061622.xml	https://app.transkribus.org/collection/2372172/doc/1013131/detail/26	r1l7	RII	RII	
