Play	Speaker label (printed)	Current who	Count	Example link	Correction ▼ (empty = OK)	Notes	doc	page	https://app.transkribus.org/collection/2372172/doc/
AlNaharotBavel-Amkreut&Freund1909	פריסטער	קוּלְיַאן (kulyan)	60	p.18			820975	18	
AlNaharotBavel-Amkreut&Freund1909	אלע	alle	42	p.7			820975	7	
AlNaharotBavel-Amkreut&Freund1909	אֶלְיָקים אוּן אַלֶע	alle	2	p.37			820975	37	
AlNaharotBavel-Amkreut&Freund1909	דיך	דָוִד (dovid)	2	p.29			820975	29	
AlNaharotBavel-Amkreut&Freund1909	פּריסטער	קוּלְיַאן (kulyan)	2	p.58			820975	58	
AlNaharotBavel-Amkreut&Freund1909	שטימען	alle	2	p.58			820975	58	
Blimele-AhronFaust1903	ער	זֶעלִיקֶעל מְנַגֵן (zelikel_mnagen)	8	p.13			828455	13	
Blimele-AhronFaust1903	זיא	צִיערֶעלֶע (tsierele)	6	p.13			828455	13	
Blimele-AhronFaust1903	זיא	בְּלִיהמֶעלע (blimele)	2	p.63			828455	63	
Blimele-AhronFaust1903	דאניאל בליהמעלע דועט	doktor_daniel blimele	1	p.16			828455	16	
Blimele-AhronFaust1903	דועט ביידע	zelikel_mnagen tsierele	1	p.13			828455	13	
Blimele-AhronFaust1903	טויבען	zelikel_mnagen tsierele	1	p.63			828455	63	
Blimele-AhronFaust1903	ליעפע דאניאל זעליקל	liepe doktor_daniel zelikel_mnagen	1	p.41			828455	41	
Blimele-AhronFaust1903	ער	דאקְטָאר דַאנִיאֵל (doktor_daniel)	1	p.63			828455	63	
Blimele-AhronFaust1903	ציגיינער	doktor_daniel blimele	1	p.63			828455	63	
Di_seyder_nakht_Emkroyt_1908	סאלא אלט	אַלט (alt)	2	p.56			828503	56	
DosYudisheHerts-1910	יעקב	yankev_shtern	67	p.9			820841	9	
KidushHashem	קעניג	סַאנְקְטָא (sancto)	179	p.12			820939	12	
KidushHashem	אלע	alle	36	p.11			820939	11	
KidushHashem	קעניגין	הֶעלֶענַא (helena)	22	p.39			820939	39	
KidushHashem	זי	יוּלְיֶע (yulye)	12	p.34			820939	34	
KidushHashem	ער	טָאבִּיאַס (tobyas)	12	p.34			820939	34	
KidushHashem	ביידע	tobyas_yulye	6	p.53			820939	53	
KidushHashem	קֶענִיג	סַאנְקְטָא (sancto)	4	p.45			820939	45	
KidushHashem	וועכטער	vekhter	2	p.66			820939	66	
KidushHashem	יוּלְיֶע אוּן טָאבִּיאַס	tobyas_yulye	2	p.55			820939	55	
KidushHashem	סאלא	אַבְרָהָם בֶּן אֵלְִיָהוּ אַבַּארְבַּאנְעֶל (avraham_abarbanel)	2	p.67			820939	67	
KidushHashem	קֶענִיגִין	הֶעלֶענַא (helena)	2	p.46			820939	46	
KidushHashem	קענינ	סַאנְקְטָא (sancto)	1	p.45			820939	45	
MishkeMashke-Kultur1910	אלע	alle	7	p.15			828537	15	
MishkeMashke-Kultur1910	רוס	דוס (dos)	2	p.10			828537	10	
SoreSheyndel	אברהמעלע	avromele	3	p.38			820964	38	
SoreSheyndel	חנהלע	אלע (alle)	1	p.33			820964	33	
SoreSheyndel	יוחנצי שרה שיינדעל	rb_iukhntsi shrh_sheyndel	1	p.22			820964	22	
SoreSheyndel	יוחנצי-שרה שיינדעל	rb_iukhntsi shrh_sheyndel	1	p.13			820964	13	
Yudale_der_blinder,_Emkroyt1908	אלע	alle	26	p.6			828539	6	
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	זי	הֶענֶעלֶע (henele)	5	p.20			828424	20	
דאס_יידישע_קינד_Dos_yudishe_kind_a_komishe_operete	ער	וולאדִיסלאוו (vladislav)	5	p.20			828424	20	
