cluster_id	n_db_ids	db_ids	db_names	types	type_match	shared_settlement_tokens	dedup_merge_pairs	dedup_review_pairs	unflagged_pairs	suggested_action	reviewer_decision	reviewer_notes
ORG-C02772_Q02	3	725 | 726 | 727	דאָס יידישע באַוועגלעכע דראַמאַטישע טעאַטער || דאַנציגער יידישן טעאַטער || באַלאַגעניידען	theatre	Y				725↔726 ; 725↔727 ; 726↔727	REMOVE_FROM_ONE		
ORG-C00074	2	495 | 508	דרוקעריי פון ראָם || ווילנער דרוקער-פאַריין	theatre-related society/ union	Y				495↔508	REMOVE_FROM_ONE		
ORG-C00240	2	509 | 567	טשעלסי-טעאַטער || רומענישן יידישן מלוכהטעאַטער	(empty)	Y				509↔567	REMOVE_FROM_ONE		
ORG-C01621	2	193 | 1067	Bagatela Theatre || אַנסאַמבל פֿון די כאַשס	theatre | traveling company	N				193↔1067	REMOVE_FROM_ONE		
ORG-C01787	2	725 | 728	דאָס יידישע באַוועגלעכע דראַמאַטישע טעאַטער || באַלאַגעניידען	theatre	Y				725↔728	REMOVE_FROM_ONE		
ORG-C03871	2	407 | 711	The Monument-National Theatre || יידישן טעאַטער אין מאָנטרעאל	theatre	Y				407↔711	REMOVE_FROM_ONE		
ORG-C06842	2	407 | 712	The Monument-National Theatre || יידישן טעאַטער אין מאָנטרעאל	theatre	Y				407↔712	REMOVE_FROM_ONE		
ORG-C02427	2	740 | 742	נאַציאָנאַלן מוזיי אין ירושלים || נאַציאָנאַלן מוזיי	heritage institution | theatre	N	מוזיי נאציאנאלן			740↔742	INVESTIGATE		
ORG-C00051_Q02	4	497 | 727 | 728 | 729	באַלאַגעניידען || באַלאַגעניידען || באַלאַגעניידען || באַלאַגעניידען	theatre	Y	באלאגעניידען	727↔728(1.000) ; 727↔729(1.000) ; 728↔729(1.000)	497↔727(1.000) ; 497↔728(1.000) ; 497↔729(1.000)		MERGE_DBS_PENDING_REVIEW		
ORG-C01724	2	715 | 716	ערשטע קאָאָפּעראַטיווע דראָמע || ערשטער יידישער קאָאָפּעראַטיווער דראַמע	theatre	Y	דראמע		715↔716(0.697)		MERGE_DBS_PENDING_REVIEW		
ORG-C02284	2	501 | 574	מינסקער יידישן מלוכה-טעאַטער || ערשטן קיעווער יידישן מלוכה-טעאַטער	(empty)	Y	טעאטער יידישן מלוכה		501↔574(0.750)		MERGE_DBS_PENDING_REVIEW		
ORG-C01561	3	689 | 690 | 691	שטאָטישע רעגירונגס-שול || שטאָטישע רעגירונגס-שול || שטאָטישע רעגירונגס-שול	education	Y	רעגירונגס שטאטישע	689↔690(1.000) ; 689↔691(1.000) ; 690↔691(1.000)			MERGE_DBS		
ORG-C00128	2	762 | 763	קלאַראַ יאָנגס טרופּע || קלאַראַ יאָנגס טרופּע	traveling company	Y	טרופע יאנגס קלארא	762↔763(1.000)			MERGE_DBS		
ORG-C01387_Q12	2	711 | 712	יידישן טעאַטער אין מאָנטרעאל || יידישן טעאַטער אין מאָנטרעאל	theatre	Y	טעאטער יידישן מאנטרעאל	711↔712(1.000)			MERGE_DBS		
ORG-C01620	2	1371 | 1372	„די מוזע“ || „די מוזע“	theatre	Y	מוזע“	1371↔1372(1.000)			MERGE_DBS		
ORG-C02607	2	765 | 766	טאַנענצאַפּס טרופּע || טאַנענצאַפּס טרופּע	traveling company	Y	טאנענצאפס טרופע	765↔766(1.000)			MERGE_DBS		
ORG-C02971	2	690 | 691	שטאָטישע רעגירונגס-שול || שטאָטישע רעגירונגס-שול	education	Y	רעגירונגס שטאטישע	690↔691(1.000)			MERGE_DBS		
ORG-C03483	2	540 | 592	אוקראַאינישער יידישער מלוכה-טעאַטער || אוקראַאינישן יידישן מלוכה-טעאַטער	theatre	Y	טעאטער מלוכה	540↔592(0.879)			MERGE_DBS		
ORG-C04417	2	736 | 738	לעמעל-שול || לעמעל-שול	education	Y	לעמעל	736↔738(1.000)			MERGE_DBS		
ORG-C07378	2	618 | 619	לעטישן מלוכה-טעאַטער || לעטישן מלוכה-טעאַטער	theatre	Y	טעאטער לעטישן מלוכה	618↔619(1.000)			MERGE_DBS		
