db_id	note
147	PI 2026-06-02: clean — multi-spelling consolidation (Kaminski's Theatre)
279	PI 2026-06-02: clean — Hirshbein troupe spelling variants
327	PI 2026-06-02: clean — post-merge consolidation (M.D. Waxman / Vaksman)
407	PI 2026-06-02: clean — Monument-National Theatre spelling variants
459	PI 2026-06-02: clean — Ziegler troupe spelling variants
485	PI 2026-06-02: clean — Kompaneyets troupe spelling variants
488	PI 2026-06-02: clean — Ararat spelling variants
500	PI 2026-06-02: clean — post-merge consolidation (Riga state theatre)
622	PI 2026-06-02: clean — Perigen-Theater spelling variants
749	PI 2026-06-02: clean — Zhignitse aggregation
751	PI 2026-06-02: clean — Kepitl-Theater aggregation
787	PI 2026-06-02: clean — Warsaw Yudenrat aggregation
795	PI 2026-06-02: clean — Teater-Studie aggregation
