db_a	name_a	name_yid_a	aligns_a	db_b	name_b	name_yid_b	aligns_b	token_set_sim
61	קונסט|Kunst		0	642	קונסטפֿריינד		1	1.000
78	Katzenelenbogen & Rabinowitz		0	102	J. Katzenelenbogen		0	1.000
85	Julius Litwak		0	94	Julius Litwak|Litwack		0	1.000
98	Jüdischen Künstlerspiele		0	102	J. Katzenelenbogen		0	1.000
109	Adler Theatre		0	289	Jacob P. Adler troupe		0	1.000
119	Oriental Theatre		1	177	Oriental Theater (Philadelphia)		0	1.000
131	Turn Hall		0	149	Turner Hall		0	1.000
147	Kaminski's Theatre		3	809	טרופּע פֿון א. י. קאַמינסקי	טרופּע פֿון א. י. קאַמינסקי	2	1.000
151	Tsentral Theater	צענטראַל-טעאַטער	1	748	צענטראַל-טעאַטער	צענטראַל-טעאַטער	1	1.000
162	Olimpic Theatre (St. Louis, MO)		0	171	Olimpic Theatre		0	1.000
163	Royal Theatre (Harry Bernstein)		0	401	Theatre Royal		0	1.000
221	Di Fraye Yidishe Folks-Bine		2	250	Fraye Yidishe Folks-Bine		1	1.000
221	Di Fraye Yidishe Folks-Bine		2	840	פרייע יידישע פֿאָלקס-בינע - עסטרייך	פרייע יידישע פֿאָלקס-בינע	1	1.000
244	Finkel, Feinman and Mogulesko's Troupe		1	805	פינקעלס טרופּע	פינקעלס טרופּע	1	1.000
249	Forward	פֿאַרווערטס	1	692	Forverts (New York City)	פֿאַרווערטס	1	1.000
249	Forward	פֿאַרווערטס	1	693	Forverts (Chicago)	פֿאַרווערטס	1	1.000
249	Forward	פֿאַרווערטס	1	694	Forverts (Philadelphia)	פֿאַרווערטס	1	1.000
249	Forward	פֿאַרווערטס	1	695	Forverts (Detroit)	פֿאַרווערטס	1	1.000
250	Fraye Yidishe Folks-Bine		1	840	פרייע יידישע פֿאָלקס-בינע - עסטרייך	פרייע יידישע פֿאָלקס-בינע	1	1.000
264	Guzik Troupe	גוזיקס טרופּע	0	486	טרופּע פֿון גוזיק	גוזיק	7	1.000
269	Hart Troupe	האַרטס טרופּע	1	626	טרופּע פֿון האָרט		2	1.000
273	Hazamir		0	275	Hazomir (The Nightingale)		0	1.000
276	Hebrew Actors' Union (HAU)		0	403	The Hebrew Actors' Union (HAU)		0	1.000
292	Joseph Kessler Troupe (star tour)		1	299	Keni Lipzin Troupe (star tour)		1	1.000
305	Krause Troupe		0	392	Spivakovsky and Sh. Krause Troupe		0	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	489	בורג-טעאַטער	בורג-טעאַטער	3	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	500	ריגער יידישן מלוכה-טעאַטער	ריגער יידישן טעאַטער	1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	509	ווערדי-טעאַטער	טשעלסי-טעאַטער	2	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	520	לאָנדייל-טעאַטער		1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	526	אָדאָן-טעאַטער		1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	535	וויניצער יידישן מלוכה-טעאַטער	וויניצער יידישן מלוכהשן טעאַטער	0	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	541	ווילנער יידישן פֿאָלקס-טעאַטער		1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	548	קעשענעווער יידישן מלוכה-טעאַטער		1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	555	קעמי-טעאַטער		1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	562	כאַרקאָווער ערשטן יידישן מלוכה-טעאַטער		0	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	570	ווייסרוסישן פֿאָלקס-טעאַטער		1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	571	ווילנער יידישן אָפּערע-טעאַטער		2	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	573	ריגער מלוכה-טעאַטער		1	1.000
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1	575	כאַרקאָווער יידישן טעאַטער	כאַרקאָווער יידישער טעאַטער	2	1.000
