db_id	name	name_yiddish	org_type
101	Hebrew Publishing Company		
102	J. Katzenelenbogen		
108	Folḳsbildung		
109	Adler Theatre		
158	פ. קאנטאראוויטש|יודישע טהעאַטער⸗בּיבּליאָטעק|Teater bibliyotek		
160	Kalich Theatre		
178	3rd Street Theatre		
185	Am Olam		
189	Arbeter Ring (Workmen's Circle)		
201	British Theatre Guild		
210	Cidal Circ		
220	Deutsche presse verwaltung		
222	di Idishe federatsye far muziḳ un drama		
223	Di idishe tsayṭung⁩ - ⁨די אידישע		
224	Di Tsayt --די צײט		
227	Dos Yiddishe Vort --דאס יודישע ווארט		
232	Dramatic union		
248	Folks un Jungt Theatre		
270	HaTsfira		
274	Hazman		
275	Hazomir (The Nightingale)		
276	Hebrew Actors' Union (HAU)		
277	Hebrew Actors Protective Union		
30	United Jewish Actors Company		
315	Liberesco Troupe		
321	Lit. Dram. Gesellschaft		
346	National Opera Warsaw		
360	Petrograd Theatre Society		
38	The Order of David's Harp		
39	Union Theatre Actors Company		
397	teater gesselshaft		
399	Teatr i Iskusstvo		
405	The Jewish National Workers' Alliance (Farband-Labor Zionist Order)		
430	Varshaver tageblat		
460	Zuntog-blat		
48	נ. ראָזנבּלוּם		
498	הכל הבל		
53	Yuropian Hibru poblishing ḳompani		
54	Di inṭernatsyonale biblioṭheḳ		
55	Elizeum		
56	L. Ḥarik		
61	קונסט|Kunst		
62	אהרן פויסט| A. Faust		
63	אַמקרויט עט פריינד| Amkroyt un Fraynd		
64	בּנימין מונק|Benjamin Munk		
65	דוד ראָטה|D. Roth		
71	Yosef Fischer		
78	Katzenelenbogen & Rabinowitz		
80	Theodore Lohr		
83	A.B.C. Grand Record (Austria)		
86	אליקום צונזער'ס | Elyoḳum Tsunzers		
91	י. ליפשיטץ [ליפשיץ]| Lipshitz Press		
99	Albert Teres		
184	Amateur Drama Society		Amateur
228	Dramatic Arts		Amateur
230	Dramatic Circle		Amateur
231	Dramatic Club		Amateur
418	The Yiddish Dramatic Amateur Circle		Amateur
420	Tornberg Dramatic Union		Amateur
444	Yiddish Dramatic Circle		Amateur
368	Rappo Circus		Circus
259	Glickman and Michalesko Troupe		Company on Tour
331	Mendl Elkin's Children Theatre Studio		Company on Tour
414	The Vilna Troupe		Company on Tour
434	Vilna Yiddish State Theatre		Company on Tour
251	Free Dramatic Studio		Education
256	German Choral School		Education
320	Lira (as drama school)		Education
358	Peretz Society Drama studio		Education
383	Shaari tsion choral school		Education
411	The Royal Danish Theatre school		Education
413	The St.Petersburg State Conservatory		Education
445	Yiddish dramatic school		Education
448	Yidishe Natsionale Radikale Shul		Education
28	National Yiddish Book Center		Heritage Institution
10	הקיבוץ הארצי השומר הצעיר		Jewish political bodies
696	Hashomer Hatzair (Vilnius)	השומר הצעיר	Jewish political bodies
698	Hashomer Hatzair (Chełm)	השומר הצעיר	Jewish political bodies
247	Folk Singer Troupe		Kleinkunst
324	Literary Drama Club		Kleinkunst
436	Vine Court		Kleinkunst
439	Wolf Litvak’s yard		Kleinkunst
29	Library of Congress		Library
349	Nordisk Film		Media (Radio/ Film/TV)
386	Sidney M. Goldin Productions		Media (Radio/ Film/TV)
209	Chorus of the Lemberg Polish Opera		Musical organization
253	Gardetski Quartet		Musical organization
273	Hazamir		Musical organization
396	Synagogue chorus		Musical organization
618	לעטישן מלוכה-טעאַטער		Non-Yiddish Theatre
103	Kruger Printing		Printer
157	Baumritter		Printer
24	יואל לעבענזאהן		Printer
58	N. Sṭarovolsḳi| נ. סטאראוואלסקי		Printer
66	ש. ל. דייטשער| Sh. L. Deytsher		Printer
70	D. Salat| א. סאלאט		Printer
73	מ. צדרבוים		Printer
75	Pimelt and Y.Shvabe		Printer
76	B. Tursh		Printer
92	Baron		Printer
93	Chathan Printing		Printer
95	Dzsheyḳob Gordon| דזשייקאב גארדאן		Printer
96	Grayzel & Co. Union Printers		Printer
100	Empire Music		Printer/Publisher
69	ווארשעווער אידישער טעאטר -א.ג. קאמפאניעעץ		Printer/Publisher
72	Munish Necheles		Printer/Publisher
77	A. Hellmann		Printer/Publisher
79	Meyer Levin		Printer/Publisher
82	Joseph Jaffe		Printer/Publisher
84	Garland Pub.		Printer/Publisher
85	Julius Litwak		Printer/Publisher
87	ל. ראבינאוויטץ		Printer/Publisher
88	Rapaporṭ's Prinṭing | ראפאפארט'ס פרינטינג		Printer/Publisher
89	Kruger und Lifshits		Printer/Publisher
90	יאזעף קרוגער		Printer/Publisher
97	Ḳ. Leṿenshṭeyn ,  ק. לעווענשטיין		Printer/Publisher
98	Jüdischen Künstlerspiele		Printer/Publisher
1	כתר		Publisher
11	ספרי סימן קריאה		Publisher
12	ידיעות אחרונות ספרי חמד		Publisher
15	מודן		Publisher
16	ספרי עליית הגג		Publisher
17	ידיעות אחרונות		Publisher
18	ספרי חמד		Publisher
19	ספרית פועלים		Publisher
20	ספריה לעם		Publisher
21	חרגול		Publisher
22	שוקן		Publisher
23	הספריה החדשה		Publisher
5	בבל		Publisher
6	נ. טברסקי		Publisher
7	ספרית מעריב		Publisher
74	פערלאגס-בוכהאנדלונג ״יבנה״		Publisher
8	בימת קדם לספרות		Publisher
111	Bowery Garden Theatre		Theatre
112	Deutsch Jüdisches Theater		Theatre
113	Gradina Lieblich Jigniza		Theatre
121	People's Theater Ohio		Theatre
126	Salon Garibaldi		Theatre
129	Terrace Garden Theatre		Theatre
131	Turn Hall		Theatre
133	V. Pillings's National Theatre		Theatre
136	פאָלקס גאַרדען⸗האָל Folks Garden Hall		Theatre
138	רוף גאַרדן - Roof Garden		Theatre
139	City Theater		Theatre
141	New Orpheum Theater		Theatre
143	Empire Theatre		Theatre
145	Grand Opera House		Theatre
148	Salon Erfoon Espanol		Theatre
150	Hub Theatre		Theatre
152	איזראעליטישער נאציאנאל גארטען  Israelitisches Nationalgarten		Theatre
155	Academy of Music		Theatre
162	Olimpic Theatre (St. Louis, MO)		Theatre
163	Royal Theatre (Harry Bernstein)		Theatre
164	Feynman's Folks Theatre		Theatre
165	Gilmore's Auditorium		Theatre
167	New Star Theatre		Theatre
169	Die Feymos Teatre		Theatre
170	Madison Street Theater		Theatre
171	Olimpic Theatre		Theatre
172	Park Theatre		Theatre
174	Yiddish theatre on Alexanderplatz		Theatre
175	Sommertheater im botanischen Garten		Theatre
177	Oriental Theater (Philadelphia)		Theatre
188	Aquarium Theatre		Theatre
191	Arthur Hopkins' Theatre		Theatre
200	Boston theatre		Theatre
204	Bulgarov Theatre		Theatre
213	Dagmar Theatre		Theatre
260	Globe Theatre		Theatre
281	Hope Theatre		Theatre
31	The Russian-Jewish Opera Company		Theatre
318	Lieberman Theatre		Theatre
32	The Hebrew Opera and Dramatic Company		Theatre
326	Lublin Municipal Theatre		Theatre
33	The Roumanian Opera Company		Theatre
332	Brownsville Metropolitan Singer Hall		Theatre
34	Dramatic Folk Theatre		Theatre
348	New York's Public Theatre		Theatre
350	Nord Star Theatre		Theatre
353	Nowy Teatr		Theatre
359	Peretz Theatre		Theatre
381	Satz Public Theatre		Theatre
393	Standard Theatre		Theatre
401	Theatre Royal		Theatre
402	The Gayety Theatre		Theatre
406	The Lyceum Theatre		Theatre
410	The Public Theatre		Theatre
419	The Yiddish Theatre Society		Theatre
494	ווינער דייטשן פאָלקס-טעאַטער		Theatre
205	Bunes Badkhan (Tshizshik)		Traveling Company
211	Cohen Brothers Troupe		Traveling Company
233	E. Relkin Troupe		Traveling Company
243	Filipesko Troupe		Traveling Company
258	Gleichman Troupe		Traveling Company
262	Golubok Troupe		Traveling Company
288	Jacob Gertner Troupe		Traveling Company
290	Jacob Silbert Troupe		Traveling Company
298	Karl Zilberman, Max Kurtz, Harry Feinberg, Gazovski and Aba Rosenzweig Toupe		Traveling Company
300	Khayim Abramovitsh Troupe		Traveling Company
303	Kopilov Troupe		Traveling Company
311	Lempkovitsh Troupe		Traveling Company
312	Leon Berger Troupe		Traveling Company
336	Mitleman Troupe		Traveling Company
35	Independent Jewish Actors Company		Traveling Company
355	Oriental Operetta Society		Traveling Company
372	Rumenish-yidish teater under the direction of Izak Libresko and Leon Berger		Traveling Company
377	Sam Dayen Troupe		Traveling Company
390	Spivakovski and Weinstock Troupe		Traveling Company
392	Spivakovsky and Sh. Krause Troupe		Traveling Company
423	Tshistogorski troupe		Traveling Company
424	Tsimerman Theatre		Traveling Company
431	Vaynshtoks, Vaynshtayns, and Goldschmidt Troupe		Traveling Company
451	Yosef Goldshmidt Troupe		Traveling Company
1459	יידישן קונסט-טעאַטער (ניו יאָרק)	יידישן קונסט-טעאַטער (ניו יאָרק)	theatre
746	אָלימפּיאַ טעאַטער	אָלימפּיאַ טעאַטער	theatre
1740	מענדעלעוויטש טרופע		traveling company
