db_id	name	name_yiddish	intra_token_sim	cross_row_collisions	aligned_cluster_count	blank_reviewer_aligns	suspect_reasons
151	Tsentral Theater	צענטראַל-טעאַטער	0.000	db748.name == this.name_yiddish (צענטראַל-טעאַטער)	1		low_intra_sim=0.00 | cross_row_collision
283	Hurwitz Troupe	טרופּע פֿון הורוויץ	0.000	db483.name == this.name_yiddish (טרופּע) | db486.name == this.name_yiddish (טרופּע) | db523.name == this.name_yiddish (טרופּע) | db531.name == this.name_yiddish (טרופּע) | db563.name == this.name_yiddish (טרופּע) | db596.name == this.name_yiddish (טרופּע) | db626.name == this.name_yiddish (טרופּע) | db678.name == this.name_yiddish (טרופּע) | db757.name == this.name_yiddish (טרופּע) | db767.name == this.name_yiddish (טרופּע) | db769.name == this.name_yiddish (טרופּע) | db775.name == this.name_yiddish (טרופּע) | db789.name == this.name_yiddish (טרופּע) | db809.name == this.name_yiddish (טרופּע) | db814.name == this.name_yiddish (טרופּע) | db818.name == this.name_yiddish (טרופּע) | db819.name == this.name_yiddish (טרופּע) | db820.name == this.name_yiddish (טרופּע) | db821.name == this.name_yiddish (טרופּע) | db828.name == this.name_yiddish (טרופּע) | db830.name == this.name_yiddish (טרופּע) | db831.name == this.name_yiddish (טרופּע) | db834.name == this.name_yiddish (טרופּע) | db836.name == this.name_yiddish (טרופּע) | db841.name == this.name_yiddish (טרופּע) | db847.name == this.name_yiddish (טרופּע)	3		low_intra_sim=0.00 | cross_row_collision
696	Hashomer Hatzair (Vilnius)	השומר הצעיר	0.000	db602.name == this.name_yiddish (השומר הצעיר)	0		low_intra_sim=0.00 | cross_row_collision
697	Hashomer Hatzair (Toronto)	השומר הצעיר	0.000	db602.name == this.name_yiddish (השומר הצעיר)	1		low_intra_sim=0.00 | cross_row_collision
698	Hashomer Hatzair (Chełm)	השומר הצעיר	0.000	db602.name == this.name_yiddish (השומר הצעיר)	0		low_intra_sim=0.00 | cross_row_collision
310	Leksikon fun yidishn teater (לעקסיקאן פון יידישן טעאטער Lexicon of Yiddish Theatre or Encyclopedia of the Yiddish Theatre)	לעקסיקאָן פון יידישן טעאַטער	1.000	db489.name == this.name_yiddish (טער) | db500.name == this.name_yiddish (טער) | db509.name == this.name_yiddish (טער) | db520.name == this.name_yiddish (טער) | db526.name == this.name_yiddish (טער) | db535.name == this.name_yiddish (טער) | db541.name == this.name_yiddish (טער) | db548.name == this.name_yiddish (טער) | db555.name == this.name_yiddish (טער) | db562.name == this.name_yiddish (טער) | db570.name == this.name_yiddish (טער) | db571.name == this.name_yiddish (טער) | db573.name == this.name_yiddish (טער) | db575.name == this.name_yiddish (טער) | db591.name == this.name_yiddish (טער) | db592.name == this.name_yiddish (טער) | db593.name == this.name_yiddish (טער) | db615.name == this.name_yiddish (טער) | db623.name == this.name_yiddish (טער) | db638.name == this.name_yiddish (טער) | db655.name == this.name_yiddish (טער) | db658.name == this.name_yiddish (טער) | db664.name == this.name_yiddish (טער) | db665.name == this.name_yiddish (טער) | db671.name == this.name_yiddish (טער)	1		cross_row_collision
489	בורג-טעאַטער	בורג-טעאַטער	1.000	db500.name == this.name_yiddish (טער) | db509.name == this.name_yiddish (טער) | db520.name == this.name_yiddish (טער) | db526.name == this.name_yiddish (טער) | db535.name == this.name_yiddish (טער) | db541.name == this.name_yiddish (טער) | db548.name == this.name_yiddish (טער) | db555.name == this.name_yiddish (טער) | db562.name == this.name_yiddish (טער) | db570.name == this.name_yiddish (טער) | db571.name == this.name_yiddish (טער) | db573.name == this.name_yiddish (טער) | db575.name == this.name_yiddish (טער) | db591.name == this.name_yiddish (טער) | db592.name == this.name_yiddish (טער) | db593.name == this.name_yiddish (טער) | db615.name == this.name_yiddish (טער) | db623.name == this.name_yiddish (טער) | db638.name == this.name_yiddish (טער) | db655.name == this.name_yiddish (טער) | db658.name == this.name_yiddish (טער) | db664.name == this.name_yiddish (טער) | db665.name == this.name_yiddish (טער) | db671.name == this.name_yiddish (טער)	3	ORG-C00049 | ORG-C00050	cross_row_collision
491	טעאַטער „קאָמעדיאָ“	טעאַטער „קאָמעדיאָ“	1.000	db513.name == this.name_yiddish (טעאַטער) | db514.name == this.name_yiddish (טעאַטער) | db580.name == this.name_yiddish (טעאַטער) | db612.name == this.name_yiddish (טעאַטער)	4	ORG-C00037 | ORG-C00038	cross_row_collision
575	כאַרקאָווער יידישן טעאַטער	כאַרקאָווער יידישער טעאַטער	1.000	db489.name == this.name_yiddish (טער) | db500.name == this.name_yiddish (טער) | db509.name == this.name_yiddish (טער) | db520.name == this.name_yiddish (טער) | db526.name == this.name_yiddish (טער) | db535.name == this.name_yiddish (טער) | db541.name == this.name_yiddish (טער) | db548.name == this.name_yiddish (טער) | db555.name == this.name_yiddish (טער) | db562.name == this.name_yiddish (טער) | db570.name == this.name_yiddish (טער) | db571.name == this.name_yiddish (טער) | db573.name == this.name_yiddish (טער) | db591.name == this.name_yiddish (טער) | db592.name == this.name_yiddish (טער) | db593.name == this.name_yiddish (טער) | db615.name == this.name_yiddish (טער) | db623.name == this.name_yiddish (טער) | db638.name == this.name_yiddish (טער) | db655.name == this.name_yiddish (טער) | db658.name == this.name_yiddish (טער) | db664.name == this.name_yiddish (טער) | db665.name == this.name_yiddish (טער) | db671.name == this.name_yiddish (טער)	2		cross_row_collision
664	לאָדזשער יידישן טעאַטער	לאָדזשער יידישן טעאַטער	1.000	db489.name == this.name_yiddish (טער) | db500.name == this.name_yiddish (טער) | db509.name == this.name_yiddish (טער) | db520.name == this.name_yiddish (טער) | db526.name == this.name_yiddish (טער) | db535.name == this.name_yiddish (טער) | db541.name == this.name_yiddish (טער) | db548.name == this.name_yiddish (טער) | db555.name == this.name_yiddish (טער) | db562.name == this.name_yiddish (טער) | db570.name == this.name_yiddish (טער) | db571.name == this.name_yiddish (טער) | db573.name == this.name_yiddish (טער) | db575.name == this.name_yiddish (טער) | db591.name == this.name_yiddish (טער) | db592.name == this.name_yiddish (טער) | db593.name == this.name_yiddish (טער) | db615.name == this.name_yiddish (טער) | db623.name == this.name_yiddish (טער) | db638.name == this.name_yiddish (טער) | db655.name == this.name_yiddish (טער) | db658.name == this.name_yiddish (טער) | db665.name == this.name_yiddish (טער) | db671.name == this.name_yiddish (טער)	1		cross_row_collision
