db_id	db_name_latin	org_type	db_address	aligned_cluster_ids	aligned_cluster_canonicals	yiddish_variants_observed	n_aligned_clusters	proposed_canonical_yiddish	rationale	confidence	pi_decision	pi_canonical_yiddish	drafted_at	reviewed_at	reviewer
57	Progres	Publisher	Nalewki 32, Warsaw	ORG-C01415	פּראָגרעס	פּראָגרעס	1	פּראָגרעס	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
81	Arbeiter Zeitung			ORG-C04768	אַרבייטער צייטונג	אַרבייטער צייטונג|די אַרבייטער צייטונג|דיאָ אַרבייטער צייטונג	1								
122	Perry Theatre	Theatre	East 22nd St., Cleveland, Ohio	ORG-C06593	פּערי-טעאָ טער	פּערי-טעאָ טער	1	פּערי-טעאָ טער	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
123	Poole's Theatre	Theatre	Eighth Street and Third Avenue, Manhattan, NY	ORG-C00604|ORG-C02215	פּולס-טעאַטער|פּולס	פּולס-טעאַטער|פּולס|פולס טעאַטער	2								
124	Ringtheater	Theatre	Schottenring 7, Vienna	ORG-C01256	רינג-טעאַטער	רינג-טעאַטער	1	רינג-טעאַטער	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
128	Second Avenue Theatre	Theatre	189 Second Avenue, Manhattan, NY	ORG-C00682	סעקאָנד עוועניו טעאַטער	סעקאָנד עוועניו טעאַטער|סעקאָנד עוועניו	1								
151	Tsentral Theater	Theatre	Leshno st. 1, Warsaw	ORG-C00631	צענטראַל-טעאַטער	צענטראַל-טעאַטער|צענטראָל-טעאַטער אין וואַרשע	1								
161	Muranover Yiddish Teater	Theatre	Bonifraterska street 14, Muranow, Warsaw	ORG-C00116	מוראַנאָווער טעאַטער	מוראַנאָווער טעאַטער|דאָס מוראַנאָווער|מוראַנאָווער	1								
173	Teater Ermitage	Theatre	Bonifraterska street 14, Muranow, Warsaw	ORG-C05081	טעאַטער ערמיטאַזש	טעאַטער ערמיטאַזש	1	טעאַטער ערמיטאַזש	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
176	Lyric Theatre	Theatre	Seigel Street 16-18-20, Brooklyn, NY	ORG-C00338	ליריק-טעאַטער	ליריק-טעאַטער|ליריק-טעאַטער אין ברוקלין	1								
182	Adolf Gertner Troupe			ORG-C06465	גערטנערס טרופּע	גערטנערס טרופּע	1	גערטנערס טרופּע	single aligned cluster, single Yiddish variant — direct copy	high			2026-05-17T14:17:29Z		
