host_file	host_xmlid	host_heading	cluster_id	canonical_yiddish	db_id	n_mentions	rel_categories	roles	dates	settlements
Volume5IIIorg.json	facs_100_r	גראָובאַרט, כנימין	ORG-C02812	נעסוויזשער צישאַ-שול	701	1	Leadership_Ownership	פאַרוואַלטער	1926	נעסוויזש
Volume5IIIorg.json	facs_100_r	גראָובאַרט, כנימין	ORG-C02813_Q01	מאַגיסטראַט	702	1	Affiliation_Membership	ראַטמאַן		נעסוויזש
Volume5IIIorg.json	facs_100_r	גראָובאַרט, כנימין	ORG-C02814_Q01	באַראָכאָוו-שול	703	1	Leadership_Ownership	פאַרוואַלטער	1932	פינסק
Volume5IIIorg.json	facs_100_tr_1733059460	קדיש [ק. כאַש]	ORG-C00458_Q01	שטאָט-שול		1	Employment_Performance			
Volume5IIIorg.json	facs_100_tr_1733059460	קדיש [ק. כאַש]	ORG-C00579	לאָדזשער סקאַלאַ-טעאַטער	604	1	Employment_Performance	גאַסטשפּילן		לאָדזש
Volume5IIIorg.json	facs_100_tr_1733059460	קדיש [ק. כאַש]	ORG-C01567_Q01	מלוכה-טעאַטער		1	Employment_Performance			ווילנע
Volume5IIIorg.json	facs_100_tr_1733059460	קדיש [ק. כאַש]	ORG-C02761	ווילנער אָפּערעטע	435	1	Employment_Performance	אַקטיאָרן-פאַכלייט		ווילנע
Volume5IIIorg.json	facs_100_tr_1733059460	קדיש [ק. כאַש]	ORG-C02815	גראָדנער שטאָט-טעאַטער		1	Employment_Performance	כאָריסט		גראָדנע
Volume5IIIorg.json	facs_100_tr_1733059460	קדיש [ק. כאַש]	ORG-C02816	נחום ליפּאָווסקיס 'פאָלקס-טעאַטער'	946	1	Employment_Performance		1918	ווילנע
Volume5IIIorg.json	facs_100_tr_1733059460	קדיש [ק. כאַש]	ORG-C02817	ווילנער יידישע אָפּערעטן-טרופּע	435	1	Employment_Performance	שוישפּילער	1926	
Volume5IIIorg.json	facs_103_tr_1733832686	שליט, געניאַ	ORG-C00005	פאַוויליאָן-טעאַטער	467	1	Employment_Performance		1932-10-10	וואַרשע
Volume5IIIorg.json	facs_103_tr_1733832686	שליט, געניאַ	ORG-C00019	קיעווער יידישן מלוכה-טעאַטער	515	1	Employment_Performance	הויפּט-אַרטיסטינס		קיעוו
Volume5IIIorg.json	facs_103_tr_1733832686	שליט, געניאַ	ORG-C00195_Q01	יידיש קונסט טעאַטער	443	1	Employment_Performance		1938 | 1939	ניו יאָרק
Volume5IIIorg.json	facs_103_tr_1733832686	שליט, געניאַ	ORG-C00246_Q01	קולטור-ליגע	1233	1	Education_Formation	שילערין		
Volume5IIIorg.json	facs_103_tr_1733832686	שליט, געניאַ	ORG-C00650	כאַרקאָווער 'געזקולט'	540	1	Employment_Performance		1928	כאַרקאָוו
Volume5IIIorg.json	facs_103_tr_1733832686	שליט, געניאַ	ORG-C01003_Q01	נייעם יידישן טעאַטער	1026	1	Employment_Performance		1929	ריגע
Volume5IIIorg.json	facs_103_tr_1733832686	שליט, געניאַ	ORG-C01861	טרופּע פון דר. פאול באַראַטאָוו	194	1	Employment_Performance		1932	
Volume5IIIorg.json	facs_103_tr_1733832686	שליט, געניאַ	ORG-C02007_Q01	יידישן מעוטים-טעאַטער	500	1	Employment_Performance			ריגע
Volume5IIIorg.json	facs_103_tr_1733832686	שליט, געניאַ	ORG-C02818	טרופּע א'א פון לובאַרסקי	938	1	Employment_Performance		1921	קיעוו
Volume5IIIorg.json	facs_103_tr_1733832686	שליט, געניאַ	ORG-C02819	טרופּע פון יעקב ליבערט	790	1	Employment_Performance			
Volume5IIIorg.json	facs_103_tr_1733832686	שליט, געניאַ	ORG-C02820	יידיש באַוועגלעכן מלוכהטעאַטער		1	Employment_Performance			
Volume5IIIorg.json	facs_103_tr_1733832686	שליט, געניאַ	ORG-C02821	טרופּע 'פאַקט'	1614	1	Employment_Performance		1933	לאָדזש
Volume5IIIorg.json	facs_106_tr_1733832713	לואי, דוד	ORG-C00106	חברים-טרופּע		1	Employment_Performance			וואַרשע
Volume5IIIorg.json	facs_106_tr_1733832713	לואי, דוד	ORG-C00116	מוראַנאָווער טעאַטער	161	1	Employment_Performance			וואַרשע
Volume5IIIorg.json	facs_106_tr_1733832713	לואי, דוד	ORG-C01597	קאַמינסקיס טעאַטער	809	1	Employment_Performance			
Volume5IIIorg.json	facs_106_tr_1733832713	לואי, דוד	ORG-C02822	מייזלערס שול		1	Education_Formation	שילער		
Volume5IIIorg.json	facs_106_tr_1733832713	לואי, דוד	ORG-C02823	וואַוועלבערגס פּאָליטעכניקום		1	Education_Formation			
Volume5IIIorg.json	facs_106_tr_1733832713	לואי, דוד	ORG-C02824	יידישער סעקציע ביי פּ. פּ. ס.		1	Affiliation_Membership	מיטגליד		
Volume5IIIorg.json	facs_106_tr_1733832713	לואי, דוד	ORG-C02825	בערנשטייןס פּראָווינץ-טרופּע	199	1	Employment_Performance			
Volume5IIIorg.json	facs_106_tr_1733832713	לואי, דוד	ORG-C02826	אידא קאַמינסקאַ זיגמונט טורקאָווס טרופּע	864	1	Employment_Performance			
Volume5IIIorg.json	facs_106_tr_1733832713	לואי, דוד	ORG-C02827	וואַרשעווער אַרטיסטן-פאַריין		1	Affiliation_Membership	פאַרוואַלטונגס-מיטגליד		וואַרשע
Volume5IIIorg.json	facs_106_tr_1733832713	לואי, דוד	ORG-C02828	קינסטלער-שאָפּ		1	Employment_Performance			וואַרשע
Volume5IIIorg.json	facs_106_tr_1733832713	לואי, דוד	ORG-C04097	קאָמפּאַנעעץ	302	1	Employment_Performance			וואַרשע
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C00178_Q01	נייער יידישער טעאַטער	1026	1	Employment_Performance	אַקטיאָר	1926	ריגע
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C00207	חדר		1	Education_Formation	תלמיד		
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C01241_Q01	פּאַלאַס-טעאַטער	945	1	Employment_Performance	אַקטיאָר	1923	
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C01387_Q19	יידישן טעאַטער אין געטאָ	948	1	Leadership_Ownership		1941	ווילנע
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C01567_Q01	מלוכה-טעאַטער		1	Employment_Performance		1940 | 1941	ווילנע
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C02829	תורת אמת		1	Education_Formation	תלמיד		
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C02830	תפֿאַרת בחורים		1	Education_Formation	תלמיד		
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C02831	גמנסיה עברית		1	Education_Formation		1917	
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C02832	זומער-קאָלאָניע נעבן וואַרשע		1	Education_Formation		1919	וואַרשע
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C02833_Q01	דראַמאַטישן קרייז		1	Leadership_Ownership	רעזשיסער	1919	
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C02834	יידיש-וועלטלעכער שול		1	Education_Formation			וואַרשע
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C02835	ווילנער טעכניקום	1315	1	Education_Formation		1920 | 1921	ווילנע
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C02836	ווילנער קונסטגעזעלשאַפֿט	947	1	Education_Formation	סטודיאַנט	1921	ווילנע
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C02837	אינטערמעדיען-טעאַטער		1	Employment_Performance	סופלער, איבערזעצער		
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C02838	ווילנער דראַמאַטישע שול		1	Education_Formation		1923	
Volume5IIIorg.json	facs_108_tr_1733832724	בליאַכער, שבתי	ORG-C02839	אָפּערעטן-טרופּע פֿון קדיש-כאַש	531	1	Employment_Performance		1925	
