source_value	wikidata_yi	english_name	wikidata_qid	resolved_category	kima_id	kima_rom	kima_heb	match_status	entry_ids	contexts	is_new_variant	source
הר חברון		Mount Hebron Cemetery	Q2341172	cemetery	1692	West Bank	גדה מערבית	NAME_EXACT	4-facs_41_r_2|4-facs_60_r_1|4-facs_95_tr_1753602022|2-facs_270_tr_1744280698|2-facs_331_tr_1744365763	burial	no	Zylbercweig lexicon
ניו יאָרק	ניו יארק	New York City	Q60	settlement	32	New York (N.Y.)	ניו יורק (נ.י.)	WIKIDATA	4-facs_59_tr_1753681938|4-facs_85_tr_1753938252|4-facs_270_tr_1754998435|4-facs_322_tr_1754998441|1-facs_283_tr_1741260239|1-facs_407_tr_1739715069|1-facs_150_tr_1740521115|3-facs_308_tr_1755973377|4-facs_11_r|4-facs_27_r_14|4-facs_28_r|4-facs_41_r_2|4-facs_60_r_1|4-facs_85_tr_1753938252|4-facs_86_tr_1753938260|4-facs_87_tr_1753938277|4-facs_92_r_1|4-facs_95_tr_1753602022|4-facs_100_r|4-facs_114_tr_1753936423|4-facs_115_tr_1753936446|4-facs_143_tr_1754377592|4-facs_201_tr_1754998574|4-facs_202_tr_1754998544|4-facs_204_tr_1754998531|4-facs_251_tr_1754998368|4-facs_252_tr_1754998536|4-facs_269_tr_1754998524|4-facs_270_tr_1754998438|4-facs_270_tr_1754998433|4-facs_274_tr_1754998431|4-facs_276_tr_1754998432|4-facs_278_tr_1754998432|4-facs_279_tr_1754998502|4-facs_279_tr_1754998499|4-facs_320_r_8|4-facs_321_tr_1754998460|4-facs_322_tr_1754998436|4-facs_328_tr_1754998393|4-facs_342_tr_1754998516|4-facs_351_tr_1754998561|4-facs_355_tr_1754998462|4-facs_360_tr_1754998576|4-facs_372_tr_1755029967|4-facs_381_tr_1755030081|4-facs_388_tr_1755030259|4-facs_394_tr_1755030217|4-facs_439_tr_1755030088|4-facs_452_tr_1755030299|4-facs_591_tr_1755030163|4-facs_627_tr_1755030085|4-facs_653_tr_1755030263|4-facs_658_tr_1755030000|4-facs_666_tr_1755030169|1-facs_206_tr_1741260252|1-facs_207_tr_1741260323|1-facs_208_tr_1741260252|1-facs_209_tr_1741260252|1-facs_210_tr_1741260180|1-facs_212_tr_1741260189|1-facs_248_tr_1741260287|1-facs_255_tr_1741260319|1-facs_257_tr_1741260312|1-facs_280_r_2|1-facs_282_tr_1741260213|1-facs_304_tr_1741260480|1-facs_331_tr_1741260474|1-facs_333_tr_1741260492|1-facs_341_r_7|1-facs_376_tr_1741260453|1-facs_402_tr_1739715076|1-facs_404_r_8|1-facs_18_r|1-facs_19_r_6|1-facs_21_tr_1740515222|1-facs_36_tr_1740520946|1-facs_40_tr_1740521035|1-facs_49_tr_1740521083|1-facs_76_tr_1740520936|1-facs_78_tr_1740521032|1-facs_79_tr_1740520939|1-facs_120_tr_1740521118|1-facs_150_r|1-facs_201_tr_1741260321|1-facs_202_tr_1741260239|2-facs_9_tr_1743943368|2-facs_31_tr_1744131345|2-facs_74_tr_1744131378|2-facs_230_tr_1744280762|2-facs_243_tr_1744280772|2-facs_255_tr_1744280686|2-facs_267_tr_1744280748|2-facs_270_tr_1744280698|2-facs_271_tr_1744280771|2-facs_329_tr_1744365801|2-facs_352_r_2|2-facs_353_tr_1744365776|2-facs_365_tr_1744366824|2-facs_399_tr_1744366849|3-facs_35_tr_1752653010|3-facs_91_tr_1753268279|3-facs_158_tr_1755156151|3-facs_269_tr_1755674195|3-facs_276_tr_1755674176|3-facs_280_tr_1755674193|3-facs_284_tr_1755674201|3-facs_289_tr_1755803001|3-facs_289_tr_1755803006|3-facs_321_tr_1756057140|3-facs_324_tr_1756057476|3-facs_333_tr_1756059823|3-facs_349_tr_1756107917|3-facs_402_tr_1755856047|5-facs_598_tr_1739222546|6-facs_22_tr_1747746208|6-facs_31_r_1|6-facs_52_tr_1747746168|6-facs_59_tr_1747746198|6-facs_62_tr_1747746110|6-facs_66_tr_1747746213|6-facs_77_tr_1747746215|6-facs_180_tr_1747825079|6-facs_266_tr_1747929004|6-facs_408_tr_1747930566|7-facs_36_r_2|7-facs_53_r_4|7-facs_71_r|7-facs_72_r_5|1-facs_205_tr_1741260267|1-facs_261_tr_1741260195|1-facs_267_tr_1741260282|1-facs_278_tr_1741260264|1-facs_289_tr_1739714921|1-facs_320_tr_1741260428|1-facs_342_tr_1741260510|1-facs_365_tr_1741260398|1-facs_34_tr_1740521031|1-facs_78_tr_1740521046|1-facs_102_tr_1740521064|1-facs_110_tr_1740520985|1-facs_149_tr_1740521049|2-facs_9_tr_1743943374|2-facs_31_tr_1744131359|2-facs_242_tr_1744280794|2-facs_305_tr_1744365745|3-facs_276_tr_1755674176|3-facs_277_tr_1755674189|3-facs_316_tr_1756045031|3-facs_316_tr_1756045027|3-facs_340_tr_1756106824|6-facs_245_tr_1747928885|6-facs_465_tr_1747930358	burial|death|birth	yes	Zylbercweig lexicon
לאָס אַנדזשעלעס	לאס אנדזשעלעס	Los Angeles	Q65	settlement	154	Los Angeles (Calif.)	לוס אנג'לס (קליפורניה)	WIKIDATA	4-facs_79_tr_1753938275|4-facs_96_tr_1753602020|4-facs_668_tr_1755029974|6-facs_108_r_4|4-facs_34_r_1|4-facs_79_tr_1753938275|4-facs_96_tr_1753602020|4-facs_99_r_2|4-facs_130_r_2|4-facs_207_tr_1754998369|4-facs_375_tr_1755029880|4-facs_658_tr_1755030003|4-facs_670_tr_1755030252|3-facs_263_tr_1755674223|3-facs_320_tr_1756045941|3-facs_325_tr_1756057604|5-facs_597_tr_1739222301|5-facs_600_r_77|5-facs_609_r_249|6-facs_70_tr_1747746125|6-facs_99_tr_1747746187|6-facs_140_tr_1747825131|6-facs_140_tr_1747825133|6-facs_150_tr_1747825137|6-facs_170_tr_1747825074|6-facs_649_tr_1747930511|6-facs_666_r|7-facs_64_r_4	burial|death	yes	Zylbercweig lexicon
ברוקלין	ברוקלין	Brooklyn	Q18419	settlement	529	Brooklyn (New York, N.Y.)	ברוקלין (ניו יורק, נ.י.)	WIKIDATA	4-facs_82_tr_1753938284|6-facs_57_r_21|3-facs_276_tr_1755674177	burial|death|birth	no	Zylbercweig lexicon
בעלץ	בעלץ	Bălți	Q37801	settlement	18584	Bălți (Moldova)	בלץ (מולדובה)	WIKIDATA	4-facs_89_tr_1753938266|4-facs_89_tr_1753938266|1-facs_37_tr_1740520986|1-facs_134_tr_1740520967|1-facs_147_tr_1740521024|5-facs_213_tr_1739221756|6-facs_147_tr_1747825115|6-facs_430_tr_1747930469|7-facs_59_tr_1756359798	burial|death|birth	no	Zylbercweig lexicon
טאַראַנטאָ	טאראנטא	Toronto	Q172	settlement	753	Toronto (Ont.)	טורונטו (אונטריו)	WIKIDATA	4-facs_95_tr_1753602024|4-facs_95_tr_1753602024|7-facs_53_r_4	burial|death|birth	yes	Zylbercweig lexicon
פּאַריז	פאריז	Paris	Q90	settlement	419	Paris (France)	פריס (צרפת)	WIKIDATA	4-facs_141_tr_1754377601|4-facs_141_tr_1754377601|1-facs_332_tr_1741260395|1-facs_411_tr_1739715062|2-facs_77_tr_1744131362	burial|death	yes	Zylbercweig lexicon
פֿילאַדעלפיע	פילאדעלפיע	Philadelphia	Q1345	settlement	408	Philadelphia (Pa.)	פילדלפיה (פנסילבניה)	WIKIDATA	4-facs_264_tr_1754998383|4-facs_137_tr_1754224982|4-facs_264_tr_1754998383|3-facs_272_tr_1755674151|3-facs_282_tr_1755674183|6-facs_102_tr_1747825160|4-facs_201_tr_1754998569|3-facs_345_r	burial|death|birth	yes	Zylbercweig lexicon
תל-אביב	תל אביב-יפו	Tel Aviv	Q33935	settlement	272	Tel Aviv-Yafo (Israel)	תל אביב-יפו (ישראל)	WIKIDATA	4-facs_447_tr_1755029922|6-facs_69_r_13|6-facs_116_tr_1747825108	burial|death	no	Zylbercweig lexicon
ניו-יאָרק	ניו יארק	New York City	Q60	settlement	32	New York (N.Y.)	ניו יורק (נ.י.)	WIKIDATA	4-facs_672_r_1|1-facs_78_tr_1740521048|2-facs_32_tr_1744131393|2-facs_129_tr_1744279170|6-facs_187_tr_1747825092|4-facs_103_tr_1753681918|4-facs_200_tr_1754841831|4-facs_249_tr_1754998575|4-facs_260_tr_1754998378|4-facs_261_tr_1754998424|4-facs_590_tr_1755030075|4-facs_591_tr_1755030161|4-facs_599_tr_1755030067|4-facs_601_tr_1755030110|4-facs_641_tr_1755030027|4-facs_661_tr_1755030263|4-facs_666_tr_1755030166|4-facs_672_r_1|1-facs_312_TextRegion_1708860417410_829|1-facs_319_r_1|1-facs_17_r_9|1-facs_23_r|1-facs_78_tr_1740521048|1-facs_90_tr_1740521094|1-facs_180_region_1715801037095_458|2-facs_34_tr_1744131414|2-facs_36_tr_1744131432|2-facs_37_tr_1744131389|2-facs_54_r_13|2-facs_90_tr_1744131418|2-facs_108_tr_1744279182|2-facs_112_tr_1744279073|2-facs_115_tr_1744279181|2-facs_129_tr_1744279170|2-facs_162_tr_1744279209|2-facs_187_tr_1744279120|2-facs_198_r_4|2-facs_212_r|2-facs_219_tr_1744280715|2-facs_232_tr_1744280746|2-facs_331_tr_1744365763|3-facs_12_tr_1752652594|3-facs_17_tr_1752653009|3-facs_29_tr_1752653006|3-facs_124_tr_1754820292|6-facs_18_tr_1747746206|6-facs_41_tr_1747746160|6-facs_50_tr_1747746182|6-facs_58_tr_1747746187|6-facs_58_r|6-facs_63_r_13|6-facs_69_tr_1747746123|6-facs_103_tr_1747825052|6-facs_104_tr_1747825074|6-facs_108_r_4|6-facs_125_tr_1747825049|6-facs_125_tr_1747825044|6-facs_149_tr_1747825121|6-facs_149_tr_1747825109|6-facs_156_tr_1747825094|6-facs_158_tr_1747825103|6-facs_165_tr_1747825091|6-facs_172_tr_1747825165|6-facs_176_tr_1747825145|6-facs_177_tr_1747825182|6-facs_185_tr_1747825159|6-facs_186_tr_1747825065|6-facs_196_tr_1747825036|6-facs_203_tr_1747929008|6-facs_237_tr_1747928923|6-facs_248_tr_1747928920|6-facs_255_tr_1747928944|6-facs_264_tr_1747928896|6-facs_265_tr_1747928990|6-facs_404_tr_1747930204|6-facs_417_tr_1747930464|6-facs_423_tr_1747930553|6-facs_454_tr_1747930319|6-facs_475_r|6-facs_538_r_3|6-facs_642_tr_1747930347|6-facs_644_tr_1747930335|6-facs_654_r_1|7-facs_72_tr_1757228897|7-facs_78_r_1|4-facs_200_tr_1754841831|4-facs_656_tr_1755029862|4-facs_669_tr_1755030278|4-facs_669_tr_1755030280|1-facs_400_TextRegion_1710065342920_478|1-facs_31_TextRegion_1710063786700_90|1-facs_38_tr_1740521009|1-facs_62_tr_1740520963|2-facs_32_tr_1744131395|2-facs_62_tr_1744131376|2-facs_213_r_27|2-facs_352_tr_1744365752|2-facs_407_r_2|6-facs_72_r_192|6-facs_475_r|6-facs_609_tr_1747930163|7-facs_74_r_3	burial|death|birth	yes	Zylbercweig lexicon
