db_id	name_yiddish	org_type	address	linked_cluster_ids	suggested_english	confidence	notes
67	לעווין- עפּשטיין		Gęsia  גענשע/ גֶנשה 5, Warsaw		Lewin-Epstein	high	Famous Warsaw Jewish publishing house at Gęsia 5 (Yiddish publishing district)
470	שוואַרצבאַרדס טרופּע	Traveling Company		ORG-C00010	Schwartzbard Troupe	med	Probably named after impresario surnamed Schwartzbard
475	טעאַטער אַלהאַמבראַ			ORG-C00025	Alhambra Theatre	high	Standard transliteration of the venue name
482	יודישער האָנדלס-קאמער	Publisher		ORG-C00022	Jewish Chamber of Commerce	high	Distinct from 851 (chamber vs. its calendar publication); org_type=Publisher reflects that only its publications are mentioned in corpus
483	ווייספעלדס טרופּע	Traveling Company		ORG-C00028	Weisfeld Troupe	high
485	קאָמפּאַניעעצס יידישער טרופּע	Traveling Company		ORG-C00047	Kompaneyets Yiddish Troupe	high
488	אַרראַט			ORG-C00055	Ararat	high	Łódź kleynkunst troupe (Moshe Broderzon)
503	צאָלמאַן	Traveling Company		ORG-C03322	Zolman Troupe	med	Likely surname; verify which Zolman
510	מאָלדאָוואַנישן יידישן מלוכה-טעאַטער			ORG-C00235	Moldavian Yiddish State Theatre	high	Chișinău postwar state theatre
543	מאָסקווער יידישן מלוכה-טעאַטער			ORG-C05323	Moscow Yiddish State Theatre (GOSET)	high	The Granovsky/Mikhoels theatre
622	פּעריגען-טעאַטער	Theatre		ORG-C06355	Perigen Theatre	low	Unclear referent; transliteration only
689	שטאָטישע רעגירונגס-שול	Education		ORG-C01561	Municipal Government School	med	Canonical after merge of 690/691 (deprecated → 689)
700	מאָזגאָוואָיס פֿארשטעלונגען	Theatre		ORG-C02465	Mozgovoy's Performances	high	Impresario surname; "Mozgovoy's productions/troupe"
701	נעסוויזשער צישאַ-שול	Education		ORG-C02812	Nieświeź TsISHO School	high	TsISHO = Central Yiddish School Organisation
702	מאַגיסטראַט	Non-Jewish Political Bodies		ORG-C02813_Q01	Magistrate (Municipal Authority)	med	Generic — needs city qualifier; from QID-split
703	באַראָכאָוו-שול (פינסק)	Education		ORG-C02814_Q01	Borochov School (Pinsk)	high	Named after Ber Borochov
704	ניי-געגרינדעטן יידישן מלוכה-טעאַטער	Theatre		ORG-C01823	Newly-Founded Yiddish State Theatre	med	Probably refers to Warsaw or Bucharest postwar reconstitution — verify
705	פינסקי ליסטאָק	Journals/ Newspapers		ORG-C01912	Pinskii Listok	high	Russian-language Pinsk newspaper
706	גערזאָןס טיטון-פֿאָבריק	Labour (Factory/Workshop)		ORG-C06243	Gerzon's Tobacco Factory	high	Yiddish טיטון = tobacco/tytoń
707	בערדיטשעווער אַרבעטערקלוב אויפֿן נאָמען פֿון ח' לאָזאָווסקי	Theatre		ORG-C04837	Berdichev Workers' Club Named after Ch. Lozovsky	high	Likely Solomon Lozovsky (Soviet trade unionist)
708	זשיטאָמירער ראָבינער-שול	Education		ORG-C04434 | ORG-C00442_Q01	Zhitomir Rabbinical Seminary	high	Tsarist-era state rabbinical school
709	כאָרשול אין זשיטאָמיר	Education		ORG-C03228	Choir School in Zhitomir	high
710	„ראָוונער וואָכנבלאַט"	Journals/ Newspapers		ORG-C04945	Rovno Weekly (Rovner Vokhnblat)	high
711	יידישן טעאַטער אין מאָנטרעאל	Theatre		ORG-C01387_Q12 | ORG-C03871	Yiddish Theatre in Montreal	high	Generic — likely the YTG / Montreal Yiddish Theatre Group
714	ביבליאָטעק אין יעליסאַוועטגראָד	Library		ORG-C06748	Yelisavetgrad Library	high	Yelisavetgrad = present-day Kropyvnytskyi
