db_id	canonical_yiddish	org_type	linked_cluster_ids	mentions	n_settlements	extracted_settlements	extracted_addresses	extracted_venues	extracted_countries	is_generic	is_exploded	parent_db_id	confirmed_settlement	confirmed_settlement_yiddish	confirmed_address	confirmed_address_romanized	lat	lon	reviewer_notes	confirmed_locations	reviewer	reviewed_at
478	כאַרקאָווער יידישן מלוכה-טעאַטער	Theatre	ORG-C00018	15	3	כאַרקאָוו | כאַרקאָווער | סאָמאַרקאַנד		כאַרקאָווער | כאַרקאָווער יידישן מלוכה טעאַטער | כאַרקאָווער יידישן מלוכה-טעאַטער	ראָטנפֿאַרבאַנד							kharkiv	49.992318	36.231015				
488	אַראַראַט	Theatre	ORG-C00052 | ORG-C00053	13	2	לאָדזש | לאָדזש			פּוילן	TRUE			Lodz	לאָדזש	Aleja 1 Maja 2	Aleja 1 Maja 2 Lodz	51.773222	19.450472		"[{""settlement"": ""Lodz"", ""settlement_yiddish"": ""לאָדזש"", ""address"": ""Aleja 1 Maja 2"", ""address_romanized"": ""Aleja 1 Maja 2 Lodz"", ""lat"": ""51.773222"", ""lon"": ""19.450472""}]"	Maaty	2026-04-09T09:49:19Z
235	Eldorado Theatre	Theatre	ORG-C00024	8	1	וואַרשע		טעאַטער עלדאָראַדאָ | טעאַטער עלדאָראָדאָ | עלדאָראַדאָ	פּוילן				Warsaw	דלוּגע 13/15, וואַרשע	רחוב דלוגה 13/15, וורשה	Długa 15 Warsaw	52.249281	21.006902		"[{""settlement"": ""Warsaw"", ""settlement_yiddish"": ""דלוּגע 13/15, וואַרשע"", ""address"": ""רחוב דלוגה 13/15, וורשה"", ""address_romanized"": ""Długa 15 Warsaw"", ""lat"": ""52.249281"", ""lon"": ""21.006902""}]"	Maaty	2026-04-11T19:04:17Z
472	אָדעסער יידישן מלוכה-טעאַטער	theatre	ORG-C00012	7	1	אָדעס																
476	בוף	theatre	ORG-C00008	2	1	וואַרשע		בוף					Warsaw							"[{""settlement"": ""Warsaw"", ""settlement_yiddish"": """", ""address"": """", ""address_romanized"": """", ""lat"": """", ""lon"": """"}]"	Sinai	2026-04-06T05:12:54Z
491	טעאַטער „קאָמעדיאָ“	Theatre	ORG-C00037 | ORG-C00038	2	1	לענינגראַד			פּוילן				Saint Petersburg	נעווסקי פּראָספּעקט 56, לענינגראַד / סאַנקט פּעטערבורג	56 Nevsky Prospekt	56 Nevsky Prospekt, Saint Petersburg	59.934195	30.33795		"[{""settlement"": ""Saint Petersburg"", ""settlement_yiddish"": ""נעווסקי פּראָספּעקט 56, לענינגראַד / סאַנקט פּעטערבורג"", ""address"": ""56 Nevsky Prospekt"", ""address_romanized"": ""56 Nevsky Prospekt, Saint Petersburg"", ""lat"": ""59.934195"", ""lon"": ""30.33795""}]"	Maaty	2026-04-11T18:13:50Z
474	פֿאַרייניקטע דראַמאַטישע קאָמפּאָניע	theatre	ORG-C00020 | ORG-C00021	2	2	וואַרשע | פּערט			אויסטראָליע		TRUE											
479	טאָשקענט פילהאַרמאָניע	Theatre	ORG-C00017	1	1	טאָשקענט							Tashkent				41.312336	69.278708		"[{""settlement"": ""Tashkent"", ""settlement_yiddish"": """", ""address"": """", ""address_romanized"": """", ""lat"": ""41.312336"", ""lon"": ""69.278708""}]"	Sinai	2026-04-06T05:14:01Z
489	בורג-טעאַטער	Theatre	ORG-C00049	1	1	ווין		בורג-טעאַטער								burgtheater wien	48.210337	16.361478				
475	גאָרטן-טעאַטער „אַלהאַמבראַ“	theatre	ORG-C00026	1	0								Warsaw			Miodowa street, warsaw				"[{""settlement"": ""Warsaw"", ""settlement_yiddish"": """", ""address"": """", ""address_romanized"": ""Miodowa street, warsaw"", ""lat"": """", ""lon"": """"}]"	Sinai	2026-04-06T05:14:42Z
504	העבראיקאַ	Theatre	ORG-C00058	1	0			העבראיקאַ														
