cluster_id	canonical_yiddish	org_type	sampling_stratum	top_candidate_db_id	top_candidate_score	n_candidates	draft_decision	draft_aligned_db_id	confidence	rationale	drafted_at	model	raw_response
ORG-C00001	קאָנסערוואַטאָריע	Education	no_candidates			0	GENERIC		high	The term refers generically to various conservatories in multiple cities (Vienna, Bucharest, Chicago, etc.) rather than a single specific organization.	2026-05-17T13:53:53+00:00	gemini-3-flash-preview	
ORG-C00027	וואַנדער-טרופּע פֿון ראַבינאָוויטש	Traveling Company	no_candidates			0	NEW		high	Specific traveling company name with no candidates in DB; likely a new entity for the lexicon.	2026-05-17T13:53:54+00:00	gemini-3-flash-preview	
ORG-C00029	קאַמינסקי	Traveling Company	no_candidates			0	NEW		high	Significant cluster size (37) and specific name variants (Kaminski troupe) indicate a real entity not present in the current DB.	2026-05-17T13:53:55+00:00	gemini-3-flash-preview	
ORG-C00031	פעלדמאַן	Traveling Company	no_candidates			0	NEW		high	Specific troupe name (Feldman's Troupe) with no DB candidates; likely a distinct traveling company not yet indexed.	2026-05-17T13:53:57+00:00	gemini-3-flash-preview	
ORG-C00041	טרופּעס פֿון יידל און נפתלי (ברידער פֿון אַברהם) גאָלדפאַדען	Traveling Company	no_candidates			0	DISCUSS		high	No candidates found for this specific family-based troupe; requires manual verification of historical existence in DB.	2026-05-17T13:54:00+00:00	gemini-3-flash-preview	
ORG-C00042	יעקב ספּיוואַקאָווסקיס טרופּע	Traveling Company	no_candidates			0	NEW		high	Specific troupe name with consistent variants and locations (Belgium, Switzerland) not found in current database candidates.	2026-05-17T13:54:01+00:00	gemini-3-flash-preview	
ORG-C00045	אַקסעלראדס טרופּע	Traveling Company	low_score	469 	0.600	5	NEW		high	Axelrad's troupe is a well-known entity in Romania/Galicia; no candidate matches the name Axelrad despite similar structural patterns.	2026-05-17T13:54:02+00:00	gemini-3-flash-preview	
ORG-C00054	פישזאָן	Traveling Company	no_candidates			0	NEW		high	Well-known historical troupe (Fishzon) with consistent variants and locations, but no match exists in the current database.	2026-05-17T13:54:03+00:00	gemini-3-flash-preview	
ORG-C00056	ועד החינוך	Education	no_candidates			0	GENERIC		high	The name 'Va'ad Ha-Hinukh' (Education Committee) is a generic term for communal educational boards, not a specific unique organization.	2026-05-17T13:54:05+00:00	gemini-3-flash-preview	
ORG-C00057	קולטור-קאָנגרעס	Jewish political bodies	no_candidates			0	NEW		high	Specific organization (Congress for Jewish Culture) not found in DB; name is distinct and consistent.	2026-05-17T13:54:06+00:00	gemini-3-flash-preview	
ORG-C00059	קיעווער גימנאַזיע	Education	no_candidates			0	NEW		high	Specific educational institution in Kiev; no candidates found in DB but name and location are consistent.	2026-05-17T13:54:07+00:00	gemini-3-flash-preview	
ORG-C00061	קיעווער אַלעקסייעוו מיליטער-שול	Education	no_candidates			0	NEW		high	Specific military school in Kiev; no candidates found in DB, likely a unique entity mentioned in a biography.	2026-05-17T13:54:08+00:00	gemini-3-flash-preview	
ORG-C00062	סעמינאָר פֿון פּראָפעסאָר שפּאַן	Education	no_candidates			0	NEW		high	Specific educational entity (Professor Spann's seminar in Vienna) not present in DB; no candidates found.	2026-05-17T13:54:09+00:00	gemini-3-flash-preview	
ORG-C00063	אוניווערזיטעטן פֿון קעניגסבערג און באָן	Education	no_candidates			0	SPLIT		high	Cluster refers to two distinct educational institutions (University of Königsberg and University of Bonn) joined by a conjunction.	2026-05-17T13:54:10+00:00	gemini-3-flash-preview	
ORG-C00064	וומיריע איסקוסטווא	Journals/ Newspapers	no_candidates			0	NEW		high	Specific Russian-titled journal (Mir Iskusstva) transliterated into Yiddish; no candidates found in DB.	2026-05-17T13:54:11+00:00	gemini-3-flash-preview	
ORG-C00066	די פּרעסע	Journals/ Newspapers	no_candidates			0	NEW		high	Specific newspaper 'Di Prese' in Buenos Aires; no candidates found in DB but cluster is consistent.	2026-05-17T13:54:13+00:00	gemini-3-flash-preview	
ORG-C00067	"ייוו""אָ"	Heritage Institution	no_candidates			0	NEW		high	YIVO is a major heritage institution with consistent name and locations (Vilna, NY) but is missing from the current DB candidates.	2026-05-17T13:54:14+00:00	gemini-3-flash-preview	
ORG-C00068	אַקטיאָרן-פאַריין	Theatre-related Society/ Union	high_score	496	1.000	1	ALIGN	496	high	Exact name match and settlement (Buenos Aires) matches the parenthetical in the DB name.	2026-05-17T13:54:15+00:00	gemini-3-flash-preview	
ORG-C00069	צווישאָ	Education	no_candidates			0	NEW		high	TSYVISHO (Central Yiddish School Organization) is a well-known historical educational entity not present in the current database.	2026-05-17T13:54:16+00:00	gemini-3-flash-preview	
ORG-C00070	איפט	Theatre	no_candidates			0	NEW		high	IFT (איפט) is a well-known Yiddish theatre in Buenos Aires; no candidates found in DB.	2026-05-17T13:54:17+00:00	gemini-3-flash-preview	
ORG-C00073	ראַדיאָ	Media (Radio/ Film/TV)	no_candidates			0	GENERIC		high	The term 'Radio' is a generic category/medium in this context, not a specific organization name.	2026-05-17T13:54:18+00:00	gemini-3-flash-preview	
ORG-C00074	טרופּע פון קלמן יוווילער	Traveling Company	low_score	563 	0.619	2	ALIGN	578	high	Phonetic match for Juvelier (יוווילער/יאָוועליר) and Traveling Company type agreement; Bucharest location is consistent with Juvelier's career.	2026-05-17T13:54:20+00:00	gemini-3-flash-preview	
ORG-C00075	בוקאַרעשטער „פאָלקסבלאַט“	Journals/ Newspapers	no_candidates			0	NEW		high	Specific newspaper name (Bucharest Folksblat) with no candidates in DB; likely a new entity.	2026-05-17T13:54:21+00:00	gemini-3-flash-preview	
ORG-C00076	יאַנקעלע דער הייזעריקער	Traveling Company	no_candidates			0	NEW		high	Specific troupe name with settlement (Bila Tserkva) not found in DB; no candidates provided.	2026-05-17T13:54:22+00:00	gemini-3-flash-preview	
ORG-C00077	שניידערישער שול	Theatre	no_candidates			0	NEW		high	Specific venue (Tailors' Synagogue/School) in Kiev used for performances; no candidates exist in the database.	2026-05-17T13:54:23+00:00	gemini-3-flash-preview	
ORG-C00078	אוקראינישער אָפּערעטע פֿון קראָפּאָווניצקי	Theatre	no_candidates			0	NEW		high	Specific Ukrainian operetta company named after Kropovnitsky; no candidates found in DB.	2026-05-17T13:54:24+00:00	gemini-3-flash-preview	
ORG-C00079	פולק	Military	no_candidates			0	GENERIC		high	The term 'פולק' (polk) is a generic noun for a military regiment, not a specific organization name.	2026-05-17T13:54:25+00:00	gemini-3-flash-preview	
ORG-C00080	יעקב-בער גימפּעל	Theatre	no_candidates			0	DISCUSS		high	Name refers to an individual (Jacob Ber Gimpel) associated with a famous Lemberg theatre; needs judgment if this represents the institution.	2026-05-17T13:54:26+00:00	gemini-3-flash-preview	
ORG-C00081	סעם אַגעד	Traveling Company	no_candidates			0	DISCUSS		high	Name appears to be a person (Sam Agid) rather than an organization; no candidates found in DB.	2026-05-17T13:54:27+00:00	gemini-3-flash-preview	
ORG-C00087	קיעווער אָפּערע-הויז	Theatre	no_candidates			0	NEW		high	Specific entity (Kiev Opera House) with clear location and type, but no matches found in the current database.	2026-05-17T13:54:32+00:00	gemini-3-flash-preview	
ORG-C00088	אַן אייגענע שולע	Education	no_candidates			0	GENERIC		high	The name translates to 'an own school' or 'a private school', which is a generic description rather than a specific entity name.	2026-05-17T13:54:33+00:00	gemini-3-flash-preview	
ORG-C00090	רוסישער אָפּערע	Theatre	low_score	532	0.692	1	NEW		high	Specific entity (Russian Opera) in Russia; candidate 'Yoser Opera' is a phonetic mismatch and likely a different entity.	2026-05-17T13:54:35+00:00	gemini-3-flash-preview	
ORG-C00091	קאָנסערוואַטאָריום	Education	no_candidates			0	GENERIC		high	The term 'Conservatorium' is a generic noun for a music school; extracted settlements (Vienna, Kiev, etc.) indicate different institutions.	2026-05-17T13:54:36+00:00	gemini-3-flash-preview	
ORG-C00092	רוסישער טרופּע א'ל פֿון פרוי כרעניקאָוואַ	Traveling Company	no_candidates			0	NEW		high	Specific Russian troupe under Khrenikova in Zhitomir; no candidates found in DB.	2026-05-17T13:54:37+00:00	gemini-3-flash-preview	
ORG-C00093	יורידישן פֿאַקולטעט פֿון אוניווערזיטעט	Education	no_candidates			0	NEW		high	Specific academic faculty (Law Faculty of Odessa University) not present in DB; no candidates found.	2026-05-17T13:54:38+00:00	gemini-3-flash-preview	
ORG-C00094	אָרטיקער קאָנסערוואַטאָריע	Education	no_candidates			0	GENERIC		high	The name translates to 'local conservatory' and refers to various institutions across multiple cities (Odessa, Warsaw, Kiev, etc.).	2026-05-17T13:54:39+00:00	gemini-3-flash-preview	
ORG-C00097	אַמכא	Traveling Company	no_candidates			0	NEW		high	Specific name (Amkho) in Ukraine with no DB candidates; likely a local troupe or organization.	2026-05-17T13:54:42+00:00	gemini-3-flash-preview	
ORG-C00098	דורך טרערן	Media (Radio/ Film/TV)	no_candidates			0	NEW		high	Specific film title ('Through Tears') identified as Media type; no existing DB candidates match this entity.	2026-05-17T13:54:43+00:00	gemini-3-flash-preview	
ORG-C00099	צעירי יהודה	Jewish political bodies	no_candidates			0	NEW		high	Specific Zionist youth organization in Lemberg; no candidates found in DB.	2026-05-17T13:54:44+00:00	gemini-3-flash-preview	
ORG-C00100	פּראָפעסיאנעלער יידישער טרופּע פֿון ר. פינקעלשטיין	Traveling Company	no_candidates			0	NEW		high	Specific professional troupe with leader name and location (Melbourne) not found in DB; no candidates suggested.	2026-05-17T13:54:45+00:00	gemini-3-flash-preview	
ORG-C00102	יוגנט פאַריין	Education	no_candidates			0	GENERIC		high	The name translates to 'Youth Association', a generic term for a type of organization rather than a specific entity.	2026-05-17T13:54:49+00:00	gemini-3-flash-preview	
ORG-C00104	גילאָרינאַ	Theatre	no_candidates			0	DISCUSS		high	Unique name with no candidates in DB; requires manual verification of entity existence.	2026-05-17T13:54:50+00:00	gemini-3-flash-preview	
ORG-C00105	אַזאַזעל	Theatre	no_candidates			0	NEW		high	Well-known Warsaw literary cabaret/theatre; no candidates found in DB despite high cluster size and specific location.	2026-05-17T13:54:51+00:00	gemini-3-flash-preview	
ORG-C00107	ביאַליסטאָקער טרופּע	Traveling Company	low_score	41	0.647	1	NEW		high	Specific regional troupe (Bialystok) not present in DB; candidate 'Yasser Troupe' is a phonetic match but geographically distinct.	2026-05-17T13:54:53+00:00	gemini-3-flash-preview	
ORG-C00108	יידישן אַרטיסטן-פֿאַריין אין פּוילן	Theatre-related Society/ Union	no_candidates			0	NEW		high	Significant cluster size and specific name (Yiddish Actors Union in Poland) with consistent locations, but no matches in current DB.	2026-05-17T13:54:54+00:00	gemini-3-flash-preview	
ORG-C00110	גראַנד פּאָליי	Theatre	no_candidates			0	NEW		high	Specific theatre name (Grand Palais) in London/England with no DB candidates; likely a distinct entity not yet recorded.	2026-05-17T13:54:57+00:00	gemini-3-flash-preview	
ORG-C00112	אוצר הספרות	Journals/ Newspapers	no_candidates			0	NEW		high	Specific Hebrew-titled literary annual (Ozar ha-Sifrut) not found in current DB; no candidates provided.	2026-05-17T13:54:59+00:00	gemini-3-flash-preview	
ORG-C00114	הזמיר	Musical organization	no_candidates			0	SPLIT		high	Hazamir was a network of distinct local musical societies; settlements list confirms multiple cities (Warsaw, Lodz, Bialystok, etc.) requiring individual entities.	2026-05-17T13:55:00+00:00	gemini-3-flash-preview	
ORG-C00115	פרץ-דראַמקרייז	Education	no_candidates			0	NEW		high	Specific organization name (Peretz Drama Circle) in Warsaw with no existing DB candidates.	2026-05-17T13:55:01+00:00	gemini-3-flash-preview	
ORG-C00117	טרופּע פון יצחק זאַנדבערג	Traveling Company	no_candidates			0	NEW		high	Specific troupe named after Isaac Sandberg in Lodz; no candidates found in DB.	2026-05-17T13:55:02+00:00	gemini-3-flash-preview	
ORG-C00118	פּראָפעסיאנעלן יידישן אַרטיסטן-פאַראיין אין פּוילן	Theatre-related Society/ Union	no_candidates			0	NEW		high	Specific professional union (Yidisher Artistn-Fareyn) with consistent name and location (Poland/Warsaw) not found in current DB candidates.	2026-05-17T13:55:03+00:00	gemini-3-flash-preview	
ORG-C00119	קאָמעדיע-טעאַטער א'נ „שלום-עליכם“	Theatre	no_candidates			0	NEW		high	Specific Moscow theatre named after Sholem Aleichem; no candidates found in DB.	2026-05-17T13:55:05+00:00	gemini-3-flash-preview	
ORG-C00120	"טעאַטער-סטודיע אויפן נאָמען פון „שלום-עליכם"""	Theatre	no_candidates			0	NEW		high	Specific Moscow-based studio named after Sholem Aleichem; no candidates found in DB.	2026-05-17T13:55:06+00:00	gemini-3-flash-preview	
ORG-C00121	טעאַטער א'נ „בעזקער“	Theatre	no_candidates			0	NEW		high	Specific theatre name (Bezker) in Kiev with no DB candidates; likely a distinct local entity.	2026-05-17T13:55:07+00:00	gemini-3-flash-preview	
ORG-C00122	ישיבות	Education	no_candidates			0	GENERIC		high	The term 'ישיבות' (Yeshivas) is a generic plural noun for educational institutions, not a specific organization.	2026-05-17T13:55:08+00:00	gemini-3-flash-preview	
