cluster_id	canonical_yiddish	org_type	cluster_size	name_variants	extracted_settlements	extracted_addresses	extracted_venues	extracted_countries	candidate_db_ids	candidate_scores	candidate_methods	decision	aligned_db_id	reviewer_notes	reviewer_settlement	reviewer_address	reviewer	reviewed_at
ORG-C00001	קאָנסערוואַטאָריע	school	32	קאָנסערוואַטאָריע | קאָנסערוואַטאָריע אין בּוקאַרעסט | קאָנסערוואַטאָריע אין ווין | קאָנסערוואַטאָריע אין שיקאַגאָ	אָדעס | בּוקאַרעסט | בוקאַרעסט | בערלין | וואַרשע | וואָרשע | ווילנע | ווין | יאָסי | לעמבערג | מינכען | ניויאָרק | פּעטערבורג | שיקאַגאָ		קאָנסערוואַטאָריע	דייטשלאַנד | פּאָלן | פּוילן | רומעניע										
ORG-C00002	שאָוו-סערי	troupe	1	שאָוו-סערי								DISCUSS						
ORG-C00003	יידישער שפּיגל	theatre	1	יידישער שפּיגל	פּאַריז			פראַנקרייך	466	1.000	exact	NEW	466					
ORG-C00004	טעאַטער פעמינאַ	theatre	2	טעאַטער פעמינאַ	וואַרשעווער געטאָ | פּאַריז	שאַנס עליזע	"טעאַטער פעמינאַ | טעאַטער „פעמינאַ"""					UNCLUSTER						
ORG-C00005	פאַוויליאָן-טעאַטער	theatre	49	פּאָווילאָן-טעאַטער | פּאוויליאָן-טעאַטער | פאַוויליאָן-טעאַטער	וואַרשע | טשערנאָוויץ | לאָנדאָן | שיקאַגאָ	פיקאַדילי צירק | רוסישער גאַס	"'פּאַוויליאָן'-טעאָטער | יידיש פאַוויליאָן טעאַטער | לאָנדאָנער פאַוויליאָן-טעאַטער | פּאַוויליאָן טעאַטער | פּאַוויליאָן-טעאַטער | פּאָווילאָן-טעאַטער | פּאָוויליאָן טעאַטער | פּאָוויליאָן-טעאַטער | פּאָוויליאָןטעאַטער | פּאוויליאָן-טעאַטער | פֿאַוויליאָן-טעאַטער | פאַוויליאָן טעאַטער | פאַוויליאָן טעאַטער | פאַוויליאָן-טעאַטער | פאַוויליאָן-טעאַטער | „פּאַוויליאָן""-טעאַטער | „פּאָוויליאָן""-טעאַטער | „פאַוויליאָן""-טעאַטער | „פאַוויליאָן'-טעאַטער | „פאַוויליאָן“ טעאַטער | פֿאַוויליאָן-טעאַטער"	ענגלאַנד | ענגלאנד | פּוילן				UNCLUSTER						
ORG-C00006	בלויען פויגל	troupe	1	בלויען פויגל					467	1.000	exact	NEW	467					
ORG-C00007	קאָלאָמביאַ	publisher	5	קאָלאָמביאַ	ניו-יאָרק							UNCLUSTER						
ORG-C00008	בוף	theatre	2	בוף	וואַרשע		בוף		476	1.000	exact	NEW	476					
ORG-C00009	קינדער-קאָלעקטיוו א'ר פֿון מאַרק מייערסאָן	troupe	1	קינדער-קאָלעקטיוו א'ר פֿון מאַרק מייערסאָן					468	1.000	exact	ALIGN	468				Sinai	2026-04-05T17:43:45Z
ORG-C00010	ראַפּעלס טרופּע	troupe	8	ראַפּעלס טרופּע	אָדעס | וואַרשע	קאַראָוואַ גאַס	עליזעום | קאַראָוואַ גאַס	פּוילן	469 | 367 | 41	1.000 | 0.692 | 0.667	exact | ipa_phonetic | ipa_phonetic	NEW	469					
ORG-C00011	שוואַרצבאַרדס טרופּע	troupe	1	שוואַרצבאַרדס טרופּע	פינסק				470	1.000	exact	NEW	470					
ORG-C00012	אָדעסער יידישן מלוכה-טעאַטער	theatre	7	אָדעסער יידישן מלוכה-טעאַטער	אָדעס				472 | 505 | 501 | 500 | 478	1.000 | 0.885 | 0.852 | 0.846 | 0.821	exact | ipa_phonetic | ipa_phonetic | ipa_phonetic | ipa_phonetic	NEW	472					
ORG-C00013	קיעווער יידישן מלוכה-טעאַטער א'נ פון שלום-עליכם	theatre	1	קיעווער יידישן מלוכה-טעאַטער א'נ פון שלום-עליכם	קיעוו				473	1.000	exact	NEW	473					
ORG-C00014	יידישן באַוועגלעכן טעאַטערקאָלעקטיוו אויפן נאָמען פון אסתר-רחל קאמינסקאַ	troupe	1	יידישן באַוועגלעכן טעאַטערקאָלעקטיוו אויפן נאָמען פון אסתר-רחל קאמינסקאַ					477	1.000	exact	NEW	477					
ORG-C00015	ערשטן יידישן באַוועגלעכן מלוכהטעאַטער פון אוקראינע	theatre	1	ערשטן יידישן באַוועגלעכן מלוכהטעאַטער פון אוקראינע								DISCUSS						
ORG-C00016	יידיש אַרבעטער-טעאַטער	theatre	1	יידיש אַרבעטער-טעאַטער	באָקו				480	0.741	ipa_phonetic	NEW	480					
ORG-C00017	אָרטיקער פילהאַרמאָניע	theatre	1	אָרטיקער פילהאַרמאָניע	טאָשקענט				479	1.000	exact	NEW	479					
ORG-C00018	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	15	כאַרקאָווער יידישן מלוכה-טעאַטער	כאַרקאָוו | כאַרקאָווער | סאָמאַרקאַנד		כאַרקאָווער | כאַרקאָווער יידישן מלוכה טעאַטער | כאַרקאָווער יידישן מלוכה-טעאַטער	ראָטנפֿאַרבאַנד	478 | 502 | 472 | 500 | 505	1.000 | 0.833 | 0.821 | 0.821 | 0.821	exact | ipa_phonetic | ipa_phonetic | ipa_phonetic | ipa_phonetic	ALIGN	478					
ORG-C00019	קיעווער יידישן מלוכה-טעאַטער	theatre	13	קיעווער יידישן מלוכה-טעאַטער | קיעווער יידישע מלוכה-טעאַטער | קיעווער יידישער מלוכה-טעאַטער	קאָקאַנד | קאָקאנד | קיעוו		קיעווער יידישן מלוכה-טעאַטער | קיעווער יידישן מלוכה-טעאַטער	אוקראַינע | סאָוויעט-רוסלאַנד	472 | 500 | 505 | 501 | 478	0.885 | 0.885 | 0.885 | 0.852 | 0.821	ipa_phonetic | ipa_phonetic | ipa_phonetic | ipa_phonetic | ipa_phonetic							
ORG-C00020	פֿאַרייניקטע דראַמאַטישע קאָמפּאָניע	theatre	1	פֿאַרייניקטע דראַמאַטישע קאָמפּאָניע	פּערט			אויסטראָליע	474	1.000	exact	ALIGN	474					
ORG-C00021	וואַרשעווער יודישען קאָלענדאַר	publisher	1	וואַרשעווער יודישען קאָלענדאַר	וואַרשע				481	1.000	exact	NEW	474					
ORG-C00022	יודישער האַנדעלס קאַלענדאָר	publisher	1	יודישער האַנדעלס קאַלענדאָר					482	1.000	exact	NEW	481					
ORG-C00023	פּוילישע טרופּע אונטער דער דירעקציע פֿון ה' סמאָטריצקי	troupe	1	פּוילישע טרופּע אונטער דער דירעקציע פֿון ה' סמאָטריצקי	וואַרשע		עלדאָראַדאָ					NEW	482					
ORG-C00024	טעאַטער עלדאָראַדאָ	theatre	8	טעאַטער עלדאָראַדאָ	וואַרשע		טעאַטער עלדאָראַדאָ | טעאַטער עלדאָראָדאָ | עלדאָראַדאָ	פּוילן				ALIGN	235					
ORG-C00025	גאָרטן-טעאַטער „אַלהאַמבראַ“	theatre	1	גאָרטן-טעאַטער „אַלהאַמבראַ“	וואַרשע				475	1.000	exact	DISCUSS						
ORG-C00026	כאָר צו קאַמינסקין	theatre	1	כאָר צו קאַמינסקין								NEW	475					
ORG-C00027	וואַנדער-טרופּע פֿון ראַבינאָוויטש	troupe	1	וואַנדער-טרופּע פֿון ראַבינאָוויטש														
ORG-C00028	טרופּע פֿון ווייספעלד	troupe	2	טרופּע פֿון ווייספעלד	וואַרשע				483 | 486	1.000 | 0.611	exact | ipa_phonetic	ALIGN	366					
ORG-C00029	קאַמינסקי	troupe	37	טרופּע פון קאַמינסקין | טרופּע פֿון קאַמינסקי | טרופּעס פֿון קאַמינסקי | טרופּעס פֿון קאָ מינסקי | קאַמינסקי | קאַמינסקי אין וואַרשע | קאָמינסקי	אָדעס | וואַרשע | יעקאַטערינאָסלאָוו | לאָדזש		פּוילן | קאַמינסקי טעאַטער | קאמינסקי	פּוילן										
ORG-C00030	גענפער	troupe	24	גענפער | גענפֿער | טרופּע פֿון גענפער | טרופּעס פון גענפּער	ווילנע | טוקום | קעשעניעוו													
ORG-C00031	פעלדמאַן	troupe	4	טרופּע פֿון פעלדמאַן | פעלדמאַן | פעלדמאַן'ס טרופּע														
ORG-C00032	בערנשטיין	troupe	5	בערנשטיין | טרופּע פֿון בערנשטיין	קרעמענטשוג													
ORG-C00033	גוזיק	troupe	10	גוזיק | טרופּע פֿון גוזיק	האָמעל				486	1.000	exact	ALIGN	486				Sinai	2026-04-05T17:28:14Z
ORG-C00034	אָפּערע-טעאַַטער אין פּערם	theatre	1	אָפּערע-טעאַַטער אין פּערם	פּערם							NEW	486					
ORG-C00035	אינסטיטוט א'נ פֿון אָסטראָווסקי	school	1	אינסטיטוט א'נ פֿון אָסטראָווסקי	לענינגראָד				484	1.000	exact	ALIGN	484					
