db_id	name	original_type	canonical_type	changed
0	עם עובד	Publisher	Publisher	
1	כתר	Publisher	Publisher	
2	הקיבוץ המאוחד	Publisher	Publisher	
3	זמורה ביתן	Publisher	Publisher	
4	כנרת זמורה ביתן	Publisher	Publisher	
5	בבל	Publisher	Publisher	
6	נ. טברסקי	Publisher	Publisher	
7	ספרית מעריב	Publisher	Publisher	
8	בימת קדם לספרות	Publisher	Publisher	
9	דפוס השומר הצעיר			
10	הקיבוץ הארצי השומר הצעיר	Publisher	Publisher	
11	ספרי סימן קריאה	Publisher	Publisher	
12	ידיעות אחרונות ספרי חמד	Publisher	Publisher	
13	כנרת זמורה ביתן דביר	Publisher	Publisher	
14	כתר זמורה ביתן	Publisher	Publisher	
15	מודן	Publisher	Publisher	
16	ספרי עליית הגג	Publisher	Publisher	
17	ידיעות אחרונות	Publisher	Publisher	
18	ספרי חמד	Publisher	Publisher	
19	ספרית פועלים	Publisher	Publisher	
20	ספריה לעם	Publisher	Publisher	
21	חרגול	Publisher	Publisher	
22	שוקן	Publisher	Publisher	
23	הספריה החדשה	Publisher	Publisher	
24	יואל לעבענזאהן	Printer	Printer	
25	יוסף פישער			
26	New York Public Library	Library	Library	
27	YIVO Institute for Jewish Research	Heritage Institution	Heritage Institution	
28	National Yiddish Book Center	Heritage Institution	Heritage Institution	
29	Library of Congress	Library	Library	
30	United Jewish Actors Company			
31	The Russian-Jewish Opera Company	Theatre	Theatre	
32	The Hebrew Opera and Dramatic Company	Theatre	Theatre	
33	The Roumanian Opera Company	Theatre	Theatre	
34	Dramatic Folk Theatre	Theatre	Theatre	
35	Independent Jewish Actors Company	Traveling Company	Traveling Company	
38	The Order of David's Harp			
39	Union Theatre Actors Company			
40	דער אָריענטאַל קאָמפּאַניע	Traveling Company	Traveling Company	
41	יאַסער טרופּע			
42	גאָלדפאדעןס טרופּע -Avraham Goldfaden Troupe			
43	גראַדנערס קאָמפּאַניע			
44	איזראעליטישע-דראַמאַטישע-געזעלשאַפט			
47	קולטור| Kultur	Publisher	Publisher	
48	נ. ראָזנבּלוּם	Publisher	Publisher	
49	ע. גיטלין	Publisher	Publisher	
50	שלמה גאָלדפאַרבּ	Publisher	Publisher	
52	היברו פּאַבלישינג קאָמפאני	Publisher	Publisher	
53	Yuropian Hibru poblishing ḳompani	Publisher	Publisher	
54	Di inṭernatsyonale biblioṭheḳ	Publisher	Publisher	
55	Elizeum	Publisher	Publisher	
56	L. Ḥarik	Publisher	Publisher	
57	Progres	Publisher	Publisher	
58	N. Sṭarovolsḳi| נ. סטאראוואלסקי	Printer	Printer	
60	י. לידסקי	Publisher	Publisher	
61	קונסט|Kunst	Publisher	Publisher	
62	אהרן פויסט| A. Faust	Publisher	Publisher	
63	אַמקרויט עט פריינד| Amkroyt un Fraynd	Publisher	Publisher	
64	בּנימין מונק|Benjamin Munk	Publisher	Publisher	
65	דוד ראָטה|D. Roth	Publisher	Publisher	
66	ש. ל. דייטשער| Sh. L. Deytsher	Printer	Printer	
67	לעווין אפשטיין			
68	הצפירה			
69	ווארשעווער אידישער טעאטר -א.ג. קאמפאניעעץ	Printer/Publisher	Printer/Publisher	
70	D. Salat| א. סאלאט	Printer	Printer	
71	Yosef Fischer			
72	Munish Necheles	Printer/Publisher	Printer/Publisher	
