row_id	name	original_type	canonical_type	changed	needs_review	decided_via	review_reason	llm_canonical	llm_agree	llm_concern_theme	llm_reason	llm_suggested_new_canonical
ORG-C00001	קאָנסערוואַטאָריע	school	Education	yes		tag						
ORG-C00002	שאָוו-סערי	troupe	Traveling Company	yes		tag						
ORG-C00003	יידישער שפּיגל	theatre	Theatre	yes		tag						
ORG-C00004	טעאַטער פעמינאַ	theatre	Theatre	yes		tag						
ORG-C00005	פאַוויליאָן-טעאַטער	theatre	Theatre	yes		tag						
ORG-C00006	בלויען פויגל	troupe	Traveling Company	yes		tag						
ORG-C00007	קאָלאָמביאַ	publisher	Publisher	yes		tag						
ORG-C00008	בוף	theatre	Theatre	yes		tag						
ORG-C00009	קינדער-קאָלעקטיוו א'ר פֿון מאַרק מייערסאָן	troupe	Traveling Company	yes		tag						
ORG-C00010	ראַפּעלס טרופּע	troupe	Traveling Company	yes		tag						
ORG-C00011	שוואַרצבאַרדס טרופּע	troupe	Traveling Company	yes		tag						
ORG-C02849	יידישן מלוכה-טעאַטער אין באָקו	theatre	Theatre	yes		tag						
ORG-C00012	אָדעסער יידישן מלוכה-טעאַטער	theatre	Theatre	yes		tag						
ORG-C00013	קיעווער יידישן מלוכה-טעאַטער א'נ פון שלום-עליכם	theatre	Theatre	yes		tag						
ORG-C00014	יידישן באַוועגלעכן טעאַטערקאָלעקטיוו אויפן נאָמען פון אסתר-רחל קאמינסקאַ	troupe	Traveling Company	yes		tag						
ORG-C00015	ערשטן יידישן באַוועגלעכן מלוכהטעאַטער פון אוקראינע	theatre	Theatre	yes		tag						
ORG-C00016	יידיש אַרבעטער-טעאַטער	theatre	Theatre	yes		tag						
ORG-C00012	אָדעסער יידישן מלוכה-טעאַטער	theatre	Theatre	yes		tag						
ORG-C00017	אָרטיקער פילהאַרמאָניע	theatre	Theatre	yes		tag						
ORG-C00018	כאַרקאָווער יידישן מלוכה-טעאַטער	theatre	Theatre	yes		tag						
ORG-C00019	קיעווער יידישן מלוכה-טעאַטער	theatre	Theatre	yes		tag						
ORG-C00020	פֿאַרייניקטע דראַמאַטישע קאָמפּאָניע	theatre	Theatre	yes		tag						
ORG-C00021	וואַרשעווער יודישען קאָלענדאַר	publisher	Publisher	yes		tag						
ORG-C00022	יודישער האַנדעלס קאַלענדאָר	publisher	Publisher	yes		tag						
ORG-C00023	פּוילישע טרופּע אונטער דער דירעקציע פֿון ה' סמאָטריצקי	troupe	Traveling Company	yes		tag						
ORG-C00024	טעאַטער עלדאָראַדאָ	theatre	Theatre	yes		tag						
ORG-C00025	גאָרטן-טעאַטער „אַלהאַמבראַ“	theatre	Theatre	yes		tag						
ORG-C00026	כאָר צו קאַמינסקין	theatre	Theatre	yes		tag						
ORG-C00027	וואַנדער-טרופּע פֿון ראַבינאָוויטש	troupe	Traveling Company	yes		tag						
ORG-C00028	טרופּע פֿון ווייספעלד	troupe	Traveling Company	yes		tag						
ORG-C00029	טרופּע פֿון קאַמינסקי	troupe	Traveling Company	yes		tag						
ORG-C00030	טרופּע פֿון גענפער	troupe	Traveling Company	yes		tag						
ORG-C00031	טרופּע פֿון פעלדמאַן	troupe	Traveling Company	yes		tag						
ORG-C00032	טרופּע פֿון בערנשטיין	troupe	Traveling Company	yes		tag						
ORG-C01140	טרופּעס פֿון סאָבסיי	troupe	Traveling Company	yes		tag						
ORG-C00033	טרופּע פֿון גוזיק	troupe	Traveling Company	yes		tag						
ORG-C02849	יידישן מלוכה-טעאַטער אין לעמבערג	theatre	Theatre	yes		tag						
ORG-C00034	אָפּערע-טעאַַטער אין פּערם	theatre	Theatre	yes		tag						
ORG-C00035	אינסטיטוט א'נ פֿון אָסטראָווסקי	school	Education	yes		tag						
ORG-C00036	רוסישן טעאַטער אין קאַזאָן	theatre	Theatre	yes		tag						
ORG-C00037	טעאַטער „קאָמעדיאָ“	theatre	Theatre	yes		tag						
ORG-C00038	יידישן מלוכןן טעאַטער א'נ פֿון אַסתר-רחל קאמינסקאַ	theatre	Theatre	yes		tag						
ORG-C00039	ירושלימער אוניווערזיטעט	school	Education	yes		tag						
ORG-C00040	„קעלער-זינגער“ סאָבסיי, פישקינד	troupe	Traveling Company	yes		tag						
ORG-C00041	טרופּעס פֿון יידל און נפתלי (ברידער פֿון אַברהם) גאָלדפאַדען	troupe	Traveling Company	yes		tag						
ORG-C00042	יעקב ספּיוואָקאָווסקי	troupe	Traveling Company	yes		tag						
ORG-C00043	שמ׳רן	troupe	Traveling Company	yes		tag						
ORG-C00044	גאַרטענשטיין	troupe	Traveling Company	yes		tag						
ORG-C00045	אַקסעלראדס טרופּע	troupe	Traveling Company	yes		tag						
ORG-C01285	קאָמפּאַנעעצס טרופּע	troupe	Traveling Company	yes		tag						
ORG-C01387	יידישן טעאַטער	theatre	Theatre	yes		tag						
ORG-C00046	יידל גאָלדפאַדנס טרופּע	troupe	Traveling Company	yes		tag						
ORG-C04833	טרופּע פֿון אַברהם גאָלדפאָדן	troupe	Traveling Company	yes		tag						
ORG-C00047	טרופּע ציפקוס	troupe	Traveling Company	yes		tag						
ORG-C00048	סאַן פּאָולאַ יידישער געזעלשאַפט	organization	Welfare/Aid organization	yes		context		Welfare/Aid organization	yes	pi_judgement_needed	Policy explicitly flags Sao Paulo Yiddish Society scope as a PI dilemma; 'supported' implies welfare/aid, but could be a general cultural society.	
ORG-C00049	בורג-טעאַטער	theatre	Theatre	yes		tag						
