org_type	canonical_type
theatre	Theatre
troupe	Traveling Company
school	Education
newspaper	Journals/ Newspapers
union	Theatre-related Society/ Union
publisher	Publisher
organization	OTHER - elaborate!
choir	Musical organization
business	Business
factory	Labour (factory/workshop)
synagogue	OTHER - elaborate!
party	Political bodies
other	OTHER - elaborate!
radio	Media (Radio/ Film/TV)
society	Theatre-related Society/ Union
טרופּע	Traveling Company
company	Company on Tour
club	Theatre-related Society/ Union
army	OTHER - elaborate!
טעאַטער	Theatre
government	Political bodies
military	Military
movement	Political bodies
association	Theatre-related Society/ Union
political_party	Political bodies
institution	OTHER - elaborate!
museum	Heritage Institution
camp	OTHER - elaborate!
religious_institution	Religious institutions/organizations
library	Heritage Institution
hospital	OTHER - elaborate!
drama_circle	Amateur
film	Media (Radio/ Film/TV)
workplace	Labour (factory/workshop)
film_company	Media (Radio/ Film/TV)
radio_station	Media (Radio/ Film/TV)
journal	Journals/ Newspapers
committee	Theatre-related Society/ Union
bank	Business
university	Education
orchestra	Musical organization
shop	Business
workshop	Business
restaurant	Business
circus	Circus
institute	OTHER - elaborate!
group	OTHER - elaborate!
charity	Theatre-related Society/ Union
firm	Business
government_office	Political bodies
youth_organization	Theatre-related Society/ Union
cultural_organization	Theatre-related Society/ Union
television	Media (Radio/ Film/TV)
hotel	Business
office	Political bodies
publication	Publisher
טעאַטער-טרופּע	Kleinkunst
געזעלשאַפט	Theatre-related Society/ Union
studio	Media (Radio/ Film/TV)
archive	Heritage Institution
sanatorium	Theatre-related Society/ Union
literary group	Theatre-related Society/ Union
gallery	Business
center	Theatre-related Society/ Union
agency	Business
cultural_center	Theatre-related Society/ Union
org	OTHER - elaborate!
religious_group	Religious institutions/organizations
theatre_society	Theatre-related Society/ Union
דרוקעריי	Printer
ארגאניזאציע	OTHER - elaborate!
theatre organization	Theatre-related Society/ Union
political movement	Political bodies
government body	Political bodies
radio program	Media (Radio/ Film/TV)
miscellany	Journals/ Newspapers
saloon	Business
community	Theatre-related Society/ Union
religious_organization	Religious institutions/organizations
orphanage	Theatre-related Society/ Union
council	Theatre-related Society/ Union
parliament	Political bodies
political organization	Political bodies
temple	Religious institutions/organizations
exhibition	OTHER - elaborate!
concentration camp	OTHER - elaborate!
literary circle	Theatre-related Society/ Union
שול	Religious institutions/organizations
סטוּדיע	Theatre-related Society/ Union
lexicon	Publisher
theatre_club	Theatre
ארמיי	Military
קהלה	Theatre-related Society/ Union
government_agency	Political bodies
government_department	Political bodies
cafe	Business
band	Musical organization
communal_organization	Theatre-related Society/ Union
newspaper/journal	Journals/ Newspapers
expedition
circle
shul
labor camp
pharmacy
fraternal
department
court
community_center
commission
community_org
bakery
welfare organization
research institute
partisan group
administration
ghetto
social organization
children's home
clinic
קאָמיטעט
farm
קאָמיסאַריאָט
film_studio	Media (Radio/ Film/TV)
theatre_union	Theatre-related Society/ Union
theatre troupe
פאַריין	Theatre-related Society/ Union
religious
vaudeville theater	Kleinkunst
house of prayer	Religious institutions/organizations
יוגנט-אָרגאַניזאַצע
פארטיי	Political bodies
refugee_camp
Gmina
union/association	Theatre-related Society/ Union
philanthropic society
broadcaster	Media (Radio/ Film/TV)
אָרקעסטער	Musical organization
culture society	Theatre-related Society/ Union
קולטור-געזעלשאַפט	Theatre-related Society/ Union
service
brewery
executive committee
community organization
tailor shop
news agency
law_firm
revolutionary organization
student_organization
guild
academy
tv
venue
fund
party branch
book
historical_location
political group	Political bodies
theatre_group
etc
social_relief_org
theatre studio
philharmonic	Musical organization
railway
employment
government_administration
cinema studio	Media (Radio/ Film/TV)
government building
פּאַרטיי-אָרגאַניזאַציע	Political bodies
דראַמקרייז
אַרמיי
amateur troupe
אינסטיטוט
מוזיי
military organization
residence
cultural department
festival
relief society
old age home
insurance
רעוויסטאָ
drama club
טעאַטער-קאָלעקטיוו
פּאַמפלעט
booking_office
אַרמעע
store
film_production	Media (Radio/ Film/TV)
employer
cabaret
state_institution
political_circle
congress
resort
periodical	Journals/ Newspapers
state_government
foundation
tavern
film publisher	Media (Radio/ Film/TV)
cinema	Media (Radio/ Film/TV)
religious court
communal office
conference
כאָר	Musical organization
production
קהילה
insurance_agency
דראָמאָטישער סעקציע
בינע
synagogue choir
embassy
photographer
יוניע
city council
זשורנאַל
theatre/restaurant
literary collection
colony
church	Religious institutions/organizations
establishment
lodge
variety theater
union drama circle
media	Media (Radio/ Film/TV)
ליטעראַריש-דראַמאַטישע געזעלשאַפט
קרוזשאָק
ליטעראַרישע געזעלשאַפט
דראַמאַ גילד
דראַמאַטישע געזעלשאַפט
cultural society
radio stations
union branch
division
medical institution
home
