_ - chunk_number	Archive	File	_ - xml:id	_ - heading	_ - span	_ - entry	_ - credit	_ - subheading	_ - organizations - _ - org_type	_ - organizations - _ - title	clustered organization	_ - organizations - _ - descriptive_name	_ - organizations - _ - relations - _ - category	_ - organizations - _ - relations - _ - specific_relation	_ - organizations - _ - relations - _ - original_sentence	_ - organizations - _ - relations - _ - role_title	_ - organizations - _ - relations - _ - date_start - date	_ - organizations - _ - relations - _ - date_end - date	_ - organizations - _ - locations - _ - settlement	_ - organizations - _ - locations - _ - Venue	_ - organizations - _ - locations - _ - country	_ - organizations - _ - locations - _ - province	_ - organizations - _ - locations - _ - address	_ - organizations - _ - locations - _ - datefrom - date	_ - organizations - _ - locations - _ - dateto - date	_ - organizations - _ - founding_date - date	_ - endnotes - endnotes	_ - family_background - _ - description	_ - family_background - _ - financial	_ - family_background - _ - religion	_ - family_background - _ - theater_connection	_ - family_background - _ - structure	name_type	confidence	review_flag	review_stratum	review_stratum_desc	reviewer_correct	reviewer_suggested_type	reviewer_notes
26	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_31_tr_1756359777	פֿיליב, שמואל	6183-6183	"לויט אַ קאָרעספּאָנדענץ (לויט א. ר. מלאכי — געשריבן פֿון דר. מרדכי ערענפּרייז אָדער פֿון רב-הכולל פֿון דרום אפריקע, דר. יהודה לייב לאַנדאָ) איז אין סוף אַכציקער יאָרן פֿון פיי אויפֿגעפֿירט געוואָרן אין לעמבערגער יידישן טעאַטער פ'ס פּיעסע „שמשון הגבור"". אין דער קאָרעספּאָנדענץ, וואָס איז געווידמעט דעם באַזוך פֿון אַברהם גאָלדפאָדן אין לעמבערג, ווערט שאַרף קריטיקירט די פּיעסע: ״...דער זשאַרגאָנישער טעאַטער בכלל — וואָס אויך אונדזער שטאָט איז אין דריי יאָר באַגליקט מיט אים — קאָן זייער אַ סך אויפטאָן צו בילדן די מאַסע און דערוועקן דעם נאַציאָנאַלן גייסט נאָך אונדזער באַנעס נאָך, ווען די דירעקטאָרן, די אַקטיאָרן און די זינגער וואָלטן זייער אויפגאָבע פאַרשטאַנען און עס וואָלט געווען אַ בלאַט, וואָס זאָל זיי קריטיקירן און אויפווייזן זיי זייערע נאַרישקייטן; ווען עס וואָלט אַזאַ צייטונג דאָ עקזיסטירט, וואָלט זיי געהאָלטן אין איין שרייען, אַז אַ חוץ בדחנות און ווילגאָרע געשמאָקלאָזע לידער זיינען פאַרן עולם אויך נייטיק דראַמעס, וואָס זאָלן אים ווייזן דעם וועג אין וועלכן ער זאָל גיין, וואָס זאָל אים שילדערן זיין לעבן פֿון אַמאָל און פֿון איצט, וואָס זאָל אים לערנען און דערציען. אַז עס איז ניט נייטיק פֿאַר אַ פאָלקס-דיכטער און אַ שרייבער פאַרן טעאַטער, אַז ער זאָל אויך זיין אַן אַלטערטימערפאַרשער און שרייבן ״שמשון הגבור“ נאָך די נייעסטע אַרכעאָלאַגישע פֿאַרשונגען, וואָס אין דער פּיעסע זאָל ער צונויפפאָרן דורך אַ מעקלער צוויי נפֿשות איידער איינע האָט זיך מיט דער צווייטער געזען (דאָס איז אויך נאָך נייעסטע פאַרשונגען פֿון שמואל פֿיליבס אוניווערזיטעט). נאָר ער מוז צו אָלעס ערשטן זיין אַ דיכטער, ער מוז קענען דאָס פאָלק, זיין אַנטוויקלונג, זיינע באַדערפענישן און וויסן וואָס אים פעלט-. א. ר. מלאַכי באַמערקט דערצו: „דער פיליב, וואָס ווערט געבראַכט ווי אַ מחבר פֿון פּיעסעס, איז מעגלעך שמואל משה פֿיליב, וועלכער האָט זיך באַטייליקט אין דער גרינדונג פֿון דעם יאָרבוך „אוצר הספרות“, וואָס שאַלתיאַלאייזיק גרעבער האָט אין 1887 גענומען אַרויסגעבן, און דער מחבר פון ""בית הבחירה"", אַן אויסגאָבע פֿון יהודה הלויס שירים""."			theatre	לעמבערגער יידישן טעאַטער	לעמבערגער יידישן טעאַטער		Production_Distribution	produced_by	אויפֿגעפֿירט געוואָרן אין לעמבערגער יידישן טעאַטער פ'ס פּיעסע „שמשון הגבור“		188		לעמבערג	לעמבערגער יידישן טעאַטער							א. ר. מלאַכי — גאָלדפֿאַדן-מאַטעריאָלן, „הונדערט יאָר גאָלדפֿאַדן“, ניו יאָרק, זז. 80-81.						proper_name	medium		S2	proper_name + medium confidence			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_20_tr_1752653056	פּאַטאַשינסקי, משה	1618-1618				troupe	ליבהאָבער-קרייז פֿאַרן בעסערן רעפּערטואר	ליבהאָבער-קרייז פֿאַרן בעסערן רעפּערטואר		Leadership_Ownership	founder	צוזאַמען מיט חברים געגרינדעט אין בענדין אַ ליבהאָבער-קרייז פֿאַרן בעסערן רעפּערטואר		1921		בענדין														proper_name	high		S1	proper_name + high confidence			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_28_tr_1752653013	פּאָלאַנד, טאַניאַ	1634-1634								Employment_Performance	performer	3 סעזאָנען אין „ליריק טעאַטער“ (דירעקציע זאַקס)																		ambiguous	low		S6	ambiguous + low, has context			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_29_tr_1752653013	פּאָלאַקעוויטש, משה	1635-1635				troupe	זשיטאָמירסקי	זשיטאָמירסקי	טרופּע	Employment_Performance	performer	דערנאָך שפּילט ער אַלס פֿאָטער-ראָליסט אין די טרופּעס פֿון זשיטאָמירסקי	פֿאָטער-ראָליסט																	proper_name	high	person_ref	S1	proper_name + high confidence			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_36_tr_1752653027	פּאַפאַק, ה.	1649-1649				theatre	קאַמינסקי טעאַטער	קאַמינסקי-טעאַטער		Production_Distribution	produced_by	"אין 1931 האָט זיגמונט טורקאָוו אויפֿגעפֿירט אין וואַרשעווער „קאַמינסקי טעאַטער"""		1931		וואַרשע	קאַמינסקי טעאַטער				1931									proper_name	high		S1	proper_name + high confidence			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_36_tr_1752653032	פֿאָפּער, דוד	1649-1649				school			שול	Education_Formation	student	געלערנט אין ... שול																		descriptive_term	high		S4	descriptive_term + high, no title			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_92_r	פּינסקי, דוד	1762-1806																						"ל. קרישטאָל — „דער לעצטער סך הכל"" אין „אונזער טעאַטער“, „פא""ש״, נ. י., 6 פעבר. 1925."						not_an_organization	high		NOT	not_an_organization spot-check			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_147_tr_1754213832	פריזאַמענט, יעקב	1872-1872								Production_Distribution	produced_by	די אַלע דערמאָנטע פּיעסן זיינען געששפּילט געוואָרן אויף דער לעמבערגער יידישער בינע																		ambiguous	low		S6	ambiguous + low, has context			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_160_tr_1755156219	פרץ, יצחק לייבוש	1898, 1899, 1900, 1901, 1902, 1903, 1904, 1905, 1906, 1907, 1908, 1909, 1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1955, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1970, 1971, 1975, 1973, 197, 1975, 1976, 1977, 1978, 1979, 1980, 1982, 1983, 1984, 61, 1986, 1987, 1988, 1989, 1990, 1091, 1992, 1893, 1994, 1995, 1996, 187, 1998, 1998, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, פואב, 2010, 2011, 2012, 3013, 2014, 2015, 2016, 2017, 2018, 3010, 2020, 2021, בו, 2033, 2024, 2025, 2020, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2038, 2040, 2041, 2042, 2043, 2044, 2045, 2047, 2048, 4, 2050, 2051, 11, 2053, 2054, 2055, 2056, 3057, 2058, 2059, 2060, 2081, 66, 2063, 2064, 3855, 2066, 2067, 2068, 2069, 2070, 2071, 2072, 2073, 2074, 2075, 2076																						דר. יעקב שאצקי — פרץ אין דער וועלט-ליטעראַטור, „קולטור און דערציאונג, נ. י. אַפּריל 1945						not_an_organization	high		NOT	not_an_organization spot-check			
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_250_r	"שמ""ר [שייקעוויטש. נחום מאיר]"	2077, 207, 2079, 2080, 2081, 2082, 83, 2084, 208, אי, 2087, 2088, 2089, 2090, 209, 2092, 2093, 2094, 2095, 2096, 2097, 2098, 2099, 2100, 2101, 2102, 2103																						"אָב. קאַהאַן — דער אידישער טעאַטער פֿאַר 30 יאָהרען און היינט, „פאַרוו."", נ. י., 24 אַפּריל 1927."						not_an_organization	high		NOT	not_an_organization spot-check			
