_ - chunk_number	Archive	File	_ - xml:id	_ - heading	_ - span	_ - entry	_ - credit	_ - subheading	_ - organizations - _ - org_type	_ - organizations - _ - title	clustered organization	_ - organizations - _ - descriptive_name	_ - organizations - _ - relations - _ - category	_ - organizations - _ - relations - _ - specific_relation	_ - organizations - _ - relations - _ - original_sentence	_ - organizations - _ - relations - _ - role_title	_ - organizations - _ - relations - _ - date_start - date	_ - organizations - _ - relations - _ - date_end - date	_ - organizations - _ - locations - _ - settlement	_ - organizations - _ - locations - _ - Venue	_ - organizations - _ - locations - _ - country	_ - organizations - _ - locations - _ - province	_ - organizations - _ - locations - _ - address	_ - organizations - _ - locations - _ - datefrom - date	_ - organizations - _ - locations - _ - dateto - date	_ - organizations - _ - founding_date - date	_ - endnotes - endnotes	_ - family_background - _ - description	_ - family_background - _ - financial	_ - family_background - _ - religion	_ - family_background - _ - theater_connection	_ - family_background - _ - structure	name_type	confidence	review_flag	reviewer_is_person_ref	reviewer_suggested_type	reviewer_org_candidate	reviewer_notes
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_14_r_5	ציפקוס יעקב [יעקב זיידל ציפּעס]	6147-6149				troupe	גאַרטענשטיין	גאַרטענשטיין		Employment_Performance	performer	1881 מיט גאַרטענשטיין		1881																proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_34_tr_1756359795	איצקאָוויטש, סאָניאַ	6190-6190				troupe	ראָטשטיין	ראָטשטיין	טרופּע	Employment_Performance	performer	געשפּילט אין די טרופּעס פֿון... ראָטשטיין	אַרטיסטקע, זינגערין																	proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_29_tr_1752653013	פּאָלאַקעוויטש, משה	1635-1635				troupe	זשיטאָמירסקי	זשיטאָמירסקי	טרופּע	Employment_Performance	performer	דערנאָך שפּילט ער אַלס פֿאָטער-ראָליסט אין די טרופּעס פֿון זשיטאָמירסקי	פֿאָטער-ראָליסט																	proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_115_tr_1753726022	פּיעקאַרניק, יעקב	1808-1808				troupe	גאָלדענבערג	גאָלדענבערג		Employment_Performance	performer	אין בוקאַרעשט ביי גאָלדענבערג				בוקאַרעשט		רומעניע												proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_115_r	פּיעקאַרניק, רוזשאַ (טאַרקעוויטש]	1808-1808				troupe			ביי זשיטאָמירסקי	Employment_Performance	performer	דערנאָך ביי זשיטאָמירסקי																		descriptive_term	medium	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_146_tr_1754213821	פּראַנד יוליוס	1870-1870				troupe	געברידער שטיין	געברידער שטיין	געזאַנג-קוואַרטעט	Employment_Performance	performer	אַריינגענומען געוואָרן אין געזאַנג-קוואַרטעט „געברידער שטיין“																		proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_311_tr_1755975320	פֿאַוויך אַליעזר	2200-2201				school	ישיבה אין לעמבערג	ישיבה אין לעמבערג		Education_Formation	student	אָדער אין לעמבערג	תלמיד			לעמבערג								ז. רייזען — צו דער געשיכטע פֿון דער יידישער השכלה-ליטעראַטור, „ייוואָבלעטער“, ווילנע, מערץ, 1931, זז. 201-200.						proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_315_tr_1756044900	פֿאָדערמאַן, אַנדזשאַ	2208-2208				troupe	קאַמינסקי	קאַמינסקי	די טרופּעס פֿון קאַמינסקי	Employment_Performance	performer	וואו זי שפּילט יאָרן-לאַנג אין די טרופּעס פֿון קאַמינסקי	אַקטיאָר			לאָדזש		פּוילן												proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	Volume_3IIIorg.json	facs_315_tr_1756044900	פֿאָדערמאַן, אַנדזשאַ	2208-2208				troupe	זאַנדבערג	זאַנדבערג	די טרופּעס פֿון זאַנדבערג	Employment_Performance	performer	וואו זי שפּילט יאָרן-לאַנג אין די טרופּעס פֿון... זאַנדבערג	אַקטיאָר			לאָדזש		פּוילן												proper_name	high	person_ref				
	drive-download-20260308T052916Z-1-001.zip	volume6IIIorg.json	facs_133_tr_1747825075	פֿיינבערג יאָזעף	5099-5100				troupe	די געברידער פֿיינבערג	די געברידער פֿיינבערג	די פֿירמע געברידער פֿיינבערג	Leadership_Ownership	founder	האָבן זיי זיך אַליין פראָקלאַמירט ווי אַ פֿירמע און ניט דערלאָזן, אַז יידיש טעאַטער אין לאָנדאָן זאָל עקזיסטירן אָן זיי	פירמע			לאָנדאָן		ענגלאַנד												proper_name	high	person_ref				
