settlement_raw	mention_count
בראַנקס	47
וואַרשעווער געטאָ	26
וואַרשעווער	15
באַקו	14
אַמעריקע	11
וויליאַמסבורג	9
וויניפּעג	9
ליבאַווע	8
מינכען	8
מעקסיקאָ	8
ניקאָלאַיעוו	7
פּאָלטאָווע	7
האָמעל	7
וואַרשאַ	7
אָמעריקע	7
בראַנזווייל	6
מעץ	6
בראנקס	6
וואַרשא	6
פּאָלטאַווע	6
לאָדז	6
מילוואַקיי	6
באָקו	5
מעליטאָפּאָל	5
אַנטווערפן	5
פּראָווינץ	5
בראָנקס	5
בערן	5
אמעריקע	5
מאָהילעוו	4
האַרלעם	4
וולאַצלאַוועק	4
וואַשינגטאָן	4
לאָדזשער געטאָ	4
בראָנסקער	4
וואַרשאָ	4
אָרץ-ישראל	4
אַמעריקע	4
כאָסטאָן	4
האָרלעם	4
אָרגענטינע	3
פּאָלטאָוואָ	3
בראַנקסער	3
טשעלסי	3
מינכן	3
קליוולענד	3
וואָלאָזשין	3
האַמעל	3
בענדער	3
לידע	3
האַוואַנאַ	3
ל. א.	3
סאַנדאמיר	3
רוסלאַנד און בעסאַראַביע	3
ביעלאָצערקאָוו	3
טיפליס	3
לאָמזשע	3
טאַרנאָוו	3
פּאָלטאָוואַ	3
דניעפּראָפּיעטראָווסק	3
ראָסטאָוו	3
לויוויטש	3
מאַריענבאַד	3
ווילנער געטאָ	3
לוד	3
האַמבורג	3
קאַאייראָ	3
דרום-אפריקע	3
יאָס'	3
ב. א.	3
מלאַווע	3
בראָנזווייל	2
סאָסאָוו	2
בעסאַראַביע	2
טאָמסק	2
קוטנע	2
אַרגענטינע	2
זשענעווע	2
גאָלדינגען	2
זשאָלקיעוו	2
האָליוואוד	2
דרעזדען	2
סאָכאַטשאָוו	2
וולאָצלאַוועק	2
מונקאָטש	2
ליסאַבאָן	2
ביראָבידזשאַן	2
מאַקאַראָוו	2
לידז	2
פּאָדהייצע	2
פּאָניאַטאָוו	2
קראָקעוו	2
אַסכאַבאַד	2
שעדלעץ	2
לעמבער	2
פּוילישער פּראָווינץ	2
ריגער געטאָ	2
באַזעל	2
פּעטערסבורג	2
האָמל	2
שאַוול	2
אַנטווערפּן	2
אָדעסע	2
אַטלאַנטאָ	2
פּיאַטריקאָוו	2
