_ - chunk_number	Archive	File	_ - xml:id	_ - heading	_ - span	_ - entry	_ - credit	_ - subheading	_ - organizations - _ - org_type	_ - organizations - _ - title	clustered organization	_ - organizations - _ - descriptive_name	_ - organizations - _ - relations - _ - category	_ - organizations - _ - relations - _ - specific_relation	_ - organizations - _ - relations - _ - original_sentence	_ - organizations - _ - relations - _ - role_title	_ - organizations - _ - relations - _ - date_start - date	_ - organizations - _ - relations - _ - date_end - date	_ - organizations - _ - locations - _ - settlement	_ - organizations - _ - locations - _ - Venue	_ - organizations - _ - locations - _ - country	_ - organizations - _ - locations - _ - province	_ - organizations - _ - locations - _ - address	_ - organizations - _ - locations - _ - datefrom - date	_ - organizations - _ - locations - _ - dateto - date	_ - organizations - _ - founding_date - date	_ - endnotes - endnotes	_ - family_background - _ - description	_ - family_background - _ - financial	_ - family_background - _ - religion	_ - family_background - _ - theater_connection	_ - family_background - _ - structure
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_8_r_3	כענקין, וויקטאָר (וולאַדימיר)	1133-6136								Leadership_Ownership	owner_manager	וואָס איז מיט זיין איניציאַטיוו געגרינדעט געוואָרן אין פּאַריז	אָנפירער																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_10_r_5	קאָפלער-לעמקאָוו [יעקב?]	6139-6139								Employment_Performance	performer	לויט ב. פישמאַן האָט ער זיך אויף דער ענגלישער בינע גערופן דזשעק ריינהאָלץ און פלעגט שפּילן אינטריגאַנטן-ראָלן	דזשעק ריינהאָלץ																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_10_tr_1756280321	קאָפּעלמאַן, יאָסעף	6139-6139														אָדעס					1912								
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_10_r_7	קאָפּעלמאַן, סאָניע [יאָפע]	6140-6140														מאָסקווע					1922	1923							
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_10_r_7	קאָפּעלמאַן, סאָניע [יאָפע]	6140-6140								Employment_Performance	performer	זון זי שפּילט 7 יאָר. דאָ ווערט זיי די פירנדיקע אַקטעריסע אין דעם אַנסאַמבל	די פירנדיקע אַקטעריסע	1933	1940														
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_11_tr_1756280381	בערענזאָן, מ.	6141-6141								Leadership_Ownership	executive	די אַמאַטאָרן-גרופּע מיט וועלכער מר. בערענסאָן האָט אָנגעפירט, האָט אַ צייט-לאַנג געהאַט אַ פּרעזידיום, וואָס איז באַשטאַנען פֿון ראָביי פֿרידמאַן און מר. מייזל	פּרעזידיום																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_11_tr_1756280381	בערענזאָן, מ.	6141-6141								Employment_Performance	artistic_staff	אין מוזיקאַלישן טייל רעוורענד גראָכאָווסקי	מוזיקאַלישן טייל																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_11_tr_1756280381	בערענזאָן, מ.	6141-6141								Affiliation_Membership	member	די אַקטיווסטע מיטגלידער זיינען געווען די פרויען — בערענסאָן, גאָטליב און מעקיי און די מענער — בערענסאָן, טוי, בלאַנק, עפּשטיין און גראָכאָווסקי.	אַקטיווסטע מיטגלידער																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_11_r_2	ביעלאָגלאָווסקי, חיים [דוד בעלקין]	6142-6142								Employment_Performance	performer	געווען אין דער טרופע 8 יאָר																	
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_14_tr_1756389602	צייזל, הענריק	6147-6147								Education_Formation	graduate	נאָכן פֿאַרענדיקן דעם אינסטיטוט																	
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_14_r_5	ציפקוס יעקב [יעקב זיידל ציפּעס]	6147-6149								Leadership_Ownership	executive	געוואָרן פֿאַרוואָלטער	פֿאַרוואָלטער																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_15_r_3	ציפקוס, אַנעטאָ [איטע פּויגעל]	6150-6150								Employment_Performance	performer	טרעט זיי ווידער אַריין אין יידל גאָלדפאַדנס טרופּע																	
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_15_r_3	ציפקוס, אַנעטאָ [איטע פּויגעל]	6150-6150								Employment_Performance	performer	געשפּילט מיטן גרעסטן דערפֿאָלג	סטאָר																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_15_r_3	ציפקוס, אַנעטאָ [איטע פּויגעל]	6150-6150																פּוילן											
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_17_tr_1756390458	"""באַלאַגאַניידען"""	6154-6154								Leadership_Ownership	founder	שאַפן פונם ניי אַ מיניאַטור-טעאַטער																	
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_17_tr_1756390458	"""באַלאַגאַניידען"""	6154-6154								Employment_Performance	performer	אסתר גריבער איז דאָרט אויפֿגעטראָטן און זיך ספּעציעל אויסגעצייכנט אַלס רעציטאַטאָרין	רעציטאַטאָרין																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_17_tr_1756390458	"""באַלאַגאַניידען"""	6154-6154								Employment_Performance	performer	די הויפּט שוישפּילער געווען: יואל בערגמאַן, דוד בירנבוים. מאַשע פעטערמאַן.	הויפּט שוישפּילער																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_17_tr_1756390458	"""באַלאַגאַניידען"""	6154-6154								Employment_Performance	performer	איינע פֿון זיי איז געווען די גאָר יונגעטשקע חיהלע שיפּער	שוישפּילער																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_17_tr_1756390458	"""באַלאַגאַניידען"""	6154-6154								Leadership_Ownership	artistic_staff	בראָדערזאָן אַנטדעקט נייע קרעפטן																	
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_18_tr_1756799204	גוזיק, יעקב	6155-6156																אוקראינע											
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_19_r	"„הכל הבל"""	6159-6159								Employment_Performance	performer	זייער קינסטלערישער פאַרמעסט ביים ליאָלקע-טעאַטער אויף יידיש				ראָזאַריע													
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_19_r_7	זשיטניצקי, ל. [פּנחס-אַליעזר]	6160-6162								Leadership_Ownership	executive	אַ מיטרעדאַקטאָר, דערנאָך שער-רעדאַקטאָר	מיטרעדאַקטאָר, דערנאָך שער-רעדאַקטאָר																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_19_r_7	זשיטניצקי, ל. [פּנחס-אַליעזר]	6160-6162								Employment_Performance	artistic_staff	דר. ל. זשיטניצקי אַלס מיט-רעדאַקאָר פון „די פרעסע״ איז געוואָרן איר אָפיציעלער טעאַטער-רעצענזענט	אָפיציעלער טעאַטער-רעצענזענט																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_24_r_5	אלטמאן, חיים [היימאן]	6169-6169								Employment_Performance	performer	געווען אַ משורך ביי יאַנקעלע דער הייזעריקער אין ביעלאָ צערקאָוו	משורך																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_24_r_5	אלטמאן, חיים [היימאן]	6169-6169								Employment_Performance	artistic_staff	שטודירט איין דעם כאָר	כאָר לערער																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_24_tr_1756894820	צוקערמאַן, איזידאָר	6170-6170								Leadership_Ownership	owner_manager	נאָר אויך געשעפטספֿירער פֿון אַ יידישער טרופּע, ביז 1925	געשעפטספֿירער		1925														
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_28_r_6	אלוני, סעם (שמואל קאָפּעלבוים)	6179-6179								Employment_Performance	artistic_staff	"א. איז אויך דער געהילף-רעזשיסער פֿון דער ""יידישע בינע"""	געהילף-רעזשיסער																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_30_r_7	צוקערמאַן, מינדל [שנאַפּ]	6182-6182								Employment_Performance	artistic_staff	"צ. האָט געגעבן גאָלדפֿאַדענען די מעלאָדיע צום ליד „פאַסטוכל' אין „שולמית""."												בערטאַ קאַליש — זכרונות, „טאָג“, נ. י., 4 יוני 1925	געווען אַ יתומה, אָן אַ מאַמען				orphan
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_30_r_7	צוקערמאַן, מינדל [שנאַפּ]	6182-6182								Employment_Performance	performer	צ. איז געווען די ערשטע „מירעלע“ אין גאָלדפֿאָדנס „כישופמאַכערין“	מירעלע																
	drive-download-20260308T052916Z-1-001.zip	volume7IIIorg.json	facs_30_r_7	צוקערמאַן, מינדל [שנאַפּ]	6182-6182								Employment_Performance	performer	צ. איז געווען אַ זינגערין, און פֿאַרלירנדיק איר שטים, האָט זיי דעריבער געמוזט שפּילן נאָר קליינע ראָלן שוין אין רומעניע.	זינגערין																
