cluster_id	decision	reason_or_nation	city_qid	city_label	n_rows	name	group_key	merged	target_cluster_id	target_canonical
ORG-C02849_Q05	CITY			Baku	5	יידישן מלוכה-טעאַטער	CITY::Baku			
ORG-C00308	CITY			Birobidzhan	3	ביראָ ביאָזשאַנער יידישן מלוכה-טעאַטער	CITY::Birobidzhan	YES	ORG-C00308	ביראָ ביאָזשאַנער יידישן מלוכה-טעאַטער
ORG-C01857	CITY			Birobidzhan	1	ביראָבידזשאַנער יידישער מלוכה-טעאַטער	CITY::Birobidzhan	YES	ORG-C00308	ביראָ ביאָזשאַנער יידישן מלוכה-טעאַטער
ORG-C02849_Q18	CITY			Birobidzhan	1	יידישן מלוכה-טעאַטער אין ביראָבידזשאָן	CITY::Birobidzhan	YES	ORG-C00308	ביראָ ביאָזשאַנער יידישן מלוכה-טעאַטער
ORG-C00609	CITY		Q156713	Zhytomyr	5	זשיטאָמירער יידישן מלוכה-טעאַטער	CITY::Q156713	YES	ORG-C00609	זשיטאָמירער יידישן מלוכה-טעאַטער
ORG-C03725	CITY		Q156713	Zhytomyr	1	„געגנטלעכן יידישן מלוכה טעאַטער אויפֿן נאָמען פֿון שלום-עליכם ביים זשיטאָמירער געגנטלעכן אָפּטייל פֿאַר קונסט“	CITY::Q156713	YES	ORG-C00609	זשיטאָמירער יידישן מלוכה-טעאַטער
ORG-C01567_Q02	CITY		Q156724	Kremenchuk	1	מלוכה-טעאַטער	CITY::Q156724			
ORG-C02849_Q13	CITY		Q156743	Ternopil	1	יידישן מלוכה-טעאַטער	CITY::Q156743			
ORG-C02342	CITY		Q157144	Vinnytsia	1	וויניצער יידישן מלוכהשן טעאַטער	CITY::Q157144	YES	ORG-C03693	וויניצער זשיטאָמירער יידישן מלוכה-טעאַטער
ORG-C03447	CITY		Q157144	Vinnytsia	1	וויניצער יידישן מלוכה-טעאַטער	CITY::Q157144	YES	ORG-C03693	וויניצער זשיטאָמירער יידישן מלוכה-טעאַטער
ORG-C03693	CITY		Q157144	Vinnytsia	10	וויניצער זשיטאָמירער יידישן מלוכה-טעאַטער	CITY::Q157144	YES	ORG-C03693	וויניצער זשיטאָמירער יידישן מלוכה-טעאַטער
ORG-C03200	CITY		Q157725	Chernivtsi	2	טשערנאָוויצער יידישן מלוכה טעאַטער	CITY::Q157725	YES	ORG-C03200	טשערנאָוויצער יידישן מלוכה טעאַטער
ORG-C03608	CITY		Q157725	Chernivtsi	1	טשערנאָוויצער יידישער מלוכה-טעאַטער	CITY::Q157725	YES	ORG-C03200	טשערנאָוויצער יידישן מלוכה טעאַטער
ORG-C02849_Q14	CITY		Q158799	Berdychiv	1	יידישן מלוכה-טעאַטער	CITY::Q158799			
ORG-C01567_Q03	CITY		Q170996	Galați	1	מלוכה-טעאַטער אין גאַלאַץ	CITY::Q170996			
ORG-C01943	CITY		Q1773	Riga	1	ריגער מלוכה-טעאַטער	CITY::Q1773	YES	ORG-C01943	ריגער מלוכה-טעאַטער
ORG-C02849_Q15	CITY		Q1773	Riga	1	יידישן מלוכה-טעאַטער	CITY::Q1773	YES	ORG-C01943	ריגער מלוכה-טעאַטער
ORG-C03222	CITY		Q1773	Riga	1	נייער יידישער מלוכה-טעאַטער	CITY::Q1773	YES	ORG-C01943	ריגער מלוכה-טעאַטער
ORG-C05024	CITY		Q1773	Riga	1	ריגער יידישן מלוכה-טעאַטער	CITY::Q1773	YES	ORG-C01943	ריגער מלוכה-טעאַטער
