db_id	status	final_tags	reviewer	reviewed_at
35	reviewed	Not a Troupe	Ruthie	2026-09-15T13:28:56Z
40	reviewed	Impresario Company	Ruthie	2026-08-20T07:59:41Z
127	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
153	reviewed	Impresario Company | Operetta / Opera Company	Ruthie	2026-08-09T09:05:21Z
179	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
180	reviewed	Impresario Company | Star Company	Ruthie	2026-07-21T20:13:23Z
181	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
187	reviewed	Impresario Company | Operetta / Opera Company	Ruthie	2026-09-15T13:28:56Z
194	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
196	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
199	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
205	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
207	reviewed	Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
211	reviewed	Impresario Company | Family Company	Ruthie	2026-09-15T13:28:56Z
214	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
233	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
240	reviewed	Family Company | Operetta / Opera Company | Star Company	Ruthie	2026-09-15T13:28:56Z
241	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
242	reviewed	Impresario Company | Star Company | Operetta / Opera Company	Ruthie	2026-09-15T13:28:56Z
243	reviewed	Impresario Company | Star Company | Operetta / Opera Company	Ruthie	2026-09-15T13:28:56Z
244	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T08:04:10Z
245	reviewed	Impresario Company | Ad Hoc Company	Ruthie	2026-08-02T09:41:23Z
254	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
255	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
258	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
259	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
262	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
266	reviewed	Cooperative Company | Hebrew-Language Company	Ruthie	2026-09-15T13:28:56Z
283	reviewed	Operetta / Opera Company | Impresario Company	Ruthie	2026-07-21T06:40:17Z
285	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
288	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
289	reviewed	Star Company | Impresario Company	Ruthie	2026-07-26T06:48:31Z
290	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
291	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
292	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
293	reviewed	Impresario Company | Ad Hoc Company	Ruthie	2026-09-15T13:28:56Z
294	reviewed	Star Company | Kleinkunst / Revue / Cabaret Company	Ruthie	2026-09-15T13:28:56Z
295	reviewed	Star Company | Operetta / Opera Company	Ruthie	2026-09-15T13:28:56Z
297	reviewed	Impresario Company | Family Company | Star Company	Ruthie	2026-07-26T06:23:12Z
298	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
299	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
300	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
303	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
304	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T08:14:55Z
305	reviewed	Impresario Company	Ruthie	2026-08-09T06:42:03Z
309	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
311	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
312	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
314	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
317	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
327	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
329	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T08:15:16Z
331	reviewed	Children's Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
333	reviewed	Star Company	Ruthie	2026-09-15T13:28:56Z
334	reviewed	Impresario Company | Kleinkunst / Revue / Cabaret Company	Ruthie	2026-09-15T13:28:56Z
335	reviewed	Ad Hoc Company | Kleinkunst / Revue / Cabaret Company | Impresario Company	Ruthie	2026-08-20T08:16:03Z
336	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
340	reviewed	Impresario Company | Star Company	Ruthie	2026-09-15T13:28:56Z
341	reviewed	Impresario Company | Institutional Company	Ruthie	2026-09-15T13:28:56Z
342	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
343	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
355	reviewed	Operetta / Opera Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
366	reviewed	Star Company | Impresario Company	Ruthie	2026-09-15T13:28:56Z
367	reviewed	Impresario Company	Ruthie	2026-09-15T13:28:56Z
370	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-07-26T06:18:35Z
372	reviewed	Ad Hoc Company | Impresario Company | German-Jewish Company	Ruthie	2026-09-15T13:28:56Z
374	reviewed	Ad Hoc Company | Impresario Company	Ruthie	2026-08-20T08:16:16Z
375	reviewed	Impresario Company | Ad Hoc Company | German-Jewish Company	Ruthie	2026-07-23T09:02:58Z
