db_id	tags	other_tags	comment	reviewer_notes	reviewer	reviewed_at
839	Impresario Company | Operetta / Opera Company | Star Company				Ruthie	2026-07-21T20:06:37Z
486	Family Company | Impresario Company | Operetta / Opera Company | Star Company				Ruthie	2026-07-21T20:06:46Z
385	Impresario Company | Star Company | Operetta / Opera Company				Ruthie	2026-07-21T20:07:02Z
283	Operetta / Opera Company | Impresario Company				Ruthie	2026-07-21T06:40:17Z
490	Impresario Company | Operetta / Opera Company | Star Company | Family Company				Ruthie	2026-07-21T20:08:29Z
531	Operetta / Opera Company | Ensemble Company				Ruthie	2026-07-21T13:28:41Z
545	Impresario Company				Ruthie	2026-07-21T20:13:04Z
180	Impresario Company				Ruthie	2026-07-21T20:13:23Z
641	Impresario Company				Ruthie	2026-08-09T09:04:50Z
153	Impresario Company | Operetta / Opera Company				Ruthie	2026-08-09T09:05:21Z
375	Impresario Company | Ad Hoc Company | German-Jewish Company				Ruthie	2026-07-23T09:02:58Z
458	Impresario Company				Ruthie	2026-07-23T09:05:53Z
456	Star Company | Ad Hoc Company				Ruthie	2026-08-09T09:07:06Z
809	Family Company | Impresario Company				Ruthie	2026-07-25T13:40:39Z
758	German-Jewish Company | Impresario Company				Ruthie	2026-07-25T13:43:21Z
771	Impresario Company				Ruthie	2026-07-25T13:44:30Z
469	Impresario Company				Ruthie	2026-07-26T06:15:11Z
370	Ad Hoc Company | Impresario Company				Ruthie	2026-07-26T06:18:35Z
596	Impresario Company				Ruthie	2026-07-26T06:20:17Z
759	Impresario Company				Ruthie	2026-07-26T06:21:37Z
297	Impresario Company | Family Company				Ruthie	2026-07-26T06:23:12Z
864	Impresario Company | Family Company | Star Company				Ruthie	2026-07-26T06:23:47Z
533	Impresario Company | Star Company				Ruthie	2026-07-26T06:25:04Z
790	Impresario Company | Star Company				Ruthie	2026-07-26T06:31:06Z
815	Family Company | Impresario Company				Ruthie	2026-07-26T06:32:21Z
578	Impresario Company | Star Company				Ruthie	2026-07-26T06:47:49Z
289	Star Company | Impresario Company				Ruthie	2026-07-26T06:48:31Z
380	Star Company				Ruthie	2026-07-26T06:49:16Z
245	Impresario Company | Ad Hoc Company				Ruthie	2026-08-02T09:41:23Z
427		Not a traveling troupe and not connected to each other			Ruthie	2026-08-09T06:41:32Z
305	Impresario Company				Ruthie	2026-08-09T06:42:03Z
391	Impresario Company			from draft (edit)	Ruthie	2026-08-19T13:23:21Z
435	Operetta / Opera Company | Family Company			from draft (edit)	Ruthie	2026-08-19T13:25:39Z
433	Impresario Company | Family Company			from draft (edit)	Ruthie	2026-08-19T13:27:02Z
468	Children's Company | Impresario Company			from draft (edit)	Ruthie	2026-08-19T13:29:06Z
551	Cooperative Company | Ensemble Company			from draft (edit)	Ruthie	2026-08-19T13:30:22Z
625	Children's Company			from draft (edit)	Ruthie	2026-08-19T13:30:40Z
833	Star Company			from draft (edit)	Ruthie	2026-08-19T13:32:53Z
855	Impresario Company			from draft (edit)	Ruthie	2026-08-19T13:34:29Z
879	Operetta / Opera Company | Impresario Company			from draft (edit)	Ruthie	2026-08-19T13:34:56Z
1035	Operetta / Opera Company | Impresario Company			from draft (edit)	Ruthie	2026-08-19T13:35:36Z
1326	Family Company | Impresario Company			from draft (edit)	Ruthie	2026-08-19T13:35:50Z
1050	Star Company			from draft (edit)	Ruthie	2026-08-19T13:38:10Z
1410	Family Company | Impresario Company			from draft (edit)	Ruthie	2026-08-19T13:38:33Z
1413	Operetta / Opera Company			from draft (edit)	Ruthie	2026-08-19T13:40:11Z
1429	Kleinkunst / Revue / Cabaret Company			from draft (edit)	Ruthie	2026-08-19T13:41:09Z
1433	Children's Company | Impresario Company			from draft (edit)	Ruthie	2026-08-19T13:41:18Z
1443	Operetta / Opera Company | Impresario Company			from draft (edit)	Ruthie	2026-08-19T13:41:22Z
