yiddish	occurrences	suggested_english	suggested_qid	suggested_category	basis	notes
וואַרשעווער געטאָ	23	Warsaw Ghetto	Q160122	ghetto	wikidata_new	sub-city historical site
בראַנקס	15	Bronx	Q18426	neighborhood	wikidata_new	NYC borough
וואַרשעווער	14	Warsaw	Q270	settlement	kimatch_variant	adjectival form
אַמעריקע	11	America	Q30	country	wikidata_new	USA
באַקו	11	Baku	Q9248	settlement	wikidata_new	Azerbaijan
וויניפּעג	9	Winnipeg	Q2096	settlement	wikidata_new	Canada
ליבאַווע	8	Liepāja	Q41159	settlement	wikidata_new	Latvia (Libau)
מעקסיקאָ	8	Mexico City	Q1489	settlement	wikidata_new	ambiguous: also country Q96
מינכען	7	Munich	Q1726	settlement	wikidata_new	Germany
האָמעל	7	Homel	Q66263	settlement	wikidata_new	Belarus variant
ניקאָלאַיעוו	7	Mykolaiv	Q131136	settlement	wikidata_new	Ukraine
אָמעריקע	7	America	Q30	country	wikidata_new	USA
וואַרשאַ	7	Warsaw	Q270	settlement	kimatch_variant	alef-final variant
פּאָלטאָווע	6	Poltava	Q125286	settlement	wikidata_new	Poltava variant
פּאָלטאַווע	6	Poltava	Q125286	settlement	wikidata_new	Poltava variant
מעץ	6	Metz	Q22690	settlement	wikidata_new	France
בראנקס	6	Bronx	Q18426	neighborhood	wikidata_new	NYC borough
מילוואַקיי	6	Milwaukee	Q37836	settlement	wikidata_new	USA
וואַרשא	6	Warsaw	Q270	settlement	kimatch_variant	alef-final variant
באָקו	5	Baku	Q9248	settlement	wikidata_new	Azerbaijan
פּראָווינץ	5	province		region	exclude	generic descriptor
בראַנזווייל	5	Brownsville	Q991279	neighborhood	wikidata_new	Brooklyn variant
לאָדז	5	Łódź	Q580	settlement	kimatch_variant	missing final dash-shin
מעליטאָפּאָל	5	Melitopol	Q156915	settlement	wikidata_new	Ukraine
אַנטווערפן	5	Antwerp	Q12892	settlement	wikidata_new	Belgium
מאָהילעוו	4	Mogilev	Q193581	settlement	wikidata_new	Belarus
אמעריקע	4	America	Q30	country	wikidata_new	USA
בראָנקס	4	Bronx	Q18426	neighborhood	wikidata_new	NYC borough
האַרלעם	4	Harlem	Q41183	neighborhood	wikidata_new	Manhattan variant
כאָסטאָן	4	Boston	Q100	settlement	wikidata_new	USA
וואַרשאָ	4	Warsaw	Q270	settlement	kimatch_variant	alef-final variant
וואַשינגטאָן	4	Washington, D.C.	Q61	settlement	wikidata_new	USA
לאָדזשער געטאָ	4	Łódź Ghetto	Q204540	ghetto	wikidata_new	sub-city historical site
אַמעריקע	4	America	Q30	country	wikidata_new	USA
אָרץ-ישראל	4	Land of Israel	Q23793	region	wikidata_new	Eretz Israel
ב. א.	3	Buenos Aires	Q1486	settlement	kimatch_variant	abbreviation
יאָס'	3	Iași	Q46852	settlement	kimatch_variant	Iași with apostrophe
מלאַווע	3	Mława	Q572394	settlement	wikidata_new	Poland
דניעפּראָפּיעטראָווסק	3	Dnipro	Q43295	settlement	wikidata_new	Ukraine (Dnipropetrovsk)
אָרגענטינע	3	Argentina	Q414	country	wikidata_new	
רוסלאַנד און בעסאַראַביע	3	Russia and Bessarabia		region	exclude	compound region — not a single place
פּאָלטאָוואַ	3	Poltava	Q125286	settlement	wikidata_new	Poltava variant
טאַרנאָוו	3	Tarnów	Q102317	settlement	wikidata_new	Poland
ל. א.	3	Los Angeles	Q65	settlement	wikidata_new	abbreviation
פּאָלטאָוואָ	3	Poltava	Q125286	settlement	wikidata_new	Poltava variant
בראַנקסער	3	Bronx	Q18426	neighborhood	wikidata_new	Bronx adjectival
בראָנסקער	3	Bronx	Q18426	neighborhood	wikidata_new	Bronx adjectival
טשעלסי	3	Chelsea	Q3245	neighborhood	wikidata_new	Manhattan (or London Q207937)
וולאַצלאַוועק	3	Włocławek	Q146521	settlement	wikidata_new	Poland
בענדער	3	Bender	Q200639	settlement	wikidata_new	Moldova (Tighina)
מינכן	3	Munich	Q1726	settlement	wikidata_new	Germany
דרום-אפריקע	3	South Africa	Q258	country	wikidata_new	
קליוולענד	3	Cleveland	Q5083	settlement	wikidata_new	USA
האַמבורג	3	Hamburg	Q1055	settlement	wikidata_new	Germany
האַמעל	3	Homel	Q66263	settlement	wikidata_new	Belarus variant
לידע	3	Lida	Q188317	settlement	wikidata_new	Belarus
האַוואַנאַ	3	Havana	Q1563	settlement	wikidata_new	Cuba
ראָסטאָוו	3	Rostov-on-Don	Q34125	settlement	wikidata_new	Russia
סאַנדאמיר	3	Sandomierz	Q486948	settlement	wikidata_new	Poland
טיפליס	3	Tbilisi	Q994	settlement	wikidata_new	Georgia (Tiflis)
לויוויטש	3	Łowicz	Q372680	settlement	wikidata_new	Poland
מאַריענבאַד	3	Mariánské Lázně	Q183689	settlement	wikidata_new	Czech Republic (Marienbad)
ביעלאָצערקאָוו	3	Bila Tserkva	Q33529	settlement	wikidata_new	Ukraine
קאַאייראָ	3	Cairo	Q85	settlement	wikidata_new	Egypt
בערן	3	Bern	Q70	settlement	wikidata_new	Switzerland
אַנטווערפּען	2	Antwerp	Q12892	settlement	wikidata_new	Belgium
פּעטערסבורג	2	Saint Petersburg	Q656	settlement	wikidata_new	Russia
וולאָצלאַוועק	2	Włocławek	Q146521	settlement	wikidata_new	Poland
קייעוו	2	Kyiv	Q1899	settlement	kimatch_variant	Kiev variant
ניקאָ'אַיעוו	2	Mykolaiv	Q131136	settlement	wikidata_new	Mykolaiv typo
בראָנזווייל	2	Brownsville	Q991279	neighborhood	wikidata_new	Brooklyn variant
כראַנזוויל	2	Brownsville	Q991279	neighborhood	wikidata_new	Brooklyn variant
טאָמסק	2	Tomsk	Q5687	settlement	wikidata_new	Russia
בערדיאָנסק	2	Berdyansk	Q187814	settlement	wikidata_new	Ukraine
וויליאַמסבורג	2	Williamsburg	Q745140	neighborhood	wikidata_new	Brooklyn
פֿילאדעלפֿייע	2	Philadelphia	Q1345	settlement	kimatch_variant	Philadelphia variant
האָרלעם	2	Harlem	Q41183	neighborhood	wikidata_new	Manhattan variant
וואָלאָזשין	2	Valozhyn	Q1144213	settlement	wikidata_new	Belarus
בעסאַראַביע	2	Bessarabia	Q189834	region	wikidata_new	historical
קראָקעוו	2	Kraków	Q31487	settlement	kimatch_variant	Kraków variant
בופֿאָלאָ	2	Buffalo	Q40435	settlement	wikidata_new	USA
