kind	id	city	name_latin	QID	comment
cluster	ORG-C01369	Berlin	Theater auf der Oranienburger Straße		Perhaps connected to the Great Synagogue in the same street
cluster	ORG-C02686	Berlin	Yiddish Art Theatre	Q20769532	Maybe the Yiddish Art Theatre NYC???
cluster	ORG-C03191_Q03	Berlin	Yiddish Art Theatre	Q20769532	Probably the Yiddish Art Theatre NYC/ in Berlin: Vilner Trupe?
cluster	ORG-C05265	Berlin	Yiddish Art Theatre	Q20769532	Maybe the Yiddish Art Theatre NYC/ in Berlin: Vilner Trupe?
cluster	ORG-C05570	Berlin	Deutsches Operettentheater	Q60747679	Probably in Hamburg
cluster	ORG-C05790	Berlin	Deutsches Staatstheater	Q1206014	Maybe in Romania??
cluster	ORG-C06258	Berlin			Probably Victor Barnowsky (Actor, theatre director and theatre manager)
cluster	ORG-C06265	Berlin	Yiddish Art Theatre	Q20769532	Maybe the Yiddish Art Theatre NYC/ in Berlin: Vilner Trupe?
cluster	ORG-C06969	Berlin			Perhaps General Jewish Workers' Union?
cluster	ORG-C01001	Vienna			Der goldene Pfau (poem by Moyshe-Leyb Halpern??)
cluster	ORG-C01573	Vienna			Maybe Godl Kurazh (actor)???
cluster	ORG-C02630	Vienna			Deutsche Theater/ German theatres (probably the big “Assimilation stages”)
cluster	ORG-C05964	Vienna			Jahr nach der Bühne/ year after leaving the stage ???
cluster	ORG-C06365	Vienna			Der goldene Pfau (poem by Moyshe-Leyb Halpern??)
db	321	Vienna	Lit. Dram. Gesellschaft		?????
