cluster_id	city	name_latin	QID	historic_address	current_address	comment	cluster_size	org_type_current	duplicate
ORG-C00190_Q05	Berlin	Volksbühne Berlin	Q617244	Bülowplatz	Rosa-Luxemburg-Platz, 10178 Berlin		1	Theatre	yes
ORG-C00259	Berlin	Komische Oper	Q435831		Friedrichstraße 141, 10117 Berlin		2	Theatre	
ORG-C00515_Q03	Berlin	Thalia-Theater	Q123225708		Dresdener Straße 72–73, 10179 Berlin		3	Theatre	
ORG-C00578_Q02	Berlin					Deutsch-Yiddish	1	Theatre	
ORG-C00858	Berlin	Wintergarten	Q519956		Friedrichstraße 143–149 , 10117 Berlin		1	Theatre	
ORG-C01369	Berlin	Theater auf der Oranienburger Straße				Perhaps connected to the Great Synagogue in the same street	1	Theatre	
ORG-C01387_Q23	Berlin					tr.: Yiddish Theatre in Berlin	3	Theatre	
ORG-C02686	Berlin	Yiddish Art Theatre	Q20769532		189 Second Avenue, New York, NY 10003	Maybe the Yiddish Art Theatre NYC???	2	Theatre	
ORG-C03189	Berlin	Kleinkunstbühne der Berliner Kultusgemeinde			Fasanenstraße 79–80, 10623 Berlin		1	Theatre	
ORG-C03191_Q03	Berlin	Yiddish Art Theatre	Q20769532		189 Second Avenue, New York, NY 10003	Probably the Yiddish Art Theatre NYC/ in Berlin: Vilner Trupe?	1	Theatre	yes
ORG-C03517	Berlin	Theateratelier von Hugo Baruch	Q19962046			Company for theatre sets, stage design and costumes	2	Theatre	
ORG-C03839	Berlin					tr.: Yiddish Theatre in Berlin	2	Theatre	
ORG-C03883	Berlin	Volksbühne Berlin	Q617244	Bülowplatz	Rosa-Luxemburg-Platz, 10178 Berlin		1	Theatre	yes
ORG-C04355	Berlin					Deutsch-Yiddish	1	Theatre	
ORG-C04740	Berlin	Lessingtheater	Q261757		Kapelle-Ufer 1, 10117 Berlin		1	Theatre	yes
ORG-C05044	Berlin	Alexander-Theater	Q47304549		Alexanderstraße 1–3, 10178 Berlin		1	Theatre	yes
ORG-C05049	Berlin	Neues Operettenhaus	Q632381		Bertolt-Brecht-Platz 1, 10117 Berlin		1	Theatre	
ORG-C05265	Berlin	Yiddish Art Theatre	Q20769532		189 Second Avenue, New York, NY 10003	Maybe the Yiddish Art Theatre NYC/ in Berlin: Vilner Trupe?	1	Theatre	yes
ORG-C05541	Berlin	Große Berliner Kunstausstellung	Q18624764		Alt-Moabit 2–10, 10557 Berlin	Art Exhibition	1	Theatre	
ORG-C05570	Berlin	Deutsches Operettentheater	Q60747679		Millerntorplatz, 20359 Hamburg	Probably in Hamburg	1	Theatre	
ORG-C05571	Berlin	Wallner-Theater	Q46632319		Holzmarktstraße 11–14		1	Theatre	
ORG-C05790	Berlin	Deutsches Staatstheater	Q1206014		Strada Mărășești 2, 300086 Timișoara, Romania	Maybe in Romania??	1	Theatre	
ORG-C05791	Berlin	Jiddisches Künstlertheater Azra				unassignable	1	Theatre	
ORG-C06219	Berlin	Colosseum Berlin	Q32651446		Schönhauser Allee 123 10437 Berlin		1	Theatre	
ORG-C06258	Berlin					Probably Victor Barnowsky (Actor, theatre director and theatre manager)	1	Theatre	
ORG-C06259	Berlin					tr.: Municipal Theatre	1	Theatre	
ORG-C06265	Berlin	Yiddish Art Theatre	Q20769532		189 Second Avenue, New York, NY 10003	Maybe the Yiddish Art Theatre NYC/ in Berlin: Vilner Trupe?	2	Theatre	yes
ORG-C06421	Berlin	Lessingtheater	Q261757		Kapelle-Ufer 1, 10117 Berlin		1	Theatre	yes
ORG-C06549	Berlin	Alexander-Theater	Q47304549		Alexanderstraße 1–3, 10178 Berlin		1	Theatre	yes
ORG-C06602	Berlin					Max Reinhardt	1	Theatre	
ORG-C06967	Berlin					The Theatre and Art Studio of Herman, Koyfman, Reynman and Hugo Baruch	1	Theatre	
ORG-C06969	Berlin					Perhaps General Jewish Workers' Union?	1	Theatre	
ORG-C07105	Berlin					Berliner Neue Bühne	1	Theatre	
ORG-C00186	Vienna	Jiddischer dramatischer Kreis Ferdinand Lassalle	Q75784				1	Theatre	
ORG-C00190_Q03	Vienna	Volkstheater Wien	Q688555		Neustiftgasse 1, 1070 Wien		1	Theatre	yes
ORG-C00243	Vienna	Probably Orfeum-Theater/ Budapester Orpheum(-sgesellschaft)	Q1000661	different addresses from 1891-1939			2	Theatre	
ORG-C00555	Vienna	Wiener Freie Jiddische Volksbühne	Q125212717	different addresses from 1919-1930			4	Theatre	yes
ORG-C00596_Q02	Vienna					Jiddisches Dramatisches Theater in Wien/ Yiddish Drama Theatre in Vienna	1	Theatre	
ORG-C00616	Vienna	Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien		1	Theatre	yes
ORG-C00745	Vienna	Rolandbühne	Q22667147		Praterstraße 25, 1020 Wien		3	Theatre	
ORG-C00747	Vienna	Bürgertheater	Q1713589		Vordere Zollamtsstraße 13, 1030 Wien		1	Theatre	yes
ORG-C00899	Vienna					Jiddische Künstler-Spielen/ Yiddish Artists' Plays	1	Theatre	
ORG-C01224_Q01	Vienna	Jüdische Bühne um Schulim Podzamcze			quite long Hotel Stefanie (Taborstraße 12, 1020 Wien)		8	Theatre	
ORG-C01279	Vienna	Teater Reklam					1	Theatre	yes
ORG-C01360	Vienna					Jiddische Künstler-Spielen/ Yiddish Artists' Plays	1	Theatre	
ORG-C01387_Q05	Vienna					Yiddish Theatre	7	Theatre	
ORG-C01573	Vienna					Maybe Godl Kurazh (actor)???	1	Theatre	
ORG-C01929	Vienna	Probaly Moritz Edelhofer (director)??/ Edelhofers Volksorpheum/ Leopoldstädter Orpheum			Rotensterngasse 7a, 1020 Wien		1	Theatre	
ORG-C01946	Vienna	Wiener Kaiserliche Theater/ Burgtheater	Q109377820		Universitätsring 2, 1010 Wien		1	Theatre	
ORG-C01947	Vienna	Wiener Staatsoper	Q209937		Opernring 2, 1010 Wien		1	Theatre	
ORG-C02629	Vienna					Jiddische/ Jüdische Bühne Wien // Yiddish/ Jewish Stage Vienna	1	Theatre	
ORG-C02630	Vienna					Deutsche Theater/ German theatres (probably the big “Assimilation stages”)	1	Theatre	
ORG-C02692	Vienna					Wiener Jiddische Bühne/ Vienna Yiddish Theatre	2	Theatre	
ORG-C02779	Vienna	Teater Reklam					2	Theatre	yes
ORG-C03006	Vienna	Wiener Freie Jiddische Volksbühne	Q125212717	different addresses from 1919-1930			1	Theatre	yes
ORG-C03058	Vienna	Teater Reklam					1	Theatre	yes
ORG-C03060_Q01	Vienna	Astor-Theater Wien			probably Praterstraße 60, 1020 Wien		1	Theatre	
ORG-C03103	Vienna					Jiddisches Künstlerkabarett/ Yiddish artists' cabaret	2	Theatre	
ORG-C03719	Vienna	Probably Wiener Bürgertheater	Q1713589		Vordere Zollamtsstraße 13, 1030 Wien		2	Theatre	yes
ORG-C03999	Vienna	Carltheater	Q877699		Praterstraße 31, 1020 Wien		1	Theatre	yes
ORG-C04060	Vienna	Wiener Freie Jiddische Volksbühne	Q125212717	different addresses from 1919-1930			1	Theatre	yes
ORG-C04301	Vienna	Zum goldenen Widder		Taborstraße 36, 1020 Wien			1	Theatre	yes
ORG-C04830	Vienna	Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien		1	Theatre	yes
ORG-C04850	Vienna	Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien		1	Theatre	yes
ORG-C04853	Vienna	Kammerspiele	Rotenturmstraße 20, 1010 Wien		Rotenturmstraße 20, 1010 Wien		1	Theatre	
ORG-C05107	Vienna	Verein Zion				Zion Association	1	Theatre	
ORG-C05204	Vienna	Bayrische Hof			Taborstraße 39, 1020 Wien		1	Theatre	
ORG-C05218	Vienna	Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien		2	Theatre	yes
ORG-C05581	Vienna					Wiener Jiddische Bühne/ Vienna Yiddish Theatre	1	Theatre	
ORG-C05636	Vienna	Wiener Freie Jiddische Volksbühne	Q125212717	different addresses from 1919-1930			1	Theatre	yes
ORG-C05773	Vienna	Carltheater	Q877699		Praterstraße 31, 1020 Wien		2	Theatre	yes
ORG-C05905	Vienna					Deutsche Café-Concerts/ Singspielhallen// German café-concerts / music halls	1	Theatre	
ORG-C05963	Vienna					Jiddisches Kunsttheater auf Deutsch/ Yiddish Art Theatre in German	1	Theatre	
ORG-C05964	Vienna					Jahr nach der Bühne/ year after leaving the stage ???	1	Theatre	
ORG-C06109	Vienna	Wiener Freie Jiddische Volksbühne	Q125212717	different addresses from 1919-1930			1	Theatre	yes
ORG-C06368	Vienna					Erstes jiddisches festes literarisches Theater/ The first established Yiddish literary theatre	1	Theatre	
ORG-C06390	Vienna	Zum goldenen Widder		Taborstraße 36, 1020 Wien			1	Theatre	yes
ORG-C06397	Vienna	Jiddisches Theater auf der Taborstraße 12/ Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien		1	Theatre	yes
ORG-C06400	Vienna	Teater Reklam					1	Theatre	yes
ORG-C06424	Vienna					Bühne/ stage	1	Theatre	
ORG-C06606	Vienna	Ringtheater	Q441937		Schottenring 7, 1010 Wien		1	Theatre	yes
ORG-C06662	Vienna					Jiddisches Künstlerkabarett/ Yiddish artists' cabaret	2	Theatre	
ORG-C06667	Vienna	Hotel Stefanie	Q1399214		Taborstraße 12, 1020 Wien		1	Theatre	yes
ORG-C07283	Vienna					Professionelles jiddisches literarisches Theater/ Professional Yiddish literary theatre	1	Theatre	
