city	kind	id	org_type	incorrectly classified as theatre or theatre in German-speaking countries	duplicate	name_latin	QID	historic address	current address	comments	name_yiddish_with_translit	name_variants_with_translit	confirmed_settlement	confirmed_address	confirmed_address_romanized	extracted_addresses_with_translit	extracted_venues_with_translit	extracted_countries	cluster_size	decision	aligned_db_id	linked_cluster_ids	linked_db_id	parent_db_id	reviewer_notes	lat	lon
Berlin	cluster	ORG-C00001_Q03	Education								קאָנסערוואַטאָריע [konservatorie]	קאָנסערוואַטאָריע [konservatorie]					קאָנסערוואַטאָריע [konservatorie]		3								
Berlin	cluster	ORG-C00170_Q03	Education								פּאָליטעכניקום [politekhnikum]	פּאָליטעכניקום [politekhnikum]					פּאָליטעכניקום [politekhnikum]		1								
Berlin	cluster	ORG-C00283	Education								אינסטיטוט פֿאַר דייטשער שפּראַך און ליטעראַטור [institut far deytcher shprakh un literatur]	אינסטיטוט פֿאַר דייטשער שפּראַך און ליטעראַטור [institut far deytcher shprakh un literatur]						דייטשלאַנד	1								
Berlin	cluster	ORG-C00442_Q03	Education								ראָבינער-שול (בערלין) [robinershul berlin]	ראָבינער-שול [robinershul]							1						[finalize_qid parenthetical] renamed from 'ראָבינער-שול' for settlement 'בערלין'. Prior notes: Cluster contains Rabbinical schools in distinct cities (Vilna, Zhitomir, Berlin) which are separate historical institutions.		
Berlin	cluster	ORG-C00723	Education								בערלין [berlin]	בערלין [berlin]							1								
Berlin	cluster	ORG-C00921	Education								ד"ר ווילהעלם לעוויס ראָבינער-סעמינאַר [dr vilhelm levis robinerseminar]	ד"ר ווילהעלם לעוויס ראָבינער-סעמינאַר [dr vilhelm levis robinerseminar]						דייטשלאַנד	1								
Berlin	cluster	ORG-C01532	Education								בערלינער אוניווערזיטעט [berliner univerzitet]	בערלינער אוניווערזיטעט [berliner univerzitet]					בערלינער אוניווערזיטעט [berliner univerzitet]	דייטשלאַנד | דייטשלאנד	3	ALIGN	561		561		[auto_aligner] exact name match, score=1.000		
Berlin	cluster	ORG-C01574	Education								מינסטער אוניווערזיטעט [minster univerzitet]	מינסטער אוניווערזיטעט [minster univerzitet]					סטודיע-בינע [studiebine]		1								
Berlin	cluster	ORG-C01920	Education								שטערנס קאָנסערוואַטאָריום [shterns konservatorium]	שטערנס קאָנסערוואַטאָריום [shterns konservatorium]					שטערנס קאָנסערוואַטאָריום [shterns konservatorium]	דייטשלאַנד	1								
Berlin	cluster	ORG-C02438	Education								מאַקס ריינהאָרדס דראַמאַטישער שול [maks reynhords dramatisher shul]	מאַקס ריינהאָרדס דראַמאַטישער שול [maks reynhords dramatisher shul]						דייטשלאַנד	1								
Berlin	cluster	ORG-C03516	Education								קונסט געווערבע שול ביים פּרינץ אַלברעכט מוזיי [kunst geverbe shul beym prints albrekht muzey]	קונסט געווערבע שול ביים פּרינץ אַלברעכט מוזיי [kunst geverbe shul beym prints albrekht muzey] | קונסט געווערע שול ביים פּרינץ אַלברעכט-מוזיי [kunst gevere shul beym prints albrekhtmuzey]					פּרינץ אַלברעכט-מוזיי [prints albrekhtmuzey]		2								
Berlin	cluster	ORG-C03532	Education								הויכשולע דער מוזיק [hoykhshule der muzik]	הויכשולע דער מוזיק [hoykhshule der muzik]						דייטשלאַנד	1								
Berlin	cluster	ORG-C03694_Q02	Education								אוניווערזיטעט [univerzitet]	אוניווערזיטעט [univerzitet] | אוניווערזיטעט אין בערלין [univerzitet in berlin]					אוניווערזיטעט [univerzitet]	דייטשלאַנד	3								
Berlin	cluster	ORG-C05006	Education								לערנאַנשטאַלט פאַר דער וויסנשאַפט פון יודנטום [lernanshtalt far der visnshaft fun yudntum]	לערנאַנשטאַלט פאַר דער וויסנשאַפט פון יודנטום [lernanshtalt far der visnshaft fun yudntum]							1								
Berlin	cluster	ORG-C05439	Education								פריישול [freyshul]	פריישול [freyshul]							1								
Berlin	cluster	ORG-C05788	Education								ריינהאָרדס דראָמאַטישער שול [reynhords dromatisher shul]	ריינהאָרדס דראָמאַטישער שול [reynhords dromatisher shul]						דייטשלאנד	1								
Berlin	cluster	ORG-C05812	Education								אוניווערזיטעט פון בערלין [univerzitet fun berlin]	אוניווערזיטעט פון בערלין [univerzitet fun berlin]							1	ALIGN	561		561				
Berlin	cluster	ORG-C06254	Education								שוישפּילער-שול ביי ריינהאָרטס „דייטשעס טעאַטער“ [shoyshpilershul bey reynhorts deytches teater]	שוישפּילער-שול ביי ריינהאָרטס „דייטשעס טעאַטער“ [shoyshpilershul bey reynhorts deytches teater]					שוישפּילער-שול [shoyshpilershul]		1								
Berlin	cluster	ORG-C04791	Jewish political bodies								אהבת ציון [ahbt tsiun]	אהבת ציון [ahbt tsiun]						דייטשלאַנד	1								
Berlin	cluster	ORG-C00334	Journals/ Newspapers								„מאָסקאָווסקאַיאָ גאָזעטאָ“ [moskovskaio gozeto]	„מאָסקאָווסקאַיאָ גאָזעטאָ“ [moskovskaio gozeto]						דייטשלאַנד	1								
Berlin	cluster	ORG-C00716	Journals/ Newspapers								צייט-גייסט [tseytgeyst]	צייט-גייסט [tseytgeyst]							3								
Berlin	cluster	ORG-C05440_Q02	Journals/ Newspapers								המאַסף [hmasf]	המאַסף [hmasf]							1								
Berlin	cluster	ORG-C00922	Media (Radio/ Film/TV)								אופֿאַ פֿילם געז. [ufa film gez]	אופֿאַ פֿילם געז. [ufa film gez]						דייטשלאַנד	1								
Berlin	cluster	ORG-C02662	Media (Radio/ Film/TV)								פעבוס [febus]	פעבוס [febus]							1								
Berlin	cluster	ORG-C06138	Media (Radio/ Film/TV)								דייטשער פֿילם [deytcher film]	דייטשער פֿילם [deytcher film]						דייטשלאַנד	1								
Berlin	cluster	ORG-C01986	Publisher								הוצאת יורשי המחבר [hutsat yurshi hmkhbr]	הוצאת יורשי המחבר [hutsat yurshi hmkhbr]						דייטשלאַנד	1								
Berlin	cluster	ORG-C02001	Publisher								יידישן מוזיק-פאַרלאַג אין בערלין [eydishn muzikfarlag in berlin]	יידישן מוזיק-פאַרלאַג אין בערלין [eydishn muzikfarlag in berlin]					יידישן מוזיק-פאַרלאַג אין בערלין [eydishn muzikfarlag in berlin]	דייטשלאנד	1								
Berlin	cluster	ORG-C02145	Publisher								בערטהאָלד לעווי פֿאַרלאָג [berthold levi farlog]	בערטהאָלד לעווי פֿאַרלאָג [berthold levi farlog]					בערטהאָלד לעווי פֿאַרלאָג [berthold levi farlog]		1								
Berlin	cluster	ORG-C02231	Publisher								שטיבל-פֿאַרלאַג [shtiblfarlag]	שטיבל-פאַרלאָג [shtiblfarlog] | שטיבל-פֿאַרלאַג [shtiblfarlag]							3								
Berlin	cluster	ORG-C03929	Publisher								אופֿא [ufa]	אופֿא [ufa]					אופֿאַ [ufa]	דייטשלאַנד	2								
Berlin	cluster	ORG-C04785	Publisher								אוניווערזאַל עדישאָן [univerzal edishon]	אוניווערזאַל עדישאָן [univerzal edishon]							1								
Berlin	cluster	ORG-C05441	Publisher								חנוך נערים [khnukh nerim]	חנוך נערים [khnukh nerim]							1								
Berlin	cluster	ORG-C05540	Publisher								פאַרלאָג „פּעטראָפּאָליס“ [farlog petropolis]	פאַרלאָג „פּעטראָפּאָליס“ [farlog petropolis]							1								
Berlin	cluster	ORG-C06262	Publisher								וועלט-פֿאַרלאָג [veltfarlog]	וועלט-פֿאַרלאָג [veltfarlog]							1								
Berlin	cluster	ORG-C06263	Publisher								יידישער-פֿאַרלאָג [eydisherfarlog]	יידישער-פֿאַרלאָג [eydisherfarlog]							1								
Berlin	cluster	ORG-C06633	Publisher								יידישער קולטור-פ'ג [eydisher kulturfg]	יידישער קולטור-פ'ג [eydisher kulturfg]							1								
Berlin	cluster	ORG-C03533	Religious institutions/organizations								גרויסער בערליינער סינאַגאָגע [groyser berleyner sinagoge]	גרויסער בערליינער סינאַגאָגע [groyser berleyner sinagoge]					סינאַגאָגע [sinagoge]	דייטשלאַנד	1								
Berlin	cluster	ORG-C00190_Q05	Theatre		yes	Volksbühne Berlin	Q617244	Bülowplatz	Rosa-Luxemburg-Platz, 10178 Berlin		פֿאָלקסבינע (בערלין) [folksbine berlin]	פֿאָלקסבינע [folksbine]					פֿאָלקס-בינע [folksbine]		1						[finalize_qid parenthetical] renamed from 'פֿאָלקסבינע' for settlement 'בערלין'. Prior notes: Cluster contains multiple distinct Folksbiene entities across Berlin, Vienna, and New York; no single DB candidate exists.		
