a_xml_id	b_xml_id	verdict	reason	a_db_id	b_db_id	a_heading	b_heading
facs_100_r	facs_375_tr_1755029880	different	db_contradiction	1888	1460	קאַנדעל, ה. א.	קאָהן, ס. ה. [נודעלמאַן]
facs_100_tr_1733059460	facs_168_tr_1735652657	different	db_contradiction	3550	2299	קדיש [ק. כאַש]	נחמה [ליפּשיץ, קדיש]
facs_100_tr_1733059460	facs_26_r_861	different	db_contradiction	3550	2036	קדיש [ק. כאַש]	אידינא [איוואַ שעוואָכאָוויטש]
facs_100_tr_1733059460	facs_71_tr_1733059392	different	db_contradiction	3550	2109	קדיש [ק. כאַש]	כאַש, יוסף
facs_100_tr_1740521002	facs_101_tr_1740521155	different	db_contradiction	1313	1315	בירנבוים, מיני [מינדל פּולפּעל]	בירנבוים ראָזאַ
facs_100_tr_1740521003	facs_100_tr_1740521007	different	db_contradiction	1317	1314	בירנבוים מ.	בירנבוים (נחום) נתן, דר.
facs_100_tr_1740521003	facs_230_tr_1739221425	different	db_contradiction	1317	1309	בירנבוים מ.	בירנבוים, דוד
facs_100_tr_1740521003	facs_99_tr_1740520997	different	db_contradiction	1317	1312	בירנבוים מ.	בירנבוים ישראל [ישראל-איסר באָרנבוים]
facs_100_tr_1740521007	facs_157_tr_1744279097	different	db_contradiction	1314	2319	בירנבוים (נחום) נתן, דר.	ליפּאָווסקי, נחוּם
facs_100_tr_1740521007	facs_20_tr_1747746136	different	db_contradiction	1314	1200	בירנבוים (נחום) נתן, דר.	אויסלענדער נחום
facs_100_tr_1740521007	facs_230_tr_1739221425	different	db_contradiction	1314	1309	בירנבוים (נחום) נתן, דר.	בירנבוים, דוד
facs_100_tr_1740521007	facs_261_tr_1741260190	different	db_contradiction	1314	1716	בירנבוים (נחום) נתן, דר.	געביל, מאַקס [מנחם-מענדעל, נחום]
facs_100_tr_1740521007	facs_301_tr_1739221393	different	db_contradiction	1314	3566	בירנבוים (נחום) נתן, דר.	שטערנהיים, נחום
facs_100_tr_1740521007	facs_340_tr_1744365809	different	db_contradiction	1314	3037	בירנבוים (נחום) נתן, דר.	סטוטשקאָוו, נחום [סטוטשקאָ]
facs_100_tr_1740521007	facs_353_tr_1741260469	different	db_contradiction	1314	3242	בירנבוים (נחום) נתן, דר.	ווייזענפֿריינד פֿיליפּ [נחום-פייוול]
