mention_surface	source_sheet	occurrences	as_heading	alternative_heading	notes	match_method	matched_person_ids	n_matched	db_id	db_status
(היימאַן ?] מילער	full	1.0	מילער היימאַן (?)			exact	P-2-facs_269_tr_1744280809	1	2477	ok
Abraham Cahan	full	1.0	קאַהאַן, אב [רהם]			exact	P-4-facs_334_tr_1754998419	1	883	ok
Isaac Goldberg	full	1.0	גאָלדבערג אייזיק			exact	P-6-facs_182_tr_1747825093	1	3800	ok
ZALMEN ZYLBERCWEIG	full	1.0	זילבּערצווייג, זלמן			exact	P-1-facs_408_TextRegion_1710064929131_307	1	3440	ok
[לייב] קוזניעצאָוו	full	1.0	קוזניעצאָוו, לייב			exact	P-5-facs_194_tr_1736588933	1	2178	ok
[סעמואל] קופּערמאַנס	full	1.0	סעמועל קופּערמאַן			exact	P-5-facs_608_r	1	2171	ok
אַ פינקעל	full	1.0	פינקעל, אַליעזר-דוד		פינקעל אנעטא	exact	P-3-facs_279_tr_1755674208	1		no_db_alignment
אַבאַ קאָמפּאַנעעץ	full	9.0	קאָמפּאַנעעץ, אַבא			exact	P-6-facs_291_tr_1747928923	1	1019	ok
אַבאַ שעהנגאָלד	full	8.0	שעהנגאָלד אבא [אַלבערט]			exact	P-4-facs_270_tr_1754998435	1	710	ok
אַברהם אַקסעלראָד	full	28.0	אַקסעלראָד, אַברהם [אַברהם יצחק]			exact	P-1-facs_59_tr_1740521087	1	1204	ok
אַברהם אַש	full	2.0	אַש. אַברהם [אַברהם אווערבוך]			exact	P-5-facs_80_tr_1733059427	1	1185	ok
אַברהם אייזנבערג	full	1.0	אייזענבערג, אַברהם			exact	P-1-facs_42_tr_1740520985	1	1604	ok
אַברהם אייזען	full	1.0	אייסען אַברהם, דר.			exact	P-6-facs_185_tr_1747825159	1	1552	ok
אַברהם אייזענבערג	full	2.0	אייזענבערג, אַברהם		אייזענבערג אַווראָם	exact	P-1-facs_42_tr_1740520985	1	1604	ok
אַברהם בלום	full	5.0	בלום אַברהם			exact	P-1-facs_103_tr_1740521114	1	1339	ok
אַברהם ברען	full	1.0	ברען אַברהם			exact	P-1-facs_141_tr_1740521090	1	1384	ok
אַברהם גאַכאַנסקי	full	2.0	גאַכאַנסקי, אַברהם			exact	P-5-facs_334_tr_1739221282	1	1717	ok
אַברהם גאָלדבערג	full	3.0	גאָלדבערג, אַברהם			exact	P-1-facs_149_tr_1740521047	1	1809	ok
אַברהם גאָלדפֿאַדענס	full	1.0	גאָלדפֿאַדען, אַברהם [גאָלדענפֿאָדים]			exact	P-1-facs_154_tr_1714741532	1	804	ok
אַברהם גאָלדפֿאַדען	full	111.0	גאָלדפֿאַדען, אַברהם [גאָלדענפֿאָדים]			exact	P-1-facs_154_tr_1714741532	1	804	ok
אַברהם גאָלובאַק	full	3.0	גאָלובאַק, אַברהם			exact	P-1-facs_209_tr_1741260252	1	1865	ok
אַברהם גראָדנער	full	1.0	גראָדנער, א. [אַברהם יעקב חאַש-אַבראַמאָוו]			exact	P-1-facs_270_TextRegion_1711971070302_285	1	1907	ok
אַברהם האַלפּערן	full	2.0	האַלפּערן, אַברהם			exact	P-5-facs_86_tr_1733059457	1	3510	ok
אַברהם האָפמאַן	full	1.0	האָפמאַן אַברהם			exact	P-5-facs_602_tr_1739222225	1		no_db_alignment
אַברהם וואָלפשטאַט	full	2.0	וואָלפשטאַט, אַברהם		וואָלפשטאָט, אַברהם	exact	P-5-facs_438_tr_1739221803	1	3279	ok
אַברהם טאַנצמאַן	full	2.0	טאַנצמאַן, אַברהם-יצחק			exact	P-2-facs_34_tr_1744131414	1	729	ok
אַברהם טייטע	full	1.0	טייטעלבוים, אַברהם (=שלום, סעם)			exact	P-2-facs_46_tr_1744131404	1	3061	ok
אַברהם טייטעלבוים	full	14.0	טייטעלבוים, אַברהם (=שלום, סעם)			exact	P-2-facs_46_tr_1744131404	1	3061	ok
אַברהם יצחק פאָך	full	1.0	פּאַך, אַברהם יצחק			exact	P-3-facs_28_r	1		no_db_alignment
אַברהם לאַקס	full	1.0	לאַקס, אַברהם			exact	P-2-facs_111_tr_1744279150	1	2215	ok
אַברהם ליטמאַן	full	10.0	ליטמאַן, אַברהם			exact	P-2-facs_134_tr_1744279148	1	2328	ok
אַברהם לעווין	full	1.0	לעווין, אַברהם			exact	P-2-facs_179_r	1	2256	ok
אַברהם לעוועבראָווסקי	full	3.0	לעוועבראָווסקי, אַברהם			exact	P-2-facs_186_tr_1744279126	1	2248	ok
אַברהם מאָרעווסקי	full	48.0	מאָרעווסקי, אַברהם (מנקר]			exact	P-2-facs_238_tr_1744280834	1	2505	ok
אַברהם נאַאומאַוו	full	2.0	נאַאומאָוו, אַברהם			exact	P-2-facs_300_tr_1744280754	1	2548	ok
אַברהם ניימאַן	full	2.0	ניימאַן, אברהם [בּאַראַקאַן]			exact	P-2-facs_318_tr_1744365808	1	3809	ok
אַברהם סימאָוויטש	full	1.0	סימאָוויטש, אַברהם			exact	P-2-facs_352_r_2	1	715	ok
אַברהם סישזאָן	full	1.0	פישזאָן, אַברהם			exact	P-7-facs_87_r	1	3634	ok
