priority	mention_id	surname	host_heading	sentence	prior_decision_kind	prior_hub_id	prior_heading	n_added	added_hub_ids	added_headings	reviewer	reviewed_at
high	M-volume_1IIIorg-1-facs_115_r_6-אַדלער-000	אדלער	בערגמאַן, איציק-מענדל	בעת די פֿאָרשטעלונגען פֿון אַדלער, טאַנצמאַן און וויינשטאָק אין וואַרשע	family			12	HUB-D1115|HUB-D1117|HUB-D1118|HUB-D1119|HUB-D1122|HUB-D1124|HUB-D1125|HUB-D1126|HUB-D1127|HUB-D706|HUB-D740|HUB-P-1-facs_160_r_4	אַדלער עמיליע [שרה-מילקע שטאָנג]|אַדלער צילע|אַדלער, אסתר [שאצקי]|אַדלער פֿרענציס|אַדלער דזשוליאַ|אַדלער, דזשוליוס [יואל]|אַדלער, קאָטיאָ [גוראַלניק]|אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]|אַדלער, סטעלאַ|אַדלער, יעקב פּ. [יעקב בן פּנחס]|אַדלער, סעם|„די אינטריגע אָדער דוואָסי די פּליאָטקע-מאַכערין	Ruthie	2026-07-09T11:53:33Z
high	M-volume_1IIIorg-NOXID-אַדלער-016	אדלער	ברייטמאַן, פאַול	ביי אַדלער-סיעראָצקי אין לאָדזש און ביי זיי אין וואַרשע	family			12	HUB-D1115|HUB-D1117|HUB-D1118|HUB-D1119|HUB-D1122|HUB-D1124|HUB-D1125|HUB-D1126|HUB-D1127|HUB-D706|HUB-D740|HUB-P-1-facs_160_r_4	אַדלער עמיליע [שרה-מילקע שטאָנג]|אַדלער צילע|אַדלער, אסתר [שאצקי]|אַדלער פֿרענציס|אַדלער דזשוליאַ|אַדלער, דזשוליוס [יואל]|אַדלער, קאָטיאָ [גוראַלניק]|אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]|אַדלער, סטעלאַ|אַדלער, יעקב פּ. [יעקב בן פּנחס]|אַדלער, סעם|„די אינטריגע אָדער דוואָסי די פּליאָטקע-מאַכערין	Ruthie	2026-07-09T11:53:33Z
high	M-volume_1IIIorg-NOXID-אַדלער-017	אדלער	גאָלד, לייבוש	ווען אָדלער פֿאָרט אין 1887, נאָך דער קאַטאַסטראָפע אין דאָזיקן טעאַטער, קיין אַמעריקע, געפֿיינט זיך ג. אין זיין טרופּע.	family			7	HUB-D1117|HUB-D1118|HUB-D1119|HUB-D1122|HUB-D1124|HUB-D1126|HUB-P-1-facs_160_r_4	אַדלער צילע|אַדלער, אסתר [שאצקי]|אַדלער פֿרענציס|אַדלער דזשוליאַ|אַדלער, דזשוליוס [יואל]|אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]|„די אינטריגע אָדער דוואָסי די פּליאָטקע-מאַכערין	Ruthie	2026-07-09T11:53:33Z
high	M-volume_1IIIorg-NOXID-אַדלער-018	אדלער	גאָלדבערג, מיכל	זעצט איבער פֿרידרייך קייזערס אַ צוויי-אַקטער, וועלכן ער ברענגט אַדלערן.	family			12	HUB-D1115|HUB-D1117|HUB-D1118|HUB-D1119|HUB-D1122|HUB-D1124|HUB-D1125|HUB-D1126|HUB-D1127|HUB-D706|HUB-D740|HUB-P-1-facs_160_r_4	אַדלער עמיליע [שרה-מילקע שטאָנג]|אַדלער צילע|אַדלער, אסתר [שאצקי]|אַדלער פֿרענציס|אַדלער דזשוליאַ|אַדלער, דזשוליוס [יואל]|אַדלער, קאָטיאָ [גוראַלניק]|אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]|אַדלער, סטעלאַ|אַדלער, יעקב פּ. [יעקב בן פּנחס]|אַדלער, סעם|„די אינטריגע אָדער דוואָסי די פּליאָטקע-מאַכערין	Ruthie	2026-07-09T11:53:33Z
high	M-volume_1IIIorg-NOXID-אַדלער-019	אדלער	געצייכנט פון אברהם גאָלדפאַדען	וואו ס'האָבן פריער געשפּילט אַדלער, מאָגולעסקאָ	family			12	HUB-D1115|HUB-D1117|HUB-D1118|HUB-D1119|HUB-D1122|HUB-D1124|HUB-D1125|HUB-D1126|HUB-D1127|HUB-D706|HUB-D740|HUB-P-1-facs_160_r_4	אַדלער עמיליע [שרה-מילקע שטאָנג]|אַדלער צילע|אַדלער, אסתר [שאצקי]|אַדלער פֿרענציס|אַדלער דזשוליאַ|אַדלער, דזשוליוס [יואל]|אַדלער, קאָטיאָ [גוראַלניק]|אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]|אַדלער, סטעלאַ|אַדלער, יעקב פּ. [יעקב בן פּנחס]|אַדלער, סעם|„די אינטריגע אָדער דוואָסי די פּליאָטקע-מאַכערין	Ruthie	2026-07-09T11:53:33Z
high	M-volume_1IIIorg-NOXID-אַדלער-020	אדלער	אַפיש פון דער בענעפיס-פאָרשטעלונג	נאָך דער פאָרשטעלונג האָבן געהאַלטן באַגריסונגס-רעדעס די אַקטיאָרן פיינמאַן, אַדלער און טאָמאַשעווסקי	family			12	HUB-D1115|HUB-D1117|HUB-D1118|HUB-D1119|HUB-D1122|HUB-D1124|HUB-D1125|HUB-D1126|HUB-D1127|HUB-D706|HUB-D740|HUB-P-1-facs_160_r_4	אַדלער עמיליע [שרה-מילקע שטאָנג]|אַדלער צילע|אַדלער, אסתר [שאצקי]|אַדלער פֿרענציס|אַדלער דזשוליאַ|אַדלער, דזשוליוס [יואל]|אַדלער, קאָטיאָ [גוראַלניק]|אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]|אַדלער, סטעלאַ|אַדלער, יעקב פּ. [יעקב בן פּנחס]|אַדלער, סעם|„די אינטריגע אָדער דוואָסי די פּליאָטקע-מאַכערין	Ruthie	2026-07-09T11:53:33Z
high	M-volume_1IIIorg-NOXID-אָדלער-000	אדלער	אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]	דאָ טרעט ער אויף ביי אָדלערן אין רומעניע-אָפּערן-הויז	family			12	HUB-D1115|HUB-D1117|HUB-D1118|HUB-D1119|HUB-D1122|HUB-D1124|HUB-D1125|HUB-D1126|HUB-D1127|HUB-D1128|HUB-D1129|HUB-P-1-facs_160_r_4	אַדלער עמיליע [שרה-מילקע שטאָנג]|אַדלער צילע|אַדלער, אסתר [שאצקי]|אַדלער פֿרענציס|אַדלער דזשוליאַ|אַדלער, דזשוליוס [יואל]|אַדלער, קאָטיאָ [גוראַלניק]|אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]|אַדלער, סטעלאַ|אַדלער ירמיהו [גאָלדענבערג-טווערסקי]|אַדלער יוזשע|„די אינטריגע אָדער דוואָסי די פּליאָטקע-מאַכערין	Ruthie	2026-07-09T11:53:33Z
high	M-volume_1IIIorg-NOXID-אָדלער-006	אדלער	בירנבוים, מיני [מינדל פּולפּעל]	ווערט פֿון ראָרט אָנגאַזשירט דורך טאָמאָשעווסקי, אָדלער און עדעלשטיין	other			12	HUB-D1115|HUB-D1117|HUB-D1118|HUB-D1119|HUB-D1122|HUB-D1124|HUB-D1125|HUB-D1126|HUB-D1127|HUB-D706|HUB-D740|HUB-P-1-facs_160_r_4	אַדלער עמיליע [שרה-מילקע שטאָנג]|אַדלער צילע|אַדלער, אסתר [שאצקי]|אַדלער פֿרענציס|אַדלער דזשוליאַ|אַדלער, דזשוליוס [יואל]|אַדלער, קאָטיאָ [גוראַלניק]|אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]|אַדלער, סטעלאַ|אַדלער, יעקב פּ. [יעקב בן פּנחס]|אַדלער, סעם|„די אינטריגע אָדער דוואָסי די פּליאָטקע-מאַכערין	Ruthie	2026-07-09T11:53:33Z
high	M-volume_1IIIorg-NOXID-אָדלער-008	אדלער	בעיקער בעל	"אין 1908 האָט אָדלער אַ געלעגנהייט זיי צו הערן און אָנגאַזשירט זיי באָלד אין זיין גרענד-טעאַטער פֿאַר דער ראָל פון יינגל אין גאָרדיןס „אָן אַ היים""."	family			11	HUB-D1115|HUB-D1117|HUB-D1118|HUB-D1119|HUB-D1122|HUB-D1124|HUB-D1125|HUB-D1126|HUB-D1128|HUB-D1129|HUB-P-1-facs_160_r_4	אַדלער עמיליע [שרה-מילקע שטאָנג]|אַדלער צילע|אַדלער, אסתר [שאצקי]|אַדלער פֿרענציס|אַדלער דזשוליאַ|אַדלער, דזשוליוס [יואל]|אַדלער, קאָטיאָ [גוראַלניק]|אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]|אַדלער ירמיהו [גאָלדענבערג-טווערסקי]|אַדלער יוזשע|„די אינטריגע אָדער דוואָסי די פּליאָטקע-מאַכערין	Ruthie	2026-07-09T11:53:33Z
high	M-volume_1IIIorg-NOXID-אָדלער-009	אדלער	בערגמאַן, שמחה	1903-1898 שפּילט ער אין די טרופּעס פֿון טש. נאָטאָנסאָן, פֿיינמאַן, אָדלער, גאָלדפֿאַרען.	family			10	HUB-D1115|HUB-D1117|HUB-D1118|HUB-D1119|HUB-D1122|HUB-D1124|HUB-D1125|HUB-D1126|HUB-D1129|HUB-P-1-facs_160_r_4	אַדלער עמיליע [שרה-מילקע שטאָנג]|אַדלער צילע|אַדלער, אסתר [שאצקי]|אַדלער פֿרענציס|אַדלער דזשוליאַ|אַדלער, דזשוליוס [יואל]|אַדלער, קאָטיאָ [גוראַלניק]|אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]|אַדלער יוזשע|„די אינטריגע אָדער דוואָסי די פּליאָטקע-מאַכערין	Ruthie	2026-07-09T11:53:33Z
