mention_id	surname	host_person_id	mention_name	decision_kind	resolved_hub_id	resolved_heading	resolver_verdict	resolver_method	agrees_with_resolver	chips	reviewer	reviewed_at	notes
M-volume_2IIIorg-NOXID-דבורה-001	דבורה	P-2-facs_316_tr_1744365726	דבורה	other			AMBIGUOUS	low_margin	0	gender:female	Sinai	2026-07-03T15:07:56Z	
M-Volume_4IIIorg-NOXID-דבורה-000	דבורה	P-4-facs_666_tr_1755030168	דבורה	hub	HUB-P-4-facs_666_tr_1755030169	דבורה פֿאַרמאַן	AMBIGUOUS	low_margin	0	gender:female	Sinai	2026-07-03T15:07:56Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-006	טאמאשעווסקי	P-1-facs_100_tr_1740521002	טאָמאָשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:46:50Z	
M-volume_1IIIorg-NOXID-טאָמאַשעווסקי-015	טאמאשעווסקי	P-1-facs_100_tr_1740521004	טאָמאַשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:46:50Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-007	טאמאשעווסקי	P-1-facs_102_r_9	טאָמאָשעווסקי	hub	HUB-D3073	טאָמאַשעווסקי, מייק (מרדכי)	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:46:50Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-008	טאמאשעווסקי	P-1-facs_104_tr_1740521041	טאָמאָשעווסקי	hub	HUB-D3073	טאָמאַשעווסקי, מייק (מרדכי)	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:46:50Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-010	טאמאשעווסקי	P-1-facs_108_tr_1740521022	טאָמאָשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1913|family-cluster|career-overlap	Ruthie	2026-07-08T13:46:50Z	
M-volume_1IIIorg-NOXID-טאָמאָשעווסקי-009	טאמאשעווסקי	P-1-facs_108_tr_1740521028	טאָמאָשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1904|family-cluster|career-overlap	Ruthie	2026-07-08T13:46:50Z	
M-volume_1IIIorg-NOXID-טאָמאַשעווסקי-016	טאמאשעווסקי	P-1-facs_134_tr_1740520967	טאָמאַשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|family-cluster	Ruthie	2026-07-08T13:46:50Z	
M-volume_1IIIorg-NOXID-טאָמאַשעווסקי-017	טאמאשעווסקי	P-1-facs_135_tr_1740521015	טאָמאַשעווסקי	hub	HUB-D693	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]	AMBIGUOUS	family_abstain_suggested	0	gender:male|year:1905|family-cluster|career-overlap	Ruthie	2026-07-08T13:46:50Z	
