mention	occurrences	as_heading	alternative_heading	notes
יאָנאַס טורקאָוו	190.0	טורקאָוו, יאָנאַס		
מאָריס שוואַרץ	183.0	שוואַרץ, מאָריס [אַברהם משה]		
זלמן זילבערצווייג	169.0	זילבּערצווייג, זלמן		
באָריס טאָמאַשעווסקי	129.0	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]		
יוליוס אַדלער	123.0	אַדלער, יוליוס		
יעקב גאָרדין	123.0	גאָרדין, יעקב		
זיגמונט טורקאָוו	113.0	טורקאָוו, זיגמונט		
אַברהם גאָלדפֿאַדען	111.0	גאָלדפֿאַדען, אַברהם [גאָלדענפֿאָדים]		
מאלי פיקאָן	81.0	פּיקאָן, מאַלי		
פרץ הירשביין	81.0	הירשביין, פרץ		
קלאַראַ יאָנג	79.0	יאָנג, קלאַראַ [חיה-ריסיע שפּיקאָליצער]		
שלום אַש	75.0	אַש, שלום		
אסתר-רחל קאמינסקאַ	72.0	קאָמינסקי, אַסתר-רחל [האַלפערן]		
דוד הערמאַן	67.0	הערמאַן, דוד		
דוד קעסלער	67.0	קעסלער, דוד		
סעם אַדלער	63.0	אַדלער, סעם		
בערטאַ קאַליש	61.0	קאַליש, בערטאָ		
יעקב בן-עמי	59.0	בן-עמי יעקב [שטשירין]		
בעסי טאָמאַשעווסקי	58.0	טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן]		
אידא קאַמינסקאַ	56.0	קאַמינסקאַ רעגינאַ		
סעמיועל גאָלדענבורג	54.0	גאָלדענבורג, סעמיועל [שלום גאָלדשטיין]		
אסתר-רחל קאמינסקי	51.0	"טעאַטער-מוזיי א""נ פֿון אסתר-רחל קאַמינסקי ביים ייוו""א."		
מאָריס מאָשקאָוויטש	51.0	מאָשקאָוויטש, מאָריס		
מאַרק אַרנשטיין	50.0	אַרנשטיין, מאַרק		
אַברהם מאָרעווסקי	48.0	מאָרעווסקי, אַברהם (מנקר]		
זלמן רייזען	48.0	רייזען, זלמן		
סעראַ אַדלער	48.0	אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]		
אַברהם פישזאָן	46.0	פישזאָן, אַברהם		
יעקב זילבּערט	46.0	זילבּערט, יעקב [קוליש]		
יעקב מעסטעל	45.0	מעסטעל, יעקב		
לודווייג זאַץ	44.0	זאַץ, לודווייג [לוי יצחק]		
מישע פישזאָן	43.0	פישזאָן, מישאַ [משה כאָסידמאַן]		
רודאָלף זאַסלאַווסקי	42.0	זאַסלאַווסקי, רודאָלף [ראובן-לייב]		
דוד פינסקי	41.0	פּינסקי, דוד		
מאַקס געביל	40.0	געביל, מאַקס [מנחם-מענדעל, נחום]		
נייטאָן גאָלדבערג	40.0	גאָלדבערג, נייטאָן		
אַנשל שאָר	39.0	שאָר [שור], אַנשל		
לעאָן בלאַנק	39.0	בלאַנק לעאָן		
רודאָלף שילדקרויט	38.0	שילדקרויט, רודאָלף [חיים-מרדכי]		
ישראל ראָזענבּערג	36.0	ראָזענבערג, ישראל		
