mention	occurrences	as_heading	alternative_heading	notes
יעקב פּ. אַדלער	112.0	אַדלער, יעקב פּ. [יעקב בן פּנחס]		יעקב פבלוביץ' אדלר
בּ. גאָרין	98.0	גאָרין, ב. [יצחק גוידאָ-הוידאַ]		
י. ל. פרץ	76.0	פרץ, יצחק לייבוש		
מ. ד. וואַקסמאַן	50.0	וואַקסמאַן, מאָריס [משה דוד]		
ש. קאַטשערגינסקי	48.0		קאַרטאָזשינסקי, אָסקאַר [אשר]	
ה. לייוויק	36.0	לייוויק, ה. [לייוויק האַלפּער]		
אב. קאַהאַן	34.0	קאַהאַן, אב [רהם]		
"ד""ר מ. ווייכערט"	28.0	ווייכערט, מיכאל, דר.		
"ד""ר א. מוקדוני"	23.0	מוקדוני, א. דר. [אַלכסנדר קאַפּעל)		
מ. אָשעראָוויטש	20.0	אָשעראָוויטש, מ.		
ש. אַנ-סקי	20.0	אַנ-סקי ש. [שלמה-זאַנוול ראַפּאָפּאָרט]		
ש. ניגער	19.0	ניגער שמואל [טשאַרני]		
נ. אויסלענדער	17.0	אויסלענדער נחום		
נ. בוכוואָלד	17.0	בוכוואַלד נפתלי		
י. ליובאָמירסקי	16.0	ליובאָמירסקי, יהושע		
ז. ליבּין	15.0	ליבּין, ז. [ישראל-זלמן הוּרוויטש]		
י. י. זינגער	14.0	זינגער, ישראל-יהושע		
ל. סאָקאָלאָוו	14.0	סאָקאָלאָוו, ליפּמאַן (סאָקאָלאָווסקי]		
ל. פֿריימאַן	14.0	פֿריימאַן, לואיס [לייזער געניוק]	פֿריימאַן, לואיס [לייזער געניוק]	
א. ווייטער	13.0	ווייטער, א. [אייזיק-מאיר דעווענישסקי]		
נ. בלומענטאַל	13.0	בלומענטאַל, נייטאַן		
פּראָפ. הורוויץ	13.0	הורוויץ, [האָרוויץ - הורוויטש] משה איש הלוי פּראָפעסאָר		
ש. בליאַכער	13.0	בליאַכער, שבתי		
א. סאַמבערג	12.0	סאַמבערג, א. [יצחק-אייזיק סאָמבאָרק]		
ה. ד. נאָמבערג	12.0	נאָמבערג, הערש-דוד		
ס. ה. קאָן	12.0	קאָהן, ס. ה. [נודעלמאַן]		
ש. י. האַרענדאָרף	12.0	דאָרפזאָן, ש.י. [שמואל-יעקב האַרענדאָרף]		
ה. סיעראָצקי	11.0	סיעראָצקי, הערמאַן		
י. זאַנדבערג	11.0	זאַנדבערג, יצחק	זאַנדבערג, יוליאַ [טויבע-איטע ספּעקטאָר]	אפשר גם זאנדבערג יוליא
ב. אָרשאַנסקי	10.0			
ז. סעגאַלאָוויטש	10.0	סעגאַלאָוויטש, זוסמאַן		
מ. אָלגין	10.0	אָלגין, מ. י., דר. [משה יוסף נאָוואָמיסקי]		
מאַקס ר. ווילנער	10.0	ווילנער מאַקס		
א. מאָרעווסקי	9.0	מאָרעווסקי, אַברהם (מנקר]		
ב. קלעצקין	9.0			
ה. ווייסמאַן	9.0	ווייסמאַן, הערש	ווייסמאַן, העלענאַ	ווייסמאן עלענא?
ז. רייזען	9.0	רייזען, זלמן		
טש. נאַטאַנסאָן	9.0	נאַטאַנזאָן, טשאַרלס	נאַטאַנסאָן, טשאַרלס	
י. ד. בערקאָוויטש	9.0	בערקאָוויטש, יצחק-דוב		
י. דאָברושין	9.0	דאָברושין,יחזקאל		
י. מ. ניימאַן	9.0	ניימאַן, יחזקאל-משה		
מ. מיאָדאָווניק	9.0	מיאָדאָווניק, מאַרק		
ש. יאַנאָווסקי	9.0	יאַנאָווסקי, שאוּל-יוסף		
ש. ל. ציטראָן	9.0			
א. ליטמאַן	8.0	ליטמאַן, אַברהם		
דר. מיכאל ווייכערט	8.0	ווייכערט, מיכאל, דר.		
ה. קאַלמאַנאָוויטש	8.0	קאַלמאַנאָוויטש, הערי		
י. י. לערנער	8.0	לערנער יוסף-יהודה		
ל. קאַדיסאָן	8.0	קאָדיסאָן, לייב [שוסטער]		
מ. ח. טיטעלמאַן	8.0	טיטעלמאַן, מרדכי-חיים		
מ. עלקין	8.0	עלקין, מענדל		
ש. ראָזשאַנסקי	8.0			
א. אָלשאַנעצקי	7.0	אָלשאַנעצקי, אַלעקסאַנדער [יהושע]		
א. ג. קאָמפּאַנעעץ	7.0			
או. פינקעל	7.0			
ב. באָטוויניק	7.0	באָטוויניק, בערל		
ב. קאָוונער	7.0			
ב. קוטשער	7.0			
דזש. נאָטאָנסאָן	7.0	נאַטאַנסאָן, דזשוליוס (יוליוס, חנינא)		
ח. נ. ביאָליק	7.0			
י. ל. בוימוואָל	7.0	בוימוואָל, יהודה-לייב		
ל. פולווער	7.0	פולווער לעוו		
מ. ירדני	7.0	ירדני, מרדכי [מאָטל שערמאַן]		
מ. קיפּניס	7.0	קיפּניס, מנחם		
נ. ראַקאָוו	7.0	ראַקאָוו, נ.		
ש. בליכער	7.0	בליאַכער, שבתי		
א. י. קאַמינסקי	6.0	קאַמינסקי, אַברהם יצחק		
א. ליטווין	6.0			
א. מייזעלס	6.0	מייזעלס, אַביש		
א. קאָמפּאַנעעץ	6.0	קאָמפּאַנעעץ, אַבא		
אַל. גראַנאָווסקי	6.0	גראַנאָווסקי, אַלעקסאַנדער [אַברהם אַזאַרך]		
ב. י. גאָלדשטיין	6.0	גאָלדשטיין, ב. י. [ברוך]		
דזש. קעסלער	6.0			
וו. וויינטרויב	6.0	וויינטרויב, וו.		
י. ל. וואָהלמאַן	6.0			
י. רימיניק	6.0			
ל. מלאַך	6.0	מלאך, ל. [לייבל זאַלצמאַן]		
ר. שושנה	6.0	שושנה, ר		
ש. הערשקאָוויטש	6.0	הערשקאָוויטש, שלמה		
ש. קוטנער	6.0	קוטנער, שלמה		
א. ב. גאָטלאָבער	5.0	גאָטלאָבער, אַברהם-בער		
א. ג. קאָמפּאַניעעץ	5.0			
א. גראַנאָווסקי	5.0	גראַנאָווסקי, אַלעקסאַנדער [אַברהם אַזאַרך]		
א. ליליען	5.0	ליליען, איזידאָר		
א. סוצקעווער	5.0			
א. פֿרומקין	5.0			
ב. נאָרין	5.0	גאָרין, ב. [יצחק גוידאָ-הוידאַ]		
בער י. ראָזען	5.0			
ז. טורקאָוו	5.0	טורקאָוו, זיגמונט		
ז. קאַרנבליט	5.0			
י. ב. גימפּעל	5.0	גימפּעל, יעקב-בער		
ל. דושמאַן	5.0	דושמאַן, לעאָן		
מ. ראַפֿאַלסקי	5.0			
ס. קופּערמאַן	5.0	סעמועל קופּערמאַן		
ש. מענדעלסאָן	5.0			
א. אַזרא	4.0			
א. גיטלין	4.0			
א. גלאַנץ-לעיעלעס	4.0	לעיעלעס, א. [אַהרן גלאַנץ]		
א. לוצקי	4.0	אונדזערע בויער		
א. שטיין	4.0	שטיין, אַדאָלף (אַברהם)		
