person_id	xml_id	heading	primary_form	alias_form	source
P-1-facs_17_r_3	facs_17_r_3	אָבערלענדער, סאָׁפיע	סאָׁפיע אָבערלענדער	מיכעלסאָן	names_variant
P-1-facs_17_r_3	facs_17_r_3	אָבערלענדער, סאָׁפיע	סאָׁפיע אָבערלענדער	שרה בת ר' שלמה זלמן	names_variant
P-1-facs_17_tr_1713546853	facs_17_tr_1713546853	אַבּערמאן, יצחק [האַבער]	יצחק אַבּערמאן	האַבער	heading_bracket
P-1-facs_18_r_8_1	facs_18_r_8_1	אָבראַגאַם ידאָ [פעלטענשטיין]	אָבראַגאַם ידאָ	פעלטענשטיין	heading_bracket
P-1-facs_18_r	facs_18_r	אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]	אַדאָלף אַבראַמאָוו	אַברהם פּערקאָף	heading_bracket
P-1-facs_18_r	facs_18_r	אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]	אַדאָלף אַבראַמאָוו	פּערקאָף	names_variant
P-1-facs_18_r	facs_18_r	אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]	אַדאָלף אַבראַמאָוו	אָב.	names_variant
P-1-facs_18_TextRegion_1711991747546_2519	facs_18_TextRegion_1711991747546_2519	אַבראַמאָוויטש, בינע [פוקס]	בינע אַבראַמאָוויטש	פוקס	heading_bracket
P-1-facs_18_TextRegion_1711991747546_2519	facs_18_TextRegion_1711991747546_2519	אַבראַמאָוויטש, בינע [פוקס]	בינע אַבראַמאָוויטש	די מאָמע פֿון יידישן טעאַטער	names_variant
P-1-facs_20_tr_1740515222	facs_20_tr_1740515222	אַבראַמס, אַדאָלף [אָבּראָמאָוויטש]	אַדאָלף אַבראַמס	אָבּראָמאָוויטש	heading_bracket
P-1-facs_20_tr_1740515229	facs_20_tr_1740515229	אַבראַמסאָן, אייוואָן	אייוואָן אַבראַמסאָן	אייווען אָבראָמסאָן	names_variant
P-1-facs_20_tr_1740515229	facs_20_tr_1740515229	אַבראַמסאָן, אייוואָן	אייוואָן אַבראַמסאָן	אַבר.	names_variant
P-1-facs_20_tr_1740515223	facs_20_tr_1740515223	אַבראַמסקי, ג.	ג. אַבראַמסקי	אַברהם הגרשוני	names_variant
P-1-facs_20_tr_1740515223	facs_20_tr_1740515223	אַבראַמסקי, ג.	ג. אַבראַמסקי	לבני קהת	names_variant
P-1-facs_21_tr_1740515222	facs_21_tr_1740515222	אַנעד, סעם [שלמה]	סעם אַנעד	אגעד	names_variant
P-1-facs_22_tr_1740515224	facs_22_tr_1740515224	אַדלער, יוליוס	יוליוס אַדלער	אַדלער	names_variant
P-1-facs_22_tr_1740515224	facs_22_tr_1740515224	אַדלער, יוליוס	יוליוס אַדלער	אָרטשיק	names_variant
P-1-facs_22_tr_1740515224	facs_22_tr_1740515224	אַדלער, יוליוס	יוליוס אַדלער	אָרטשיקעס	names_variant
P-1-facs_22_tr_1740515224	facs_22_tr_1740515224	אַדלער, יוליוס	יוליוס אַדלער	יודקע דער אַלט	names_variant
P-1-facs_23_r	facs_23_r	אַדלער, יעקב פּ. [יעקב בן פּנחס]	יעקב פּ. אַדלער	יעקב בן פּנחס	heading_bracket
P-1-facs_23_r	facs_23_r	אַדלער, יעקב פּ. [יעקב בן פּנחס]	יעקב פּ. אַדלער	יעקב פ. אַדלער	names_variant
P-1-facs_23_r	facs_23_r	אַדלער, יעקב פּ. [יעקב בן פּנחס]	יעקב פּ. אַדלער	דזשייקאָב פּ. אַדלער	names_variant
P-1-facs_23_r	facs_23_r	אַדלער, יעקב פּ. [יעקב בן פּנחס]	יעקב פּ. אַדלער	אַדלער	names_variant
P-1-facs_30_TextRegion_1709402283554_1191	facs_30_TextRegion_1709402283554_1191	אַדלער ירמיהו [גאָלדענבערג-טווערסקי]	אַדלער ירמיהו	גאָלדענבערג-טווערסקי	heading_bracket
P-1-facs_30_TextRegion_1709402283554_1191	facs_30_TextRegion_1709402283554_1191	אַדלער ירמיהו [גאָלדענבערג-טווערסקי]	אַדלער ירמיהו	אַדלער	names_variant
P-1-facs_30_TextRegion_1709402283554_1191	facs_30_TextRegion_1709402283554_1191	אַדלער ירמיהו [גאָלדענבערג-טווערסקי]	אַדלער ירמיהו	וואָסיעס אַדלער	names_variant
P-1-facs_30_TextRegion_1709402283554_1191	facs_30_TextRegion_1709402283554_1191	אַדלער ירמיהו [גאָלדענבערג-טווערסקי]	אַדלער ירמיהו	בלומענטאַל	names_variant
P-1-facs_31_TextRegion_1710063820301_118	facs_31_TextRegion_1710063820301_118	אַדלער, ישראל	ישראל אַדלער	י. שטורם	names_variant
P-1-facs_31_TextRegion_1710063820301_118	facs_31_TextRegion_1710063820301_118	אַדלער, ישראל	ישראל אַדלער	י. אַקווילאַ	names_variant
