person_id	xml_id	heading	decision	aligned_db_id	merge_person_id	merge_xml_id	draft_decision	draft_confidence	accepted_draft	reviewer	reviewed_at	notes	mode
P-1-facs_18_r	facs_18_r	אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]	ALIGN	1103			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_36_tr_1740520951	facs_36_tr_1740520951	אויגענבליק, פֿיליפּ	ALIGN	1199			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_42_tr_1740520980	facs_42_tr_1740520980	אייזענבערג, מאיר	ALIGN	1554			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_83_tr_1740521018	facs_83_tr_1740521018	האָפנער חיים-אהרן	ALIGN	1959			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_83_tr_1740521027	facs_83_tr_1740521027	דוד בדחן פֿון באָבער, מאָהילעווער גוב.	ALIGN	1217			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_100_tr_1740521004	facs_100_tr_1740521004	בירנבוים, לואיס [יעקב לייב]	ALIGN	1312			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_103_r_2	facs_103_r_2	בלאַק יעטאַ	ALIGN	1319			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_112_tr_1740521167	facs_112_tr_1740521167	בעללויה, הירש גדלי' [בעלאו — בעללאַה]	ALIGN	1249			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_131_r_7	facs_131_r_7	באַרזשער, וועלוועל	ALIGN	3360			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_207_tr_1741260336	facs_207_tr_1741260336	גאָלדשטיין, לואיס	ALIGN	1853			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_251_tr_1741260212	facs_251_tr_1741260212	גוטמאַן, ישעיה	ALIGN	3638			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_259_r_2	facs_259_r_2	גלאַנץ, א.	ALIGN	2275			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_265_tr_1741260308	facs_265_tr_1741260308	געצמאַן, זשאַן [שמואל יעקב]	ALIGN	1760			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_312_TextRegion_1708860417410_829	facs_312_TextRegion_1708860417410_829	הורוויץ, [האָרוויץ - הורוויטש] משה איש הלוי פּראָפעסאָר	ALIGN	684			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_358_tr_1741260405	facs_358_tr_1741260405	וויינגאָלד שלמה [ספּירידיאָן וואָיקאַ]	ALIGN	3223			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_368_TextRegion_1710163052802_374	facs_368_TextRegion_1710163052802_374	ווייספעלד, משה	ALIGN	3171			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_375_tr_1741260389	facs_375_tr_1741260389	ווילנער, מאַקס, ר	ALIGN	3266			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
P-1-facs_381_r_9	facs_381_r_9	וועלטמאַן, אַנעטאָ [אננאַ]	ALIGN	3177			ALIGN	high	1	Sinai	2026-07-02T21:30:01Z		batch
