person_id	xml_id	volume	heading	names_variants	birth_year	death_year	entry_type	candidate_db_ids	candidate_scores	candidate_names	decision	aligned_db_id	reviewer	reviewer_notes	reviewed_at
P-1-facs_17_tr_1713546856	facs_17_tr_1713546856	1	אַבּדול				performer				ALIGN	1096			
P-1-facs_17_tr_1713546845	facs_17_tr_1713546845	1	אָבּערבּערג, אַדאָלף	אָ.	1888		performer	2585	1.000	אַדאָלף אַבּערבּערג	ALIGN	2585			
P-1-facs_17_r_9	facs_17_r_9	1	אבערלענדער אַלעקסאנדער	א.	1854	1913	administrator	2588	0.750	אַלעקסאַדער אַבּערלענדער	ALIGN	2588			
P-1-facs_17_r_3	facs_17_r_3	1	אָבערלענדער, סאָׁפיע	אָ. | מיכעלסאָן | שרה בת ר' שלמה זלמן	1862	1884	performer	2587	1.000	סאָפיע אָבּערלענדער	ALIGN	2587			
P-1-facs_17_tr_1713546853	facs_17_tr_1713546853	1	אַבּערמאן, יצחק [האַבער]		1882		performer	1100	1.000	יצחק אַבּערמאַן (האַבּער)	ALIGN	1100			
P-1-facs_18_r_8_1	facs_18_r_8_1	1	אָבראַגאַם ידאָ [פעלטענשטיין]	א. | אָ.	1884		performer	1101	1.000	ידא אַבּראַגאַם (פעלטענשטיין)	ALIGN	1101			
P-1-facs_18_TextRegion_1711991809768_2571	facs_18_TextRegion_1711991809768_2571	1	אַבראַמאָוו				performer	1106	0.600	אַבּראַמאָוו	ALIGN	1106			
P-1-facs_18_r	facs_18_r	1	אַבראַמאָוו, אַדאָלף [אַברהם פּערקאָף]	פּערקאָף | א. | אָ. | אָב.	1860	1926	performer	1103|2639|1110|2640|1106	1.000|0.714|0.692|0.625|0.571	אַדאָלף אַבּראַמאָוו (אברהם פּערקאָף)|יצחק פּערקאָף|אַדאָלף אַבּראמס (אבּראַמאָוויטש)|רובין פּערקאָף|אַבּראַמאָוו					
P-1-facs_18_TextRegion_1711991763648_2536	facs_18_TextRegion_1711991763648_2536	1	אַבראַמאָוויטש, איזאַק	א.	1873		writer	1109	1.000	איזאָק אַבּראַמאָוויטש	ALIGN	1109			
P-1-facs_18_TextRegion_1711991747546_2519	facs_18_TextRegion_1711991747546_2519	1	אַבראַמאָוויטש, בינע [פוקס]	א. | די מאָמע פֿון יידישן טעאַטער	1865		performer	742	1.000	בּינע אַבּראַמאָוויטש (פוקס)	ALIGN	742			
