db_id	hebname	english	alternative_name	gender	date_born	date_died	born_in	died_in	external_source_id	external_source	author_of	editor_of	mentioned_in	professional_role_org	professional_role_perf	character_perf	created_expressions	name_variants	probably_not_zylbercweig	source	raw
1	אורה פטישי	Ora Patishy																		DBKey	Ora Patishy|1|אורה פטישי
2	רות אלמוג	Ruth Almog																		DBKey	Ruth Almog|2|רות אלמוג
3	יוסל בירשטין	Jossel Birstein																		DBKey	Jossel Birstein|3|יוסל בירשטין
4	ברוך תור-רז	Baruch Tor-Raz																		DBKey	Baruch Tor-Raz|4|ברוך תור-רז
5	עוזי וייל	Uzi Weil																		DBKey	Uzi Weil|5|עוזי וייל
6	אבא קובנר	Abba Kovner																		DBKey	Abba Kovner|6|אבא קובנר
8	דורית אורגד	Dorit Orgad																		DBKey	Dorit Orgad|8|דורית אורגד
9	חגי טיומקין	Hagai Tiomkin																		DBKey	Hagai Tiomkin|9|חגי טיומקין
10	חיים חיימוף	Chaim Chaimoff																		DBKey	Chaim Chaimoff|10|חיים חיימוף
11	אילן שיינפלד	Ilan Shainfeld																		DBKey	Ilan Shainfeld|11|אילן שיינפלד
12	ורדה רזיאל-ז'קונט	Varda Rasiel Jackont																		DBKey	Varda Rasiel Jackont|12|ורדה רזיאל-ז'קונט
13	אמנון ז'קונט	Amnon Jackont																		DBKey	Amnon Jackont|13|אמנון ז'קונט
14	נסים אלוני	Nissim Aloni																		DBKey	Nissim Aloni|14|נסים אלוני
15	איל מגד	Eyal Megged																		DBKey	Eyal Megged|15|איל מגד
16	ענר שלו	Aner Shalev																		DBKey	Aner Shalev|16|ענר שלו
17	טלה בר	Ṭalah Bar																		DBKey	Ṭalah Bar|17|טלה בר
18	יפתח אשכנזי	Yiftach Ashkenazy																		DBKey	Yiftach Ashkenazy|18|יפתח אשכנזי
19	מישקה בן דוד	Mishḳah Ben-Daṿid																		DBKey	Mishḳah Ben-Daṿid|19|מישקה בן דוד
20	עמירם חרלף	ʻAmiram Ḥarlaf																		DBKey	ʻAmiram Ḥarlaf|20|עמירם חרלף
21	דור טוקר	Dor Toker																		DBKey	Dor Toker|21|דור טוקר
22	עוזי גדור	Uzi Gdor																		DBKey	Uzi Gdor|22|עוזי גדור
23	אמונה אלון	Emunah Elon																		DBKey	Emunah Elon|23|אמונה אלון
24	מאיה ערד	Maya Arad																		DBKey	Maya Arad|24|מאיה ערד
26	נתן שורק	Nathan Sorek																		DBKey	Nathan Sorek|26|נתן שורק
27	יוסף שביט	Yosef Shaviṭ																		DBKey	Yosef Shaviṭ|27|יוסף שביט
28	קורינה הסופרת	Corinna																		DBKey	Corinna|28|קורינה הסופרת
29	נאוה סמל	Nava Semel																		DBKey	Nava Semel|29|נאוה סמל
30	יצחק וידר	Iscak Vider																		DBKey	Iscak Vider|30|יצחק וידר
31	יונתן יבין	Jonathan Yavin																		DBKey	Jonathan Yavin|31|יונתן יבין
32	פרץ בן משה סמולנסקין	Perez Smolenskin																		DBKey	Perez Smolenskin|32|פרץ בן משה סמולנסקין
33	דרור בורשטיין	Deror Burshtain																		DBKey	Deror Burshtain|33|דרור בורשטיין
34	לילך גליל אל עמי	Lilach Galil																		DBKey	Lilach Galil|34|לילך גליל אל עמי
35	נורית זרחי	Nurit Zarchi																		DBKey	Nurit Zarchi|35|נורית זרחי
36	ליה נירגד	Lia Nirgad																		DBKey	Lia Nirgad|36|ליה נירגד
37	שרה קיסנר	Sarah Kisner																		DBKey	Sarah Kisner|37|שרה קיסנר
38	יאיר וינשטוק	Yair Weinstock																		DBKey	Yair Weinstock|38|יאיר וינשטוק
39	ערן בר גיל	Eran Bar-Gil																		DBKey	Eran Bar-Gil|39|ערן בר גיל
40	אברם קנטור	Avram Kantor																		DBKey	Avram Kantor|40|אברם קנטור
41	עופרה עופר אורן	Ofra Offer																		DBKey	Ofra Offer|41|עופרה עופר אורן
42	אלה מושקוביץ-וייס	Ela Moskovits-Weiss																		DBKey	Ela Moskovits-Weiss|42|אלה מושקוביץ-וייס
43	שמאי גלנדר	Shamai Gelander																		DBKey	Shamai Gelander|43|שמאי גלנדר
44	שושנה ויג	Shoshanah Ṿig																		DBKey	Shoshanah Ṿig|44|שושנה ויג
45	חנה בת שחר	Hanna Bat Shahar																		DBKey	Hanna Bat Shahar|45|חנה בת שחר
46	אלי שרייבר	Eli Schreiber																		DBKey	Eli Schreiber|46|אלי שרייבר
47	עדי שורק	Adi Sorek																		DBKey	Adi Sorek|47|עדי שורק
