db_id	field	dbkey_value	report_value
1217	hebname	דוד בדחן פון באבער	דוד בדחן פון באבער, מאָהילעווער גוב. (דוד בדחן פון באבער, מאָהילעווער גוב.)
1605	hebname	אַוראָם אייזענבערג	אַוראָם אייזענבערג,
1682	hebname	ישראל	ישראל, פרידמאן
1835	hebname	שמואל גאָלדבפאַרבּ	שמואל גאָלדפאַרבּ
1907	hebname	א גראָדנער	א גראָדנער, א (אברהם יעקב חאש-אַבראַמאָוו)
1931	hebname	(יצחק-בער טורקאָוו) גרודבּערג	(יצחק-בער טורקאָוו) גרודבּערג, יצחק
1947	hebname	חיים גוטמאַן	חיים גוטמאַן,
1959	hebname	חיים-אהרן האפנער	חיים-אהרן האפנער,
2201	hebname	ריווקע לאפיס	ריווקע לאפיס, וואָלקענשטייין (ריטע לילינאַ)
2318	hebname	ליפּאָווסקאַ	ליפּאָווסקאַ, אסתּר [גלאַזער, וואָלסקאַ]
2598	hebname	אסתּר אׇרזשעווסקאַ	אסתּר אׇרזשעווסקאַ, אׇרזשעווסקאַיאַ (סניעגאׇוו)
3012	hebname	סאַניע בדחן [ישראל זאַרדונסקי]	סאַניע בדחן  [ישראל זאַרדונסקי]
3023	hebname	לעאָן ליאָנעק	לעאָן ליאָנעק, סטאַוו (לייבעלע הערבסט)
3079	hebname	סעמועל טאָביאַס	סעמועל טאָביאַס, סעמועל (שמואל טאַבּאַטשניקאָוו)
3252	hebname	ישראל	ישראל, וועליטשאַנסקי
3309	hebname	ראָזאַ יערמאלינאַ	ראָזאַ יערמאלינאַ, וויסמאַן (רחל יאַרמאָלינצער)
