a_xml_id	b_xml_id	decision	reviewer	reviewed_at	notes	a_heading	b_heading	composite	batch
facs_30_TextRegion_1709402283554_1191	facs_35_tr_1740520972	different	Sinai	2026-05-18T11:36:59Z		אַדלער ירמיהו [גאָלדענבערג-טווערסקי]	אַדלער, קאָטיאָ [גוראַלניק]	0.7	Pseudonym candidates (208)
facs_42_tr_1740520982	facs_356_tr_1741260406	different	Sinai	2026-05-18T11:45:41Z		אייזענבערג אהרן	וויינבערג, הערי [אהרן]	0.7	Pseudonym candidates (208)
facs_272_tr_1744280722	facs_195_tr_1736589072	different	Sinai	2026-05-18T11:45:41Z		מינץ, עליע [אליהו זאַץ]	פֿרידעס, עמיל [אליהו]	0.7	Pseudonym candidates (208)
facs_304_tr_1741260491	facs_80_tr_1733059422	different	Sinai	2026-05-18T11:45:44Z		האָכבערג, רחל [אַריעל]	אַריעל, סאָניאַ [בעזמאַן]	0.7	Pseudonym candidates (208)
facs_376_tr_1741260449	facs_56_tr_1744131366	different	Sinai	2026-05-18T11:45:48Z		ווילענסקי, מערי [מרים קאַץ]	טרילינג, מאַניע (מרים)	0.7	Pseudonym candidates (208)
facs_108_tr_1740521028	facs_384_r	different	Sinai	2026-05-18T11:46:03Z		בליפעלד יצחק	זאָלאַטאַרעפסקי, איזידאָר [יצחק]	0.65	Pseudonym candidates (208)
facs_391_tr_1744366853	facs_328_tr_1754998393	different	Sinai	2026-05-18T11:46:06Z		עלגאַרד, איזידאָר (יצחק-לייב)	קרישטאָל, לעאָן [לייב]	0.65	Pseudonym candidates (208)
facs_61_tr_1740521158	facs_252_tr_1741260224	different	Sinai	2026-05-18T11:46:09Z		אַקסעלראָד ראָזאַ	גוטענטאָג, בערטאָ [אַקסעלראָד]	0.627	Pseudonym candidates (208)
facs_34_tr_1740521031	facs_203_tr_1747929008	different	Sinai	2026-05-18T11:46:12Z		אַדלער צילע	פֿיינמאַן, דיינע	0.623	Pseudonym candidates (208)
facs_338_tr_1744365800	facs_354_tr_1739222151	different	Sinai	2026-05-18T11:46:21Z		סוזאַן (צירל גאָלדענבערג]	גאָלדענבערג, אַסתר	0.618	Pseudonym candidates (208)
facs_334_tr_1739221282	facs_173_tr_1747825113	different	Sinai	2026-05-18T11:46:31Z		גאַכאַנסקי, אַברהם	אַבראַמאָוו, א. [אַברהם קאַגאָן]	0.6	Pseudonym candidates (208)
facs_130_tr_1740521104	facs_293_tr_1744280709	different	Sinai	2026-05-18T11:46:32Z		דובינסקי, יאַקאַווקע [יעקבקע ?]	מעסטעל, יעקב	0.6	Pseudonym candidates (208)
facs_249_tr_1744280757	facs_324_tr_1744365762	different	Sinai	2026-05-18T11:46:34Z		מאָשקאָוויטש משה	סאָבסיי דוד-משה	0.6	Pseudonym candidates (208)
facs_60_tr_1740521080	facs_252_tr_1741260224	different	Sinai	2026-05-18T11:46:36Z		אַקסעלראָד, אַנעטאַ [ברענער]	גוטענטאָג, בערטאָ [אַקסעלראָד]	0.6	Pseudonym candidates (208)
facs_78_tr_1740521049	facs_360_tr_1739221925	different	Sinai	2026-05-18T11:46:37Z		באָקשיצקי,לואיס [לייב]	האָלענדער לייב	0.6	Pseudonym candidates (208)
facs_280_TextRegion_1711971594244_435	facs_231_tr_1739221360	different	Sinai	2026-05-18T11:46:38Z		גראָפּער איידאַ [בריה]	בריה, ראָזאַ	0.6	Pseudonym candidates (208)
facs_320_tr_1741260426	facs_109_tr_1744279123	different	Sinai	2026-05-18T11:46:40Z		היימאַן, לואיס [לואיס הערמאַן]	לאָסטער הערמאַן	0.6	Pseudonym candidates (208)
facs_56_tr_1744131366	facs_258_r	different	Sinai	2026-05-18T11:46:43Z		טרילינג, מאַניע (מרים)	אַרלעסקאַ, מרים [אַלטוסקי]	0.6	Pseudonym candidates (208)
facs_108_tr_1733832724	facs_592_r_4	different	Sinai	2026-05-18T11:46:45Z		בליאַכער, שבתי	בליאַכער מנחם (מיטיע)	0.6	Pseudonym candidates (208)
facs_277_tr_1741260243	facs_112_tr_1733832831	different	Sinai	2026-05-18T11:46:47Z		גראָסמאַן, וו. מ. [דוד וואָלף]	נייהוייז, וואָלף	0.59	Pseudonym candidates (208)
facs_254_tr_1741260246	facs_90_tr_1744131429	different	Sinai	2026-05-18T11:46:59Z		גורעוויטש, מרים [מינאַ]	לאַטאָוויטש, בערטאַ [ביילע גורעוויטש]	0.582	Pseudonym candidates (208)
facs_60_tr_1740521087	facs_61_tr_1740521158	different	Sinai	2026-05-18T11:47:01Z		אַקסעלראָד, מיני [בלייכמאַן]	אַקסעלראָד ראָזאַ	0.58	Pseudonym candidates (208)
