hub_id	canonical_heading	n_entries	n_db_rows	n_surfaces	entry_person_ids	db_ids	volumes	birth_date	death_date	evidence	pending_drafts	multi_db	non_person	top_surfaces
HUB-D1000	בלאַנק לעאָן	1	1	6	P-1-facs_102_r_9	1000	1	1867		ra_align	0	0	0	לעאָן בלאַנק|בלאַנק|לאָן בלאַנק|לעאָ בלאַנק|ל. בלאַנק
HUB-D1005	זיידערמאַן, דוד	1	1	1	P-5-facs_64_tr_1733059339	1005	5	1895-02-12	1943-11-03	ra_align	0	0	0	דוד זיידערמאַן
HUB-D1019	קאָמפּאַנעעץ, אַבא	1	1	3	P-6-facs_291_tr_1747928923	1019	6	1870	1946-08-13	ra_align	0	0	0	אַבאַ קאָמפּאַנעעץ|א. קאָמפּאַנעעץ|אבאַ קאָמפּאַנעיעץ
HUB-D1026	שאָר [שור], משה	1	1	1	P-4-facs_123_tr_1753936429	1026	4	1872-04-11	1949-09-28	ra_align	0	0	0	משה שאָר
HUB-D1050	וויינטרויב-גראַף, לאה	1	1	0	P-5-facs_178_tr_1736588957	1050	5	1888-09-10		ra_align	0	0	0	
HUB-D1053	וויינשטאָק, סאָפיע [פֿרידמאַן]	1	1	1	P-1-facs_362_TextRegion_1710853984376_412	1053	1	1866		ra_align	0	0	0	פּעפּי (פּערל)
HUB-D1060	זייפערט, משה	1	1	2	P-1-facs_402_tr_1739715076	1060	1	1851-05-02	1922-02-07	human_align	0	0	0	משה זייפערט|זייפערט
HUB-D1071	רייז, בנימין חיים	1	1	0	P-6-facs_97_tr_1747746189	1071	6	1863-01-03	1933-11-23	ra_align	0	0	0	
HUB-D1072	פֿיינשטיין, הערמאַן (צבי-חיים)	1	1	2	P-6-facs_101_tr_1747825157	1072	6	1861-01-26	1937-06-29	human_align	0	0	0	הערמאַן פֿיינשטיין|הערמאַן פענינשטיין
HUB-D1075	זינגער, פישל	1	1	2	P-1-facs_412_TextRegion_1710153704955_46	1075	1	1887-09-04		ra_align	0	0	0	פֿישל זינגער|פישל זיניער
HUB-D1086	עפּשטיין, פעני וואַדיאַ	1	1	2	P-2-facs_404_tr_1744366806	1086	2	1868	1913-02-08	ra_align	0	0	0	פעני וואַדיאַ עפּשטיין|פעני עפּשטיין
HUB-D1096	אַבּדול	1	1	0	P-1-facs_17_tr_1713546856	1096	1			ra_align	0	0	0	
HUB-D1097	אַבּעלמאַן, מרדכי	1	1	0	P-7-facs_74_tr_1757228890	1097	7	1909-05-25	1969-12-02	ra_align	0	0	0	
HUB-D1098	אַבּעלמאַן, ציפּע (צפּורה)	1	1	1	P-5-facs_557_tr_1739222011	1098	5			ra_align	0	0	0	צפּורה
HUB-D1099	אַבּעלסאָן, בן-ציון	1	1	0	P-5-facs_359_tr_1739221250	1099	5		1941	ra_align	0	0	0	
HUB-D1100	אַבּערמאן, יצחק [האַבער]	1	1	1	P-1-facs_17_tr_1713546853	1100	1	1882-10-07		ra_align	0	0	0	אַבראַמען
HUB-D1101	אָבראַגאַם ידאָ [פעלטענשטיין]	1	1	0	P-1-facs_18_r_8_1	1101	1	1884-07-30		ra_align	0	0	0	
