surname	n_mentions	n_resolved	n_ambiguous	n_unknown	n_candidates	family_cluster	hub_ids	headings
טאמאשעווסקי	126	18	108	0	7	1	HUB-D3071|HUB-D3072|HUB-D3073|HUB-D3604|HUB-D693|HUB-D770|HUB-D845	טאָמאַשעוו[פ]סקי, באָריס [ברוך-אהרן]|טאָמאַשעווסקי, בעסי [ברכה באומפעלד-קויפמאַן]|טאָמאַשעווסקי, הער (הערש-יונה)|טאָמאַשעווסקי, מייק (מרדכי)|טאָמאַשעווסקי, עני|טאָמאַשעווסקי, פּנחס|פינקעל, עמאַ [טאָמאַשעווסקי]
פישזאן	108	7	101	0	3	1	HUB-D1172|HUB-D3605|HUB-D3634	אַרקאַ, מאַניע [פישזאָן]|פישזאָן, אַברהם|פישזאָן, מישאַ [משה כאָסידמאַן]
אדלער	117	17	100	0	17	1	HUB-D1115|HUB-D1116|HUB-D1117|HUB-D1118|HUB-D1119|HUB-D1120|HUB-D1121|HUB-D1122|HUB-D1123|HUB-D1124|HUB-D1125|HUB-D1126|HUB-D1127|HUB-D1128|HUB-D1129|HUB-D706|HUB-D740	אַדלער בעני|אַדלער דזשוליאַ|אַדלער יוזשע|אַדלער ירמיהו [גאָלדענבערג-טווערסקי]|אַדלער סעראַ [שרה-סאָניאַ לעוויצקאַ, היינע-חיימאָוויטש]|אַדלער עמיליע [שרה-מילקע שטאָנג]|אַדלער צילע|אַדלער פֿרענציס|אַדלער, אסתר [שאצקי]|אַדלער, דזשוליוס [יואל]|אַדלער, היימאַן [באַרטפּעלד]|אַדלער, יוליוס|אַדלער, יעקב פּ. [יעקב בן פּנחס]|אַדלער, ישראל|אַדלער, סטעלאַ|אַדלער, סעם|אַדלער, קאָטיאָ [גוראַלניק]
קאמינסקי	84	8	76	0	4	1	HUB-D3610|HUB-D3612|HUB-D3613|HUB-P-2-facs_49_r_4	"טעאַטער-מוזיי א""נ פֿון אסתר-רחל קאַמינסקי ביים ייוו""א.|קאַמינסקאַ רעגינאַ|קאַמינסקי, אַברהם יצחק|קאָמינסקי, אַסתר-רחל [האַלפערן]"
קעסלער	81	7	74	0	2	1	HUB-D721|HUB-D761	קעסלער יאָזעף|קעסלער, דוד
גאלדפאדען	198	134	64	0	7	0	HUB-D1830|HUB-D1831|HUB-D1832|HUB-D1833|HUB-D1834|HUB-D804|HUB-P-1-facs_174_region_1715799875093_402	גאָלדפאַדען, וואָלף|גאָלדפֿאַדען יידל [איליאַ גאָלדענפֿאָדים]|גאָלדפֿאַדען פאַולינע [פּאָליע ווערבעל]|גאָלדפֿאַדען, אַברהם [גאָלדענפֿאָדים]|גאָלדפֿאַדען, נפתלי [גאָלדענפֿאָדים]|גאָלדפֿאַדען, שמעיה [גאָלדענפֿאָדים]|געצייכנט פון אברהם גאָלדפאַדען
שווארץ	60	1	59	0	10	0	HUB-D2859|HUB-D2860|HUB-D2861|HUB-D2862|HUB-D2863|HUB-D2864|HUB-D2865|HUB-D2866|HUB-D3756|HUB-D3793	זיגמונד שוואַרץ|שוואַרץ פעני [גלאַזער, גרינבערג]|שוואַרץ, אַדעלאַ [פינקעלשטיין]|שוואַרץ, וויליאָם|שוואַרץ, לאה [שאַצקי]|שוואַרץ, מאַרגאַרעטאַ|שוואַרץ, מאָריס [אַברהם משה]|שוואַרץ, מאיר|שוואַרץ, מרדכי|שוואַרץ, סעם
גאלדפאדן	54	0	54	0	7	0	HUB-D1830|HUB-D1831|HUB-D1832|HUB-D1833|HUB-D1834|HUB-D804|HUB-P-1-facs_174_region_1715799875093_402	גאָלדפאַדען, וואָלף|גאָלדפֿאַדען יידל [איליאַ גאָלדענפֿאָדים]|גאָלדפֿאַדען פאַולינע [פּאָליע ווערבעל]|גאָלדפֿאַדען, אַברהם [גאָלדענפֿאָדים]|גאָלדפֿאַדען, נפתלי [גאָלדענפֿאָדים]|גאָלדפֿאַדען, שמעיה [גאָלדענפֿאָדים]|געצייכנט פון אברהם גאָלדפאַדען
הירשביין	56	4	52	0	2	1	HUB-D2006|HUB-D2275	גלאַנץ, א.|הירשביין, פרץ
מאשקאוויטש	51	0	51	0	13	1	HUB-D2407|HUB-D2408|HUB-D2409|HUB-D2512|HUB-D2513|HUB-D2514|HUB-D2515|HUB-D2516|HUB-D2517|HUB-D2518|HUB-D2519|HUB-D3526|HUB-P-5-facs_617_r_9	ייהודית מרים שייווער מאַרקאָוויטש|מאַרקאָוויטש משה|מאַרקאָוויטש, יוסף|מאַרקאָוויטש, לואי [ישראל-לייב מאָרדקאָוויטש]|מאָסקאָוויטש ראָמאַנער, יעקב-יוסף|מאָשקאָוויטש משה|מאָשקאָוויטש, איטשע מאיר|מאָשקאָוויטש, אסתר [געליבטער, גאָטליב]|מאָשקאָוויטש, יאָסעלע|מאָשקאָוויטש, מאַקס|מאָשקאָוויטש, מאָריס|מאָשקאָוויטש, נאַדיאַ [גורעוויטש]|מאָשקאָוויטש, פּאַשאַ (באַסיאַ?]
זאנדבערג	52	2	50	0	4	1	HUB-D3347|HUB-D3348|HUB-D3349|HUB-D3449	זאַנדבערג, יוליאַ [טויבע-איטע ספּעקטאָר]|זאַנדבערג, יצחק|זאַנדבערג, משה|זאַנדבערג, צעשיאַ [ראדאָלניק]
