evidence	best_sim	surname	n_mentions	family_cluster	n_candidates	hub_id	canonical_heading	hub_occurrences	matched_on
fuzzy	0.375	עפעלבערג	10	0	2	HUB-D2869	סקולער צבי	13	spelling similarity only
fuzzy	0.667	אניע	2	0	2	HUB-D1156	אַניעלאַ [חנה קאמפּאנעיעץ-פּאָליאַקאָוו]	3	spelling similarity only
fuzzy	0.727	ליפאוויעצקי	3	1	3	HUB-D2319	ליפּאָווסקי, נחוּם	25	spelling similarity only
fuzzy	0.75	ראפטשיין	1	0	2	HUB-D2788	ראָטשטיין פעליאַ	16	spelling similarity only
fuzzy	0.778	דזשעיקאבס	1	0	3	HUB-D3606	שיף דזשייקאָב ר.	12	spelling similarity only
fuzzy	0.8	קאמפאניעעץ	16	0	5	HUB-D2133	קאָמפּאַנעיעץ, מאַקס [מרדכי, מאָטעק]	58	spelling similarity only
fuzzy	0.8	גאלדפאדענס	3	0	2	HUB-D1833	גאָלדפאַדען, וואָלף	8	spelling similarity only
fuzzy	0.8	גאלדפאדענס	3	0	2	HUB-P-1-facs_174_region_1715799875093_402	געצייכנט פון אברהם גאָלדפאַדען	6	spelling similarity only
fuzzy	0.818	זאסלאווסקין	9	1	4	HUB-D3354	זאַסלאָווסקאַ, בערטאָ [באַסיע לעווין]	40	spelling similarity only
fuzzy	0.818	גאלדענבערגן	1	1	6	HUB-D1829	גאָלדענבורג, סעמיועל [שלום גאָלדשטיין]	89	spelling similarity only
fuzzy	0.833	זאסלאווסקין	9	1	4	HUB-D3355	זאָסלאָווסקאַיאָ, וויעראָ	21	spelling similarity only
fuzzy	0.889	קאמפאניעץ	6	0	4	HUB-D1019	קאָמפּאַנעעץ, אַבא	19	spelling similarity only
fuzzy	0.889	קאמפאניעץ	6	0	4	HUB-D2131	קאָמפּאַנעעץ, ישראל	0	spelling similarity only
fuzzy	0.889	קאמפאניעץ	6	0	4	HUB-D2132	קאָמפּאַנעעץ, לאה [גאָטליב]	10	spelling similarity only
fuzzy	0.889	גאלדפאדעם	5	0	7	HUB-D1831	גאָלדפֿאַדען פאַולינע [פּאָליע ווערבעל]	2	spelling similarity only
fuzzy	0.889	גאלדפאדעם	5	0	7	HUB-D1832	גאָלדפֿאַדען, שמעיה [גאָלדענפֿאָדים]	3	spelling similarity only
fuzzy	0.889	גאלדפאדעם	5	0	7	HUB-D1833	גאָלדפאַדען, וואָלף	8	spelling similarity only
fuzzy	0.889	גאלדפאדעם	5	0	7	HUB-D1834	גאָלדפֿאַדען יידל [איליאַ גאָלדענפֿאָדים]	0	spelling similarity only
fuzzy	0.889	גאלדפאדעם	5	0	7	HUB-D804	גאָלדפֿאַדען, אַברהם [גאָלדענפֿאָדים]	228	spelling similarity only
fuzzy	0.889	גאלדפאדעם	5	0	7	HUB-P-1-facs_174_region_1715799875093_402	געצייכנט פון אברהם גאָלדפאַדען	6	spelling similarity only
fuzzy	0.889	שטיינבערג	5	0	3	HUB-D3797	שטיינבאַרג אַליעזר	4	spelling similarity only
fuzzy	0.889	וויינבערג	4	0	15	HUB-D3167	ווייסבערג, פֿייוול	0	spelling similarity only
fuzzy	0.889	וויינבערג	4	0	15	HUB-D3168	ווייסבערג, סעם	0	spelling similarity only
fuzzy	0.889	וויינבערג	4	0	15	HUB-D3249	ווייסבערג, לואיס	0	spelling similarity only
fuzzy	0.889	וויינבערג	4	0	15	HUB-D3250	ווייסבערג רחל	4	spelling similarity only
fuzzy	0.889	וויינבלאט	3	0	4	HUB-D3178	וועריטע, ס. [ס. ווייסבלאַט]	5	spelling similarity only
fuzzy	0.889	ווייסבלאט	3	0	4	HUB-D3219	וויינבלאַט, טשאַרלס [קלמן]	1	spelling similarity only
fuzzy	0.889	ווייסבלאט	3	0	4	HUB-D713	וויינבלאַט, ישראל [וואורצל]	4	spelling similarity only
fuzzy	0.889	ווייסבלאט	3	0	4	HUB-P-1-facs_356_r	וויינבלאַט, סאַבינאַ	5	spelling similarity only
fuzzy	0.889	זילבערמאז	3	0	6	HUB-D2034	האָראָוויץ-זילבערמאַן, עדיט	1	spelling similarity only
fuzzy	0.889	זילבערמאז	3	0	6	HUB-D3399	זילבּערמאַן, קאַרל	0	spelling similarity only
fuzzy	0.889	זילבערמאז	3	0	6	HUB-D3441	זילבּערמאַן, עלאַ [זיגלער]	0	spelling similarity only
fuzzy	0.889	זילבערמאז	3	0	6	HUB-D701	זילבערמאַן, מאָריס, דר	0	spelling similarity only
fuzzy	0.889	זילבערמאז	3	0	6	HUB-D717	זילבערמאַן, אַסתר	12	spelling similarity only
fuzzy	0.889	לעווינסאן	3	0	2	HUB-D2267	לעווינזאָן, לודווייג (אַריה-לייב)	2	spelling similarity only
fuzzy	0.889	ווייסבערג	2	0	15	HUB-D3149	וויינבערג, דר	1	spelling similarity only
fuzzy	0.889	ווייסבערג	2	0	15	HUB-D3150	וויינבערג, קאַרל [חיים הערבסט]	0	spelling similarity only
fuzzy	0.889	ווייסבערג	2	0	15	HUB-D3151	וויינבערג, סאלטשע [שרה ליכט]	11	spelling similarity only
fuzzy	0.889	ווייסבערג	2	0	15	HUB-D3152	וויינבערג, שמואל	4	spelling similarity only
fuzzy	0.889	ווייסבערג	2	0	15	HUB-D3153	וויינבערג, סאָניאַ [קאַרל]	2	spelling similarity only
fuzzy	0.889	ווייסבערג	2	0	15	HUB-D3214	וויינבערג, הערי [אהרן]	7	spelling similarity only
fuzzy	0.889	ווייסבערג	2	0	15	HUB-D3215	וויינבערג, הערמאַן	9	spelling similarity only
fuzzy	0.889	ווייסבערג	2	0	15	HUB-D3216	וויינבערג, קאַרל [חיים הערבסט]	0	spelling similarity only
fuzzy	0.889	ווייסבערג	2	0	15	HUB-D3217	וויינבערג, משה	9	spelling similarity only
fuzzy	0.889	ווייסבערג	2	0	15	HUB-D3218	וויינבערג, ישעיהו-דניאל [ס. ד.]	0	spelling similarity only
fuzzy	0.889	ווייסבערג	2	0	15	HUB-P-6-facs_656_r	דזשעני וויינבערג	0	spelling similarity only
fuzzy	0.889	גאלדפארען	1	0	7	HUB-D1830	גאָלדפֿאַדען, נפתלי [גאָלדענפֿאָדים]	19	spelling similarity only
fuzzy	0.889	גאלדפארען	1	0	7	HUB-D1831	גאָלדפֿאַדען פאַולינע [פּאָליע ווערבעל]	2	spelling similarity only
fuzzy	0.889	גאלדפארען	1	0	7	HUB-D1832	גאָלדפֿאַדען, שמעיה [גאָלדענפֿאָדים]	3	spelling similarity only
fuzzy	0.889	גאלדפארען	1	0	7	HUB-D1833	גאָלדפאַדען, וואָלף	8	spelling similarity only
fuzzy	0.889	גאלדפארען	1	0	7	HUB-D1834	גאָלדפֿאַדען יידל [איליאַ גאָלדענפֿאָדים]	0	spelling similarity only
