event_id	event_type	play_id	venue_id	org_id	place_id	date_start	date_end	date_precision	production_key	provenance_person_id	provenance_fact_ids	evidence_sentence	extraction_model	confidence	review_status
event:EV-0001	premiere	play:PL-0138	venue:UV-0001	org:44	place:Q19660	1877-04-24		day	cb65c3b05e	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#2|P-1-facs_312_TextRegion_1708860417410_829:1#3	שבת דען 24-טן אַפּריל 1877 ווירד געשפּילט ווערדן פיר דאָס ערשטע מאַל דער טיראַנישער באַנקער איינע מעלאָדראמע אין דריי אַקטן אונד 10 טאָבלאען [סצענעס] מיט געזאַנג אונד טאַנץ פאַרפאַסט פאָן משה האָראָוויטץ	gemini-3-flash-preview	high	auto
event:EV-0002	production	play:PL-0063			place:Q19660	1878		year	ddc9148952	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#4|P-2-facs_154_tr_1744279071:1#2|P-4-facs_270_tr_1754998435:1#1	געעפנט האָט מען מיט דער פּיעסע „דאָס פּוילישע יינגל“	gemini-3-flash-preview	high	auto
event:EV-0003	production	play:PL-0188	org:125		place:Q60	1886		year	3cc7323af2	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#7	וואו מען האָט אויפגעפירט זיין פּיעסע „טיסא עסלער“ (מוזיק פון ז. מאָגולעסקאָ, ראָל דר. עדוויש דער מחבר)	gemini-3-flash-preview	high	auto
event:EV-0004	production	play:PL-0188	venue:UV-0002		place:Q46852	1913		year	3abffddac3	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#10	"יעקב מעסטעל ניט איבער, אַז אין 1913 האָט ער אין „פּאמול ווערדי“ יאסי (דיר. אשכנזי רעזש. לאַרעסקו), געשפּילט אין דערזעלבער פּיעסע א""נ „טיסא עסלער“"	gemini-3-flash-preview	high	auto
event:EV-0005	production	play:PL-0270	org:125		place:Q60	1887		year	07c1e21ebb	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#11	ה.'ס צווייטע פּיעסע איז געווען שלמה המלך, אָדער די ליבע אויס שיר השירים	gemini-3-flash-preview	high	auto
event:EV-0006	production	play:PL-0223			place:Q60	1887		year	fb9470c790	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#12	האָט מען אין צווייטן טעאַטער אויפגעפירט אַן ענלעכע פּיעסע „משפּט שלמה“ פון דעם דאָרטיק-אָנגעשטעלטן דראַמאַטורג יאזעף לאטיינער	gemini-3-flash-preview	high	auto
event:EV-0007	production	play:PL-0051	org:125		place:Q60	1887		year	fe6b78b76c	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#13	אין זעלבן יאָר (1887) איז אין זעלבן טעאַטער נאָך אויפגעפירט געוואָרן ה.'ס „דאָן יאָזעף אברבנל“ אין 4 אַקטן	gemini-3-flash-preview	high	auto
event:EV-0008	production	play:PL-0161	org:125		place:Q60	1887		year	2d9d8ac488	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:1#14	האָט מען אין „רומעניע אָפּערע-הויז“ אויפגעפירט אַ נייע פּיעסע פון הורוויץ הלוי מיט דעם נאָמען „דער שבתי צבי“	gemini-3-flash-preview	high	auto
event:EV-0009	production	play:PL-0035	org:134		place:Q60	1901-09	1901-10	month	f96cff0aa9	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:3#1	"אין ווינדזאָר טעאַטער האָט מען אויפֿגעפֿירט (סעפּטעמבער-אַקטאָבער 1901) אַ שטיק מיטן נאָמען ""בן הדור"" פֿון מ. הורוויטש"	gemini-3-flash-preview	high	auto
event:EV-0010	production	play:PL-0158	org:134		place:Q60	1902-03		month	6b7a21d69e	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:3#4	אין 1902 — [אין מערץ] „די צוויי תנאים, היסט. אָפּער.“, „דער פייער-מבול, אָדער די יידן אין סענט פּיער, צייטבילד“	gemini-3-flash-preview	high	auto
event:EV-0011	production	play:PL-0244	org:134		place:Q60	1902-03		month	f7806f925b	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:3#5	אין 1902 — [אין מערץ] „די צוויי תנאים, היסט. אָפּער.“	gemini-3-flash-preview	high	auto
event:EV-0012	production	play:PL-0146	org:134		place:Q60	1902		year	68a8d8773c	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:3#6	און „דער לאדזשען⸗פּרעזידענט, געזאַנג-דראמע‟	gemini-3-flash-preview	high	auto
event:EV-0013	production	play:PL-0073	org:134		place:Q60	1904		year	51a2395911	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:3#7	אין 1904 — „די בני ישראל, אָדער די ווייסע און שוואַרצע יידן (די פאַר לוירענע עשרת השבטים), היסט. אָפּער.“	gemini-3-flash-preview	high	auto
event:EV-0014	production	play:PL-0250	org:134		place:Q60	1904		year	dab45869e6	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:3#8	קאצאָפּס מפּלה, אָדער יאַפּאַן דער שליח פון גאָט, צייטבילד“	gemini-3-flash-preview	high	auto
event:EV-0015	production	play:PL-0270	venue:UV-0003		place:Q60	1928-11-27		day	1ab25a826d	P-1-facs_312_TextRegion_1708860417410_829	P-1-facs_312_TextRegion_1708860417410_829:3#36	לעאָן בּלאַנק— „פּראָפעסאָר“ הורוויץ און שלמה המלך“ אויף דער באוערי „פאַרוו.“ 27 נאָוו., 1928	gemini-3-flash-preview	medium	auto
event:EV-0016	premiere	play:PL-0243			place:Q46852	1876		year	0397ba57dd	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:1#2|P-2-facs_90_tr_1744131428:1#3|P-2-facs_90_tr_1744131428:1#4	ל.'ס ערשטע קאָמעדיע איז אויפגעפירט געוואָרן נאָך אין 1876 אין יאַסי	gemini-3-flash-preview	high	auto
event:EV-0017	production	play:PL-0148	org:117		place:Q1874	1881		year	3cfaa857e9	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:1#11	אָבּער בּאַלד ווי מען האָט זי אָנגעהויבּן שפּילן (1881) איז, צוליבּ דער דערמאָרדונג פון אַלעקסאנדער דער צווייטער, פאַרווערט געוואָרן צו שפּילן יידיש טעאַטער	gemini-3-flash-preview	high	auto
event:EV-0018	production	play:PL-0023			place:Q60	1884		year	5d05540c94	P-2-facs_90_tr_1744131428	P-2-facs_90_tr_1744131428:1#13	"„אסתּר און המן“, און בּאַלד ""יוסף און זיינע בּרידער“... בּיידע געשפּילט אין 1884"	gemini-3-flash-preview	high	auto
