node_id	node_type	label_yiddish	label_english	ext_ref_type	ext_ref_id	secondary_ids	match_status	notes	source_layer	attrs
play:PL-0001	play	400 יאָר		plays_db	PL-0001		matched		plays	
person:683	person	יאָזעף לאַטיינער	Joseph Lateiner	people_db	683	entry_person_id:P-2-facs_90_tr_1744131428	matched		plays	"{""entry_type"": ""writer"", ""volume"": ""2"", ""span"": ""964-990"", ""birth_date"": ""1853-12-25"", ""credit"": ""ש. ע.""}"
play:PL-0002	play	א טאָג פאר דער מאמע		plays_db	PL-0002		matched		plays	
play:PL-0003	play	אַ גן-עדן פֿאַר צוויי		plays_db	PL-0003		matched		plays	
play:PL-0004	play	אַ יאָר נאָך דער חתונה		plays_db	PL-0004		matched		plays	
play:PL-0005	play	אַ יידישע נשמה אָדער אויסגעוואקסן אין קלויסטער		plays_db	PL-0005		matched		plays	
person:684	person	פּראָפעסאָר משה איש הלוי הורוויץ	Moyshe (Ish Halevi) Hurwitz	people_db	684	entry_person_id:P-1-facs_312_TextRegion_1708860417410_829	matched	upgraded from person_entry:P-1-facs_312_TextRegion_1708860417410_829	plays	"{""entry_type"": ""writer"", ""volume"": ""1"", ""span"": ""591-605"", ""birth_date"": ""1844-02-27"", ""death_date"": ""1910-03-04""}"
play:PL-0006	play	אַ לוסטיקע מינוט		plays_db	PL-0006		matched		plays	
play:PL-0007	play	אַ מאַמע פֿון יענער וועלט		plays_db	PL-0007		matched		plays	
play:PL-0008	play	אַ מוטער האַרץ		plays_db	PL-0008		matched		plays	
play:PL-0009	play	אַ פֿונק ייִדישקייט		plays_db	PL-0009		matched		plays	
play:PL-0010	play	אַ קרבן פֿון ליבע		plays_db	PL-0010		matched		plays	
play:PL-0011	play	אברהם אבינו אין קאַלך אויוון		plays_db	PL-0011		matched		plays	
play:PL-0012	play	אדם וחוה אָדער דער פֿארלוירענער גן-עדן		plays_db	PL-0012		matched		plays	
play:PL-0013	play	אהבת ציון		plays_db	PL-0013		matched		plays	
play:PL-0014	play	אומערלעכע מוטער		plays_db	PL-0014		matched		plays	
play:PL-0015	play	אונקלס הגר		plays_db	PL-0015		matched		plays	
play:PL-0016	play	איר ווידוי		plays_db	PL-0016		matched		plays	
play:PL-0017	play	איר לעצטע טאנץ		plays_db	PL-0017		matched		plays	
play:PL-0018	play	אישה רע		plays_db	PL-0018		matched		plays	
play:PL-0019	play	אליהו הנביא, אָדער דער מיליאָנער און בעטלער פאַנטאַסטישע אָפּערעטע אין 5 אַקטן און פּראָלאָג		plays_db	PL-0019		matched		plays	
play:PL-0020	play	אליהו הנביאס שלאָף-מיצל		plays_db	PL-0020		matched		plays	
play:PL-0021	play	אלכּסנדר אָדער קרוינפּרינץ פֿון ירושלים		plays_db	PL-0021		matched		plays	
play:PL-0022	play	אלעקסאַנדער מוקדון		plays_db	PL-0022		matched		plays	
play:PL-0023	play	אסתּר און המן		plays_db	PL-0023		matched		plays	
play:PL-0024	play	אפֿרים און מנשה		plays_db	PL-0024		matched		plays	
play:PL-0025	play	ארץ ישראל ליבע אָדער דער רבי און דער צאר		plays_db	PL-0025		matched		plays	
play:PL-0026	play	אשת-חיל		plays_db	PL-0026		matched		plays	
play:PL-0027	play	באָס און אַרבעטער		plays_db	PL-0027		matched		plays	
play:PL-0028	play	באָרניי באַרנאַטא, לעבענסבילד		plays_db	PL-0028		matched		plays	
play:PL-0029	play	באראָן ראָטשילד		plays_db	PL-0029		matched		plays	
play:PL-0030	play	בועז אונד רות		plays_db	PL-0030		matched		plays	
play:PL-0031	play	בוקאַרעשטער פּונגאַש		plays_db	PL-0031		matched		plays	
play:PL-0032	play	בית דוד		plays_db	PL-0032		matched		plays	
play:PL-0033	play	בית יעקב אבינו, אָדער שמעון און לוי אחים		plays_db	PL-0033		matched		plays	
play:PL-0034	play	בלימעלע די פּערל פֿון וואַרשע, אָדער גראַף און ייִד [יודע]		plays_db	PL-0034		matched		plays	
play:PL-0035	play	בן הדור		plays_db	PL-0035		matched		plays	
play:PL-0036	play	בן המלך		plays_db	PL-0036		matched		plays	
play:PL-0037	play	בן יעקבֿ		plays_db	PL-0037		matched		plays	
play:PL-0038	play	בן ישראל		plays_db	PL-0038		matched		plays	
play:PL-0039	play	בני משה, אָדער, די יידן אין כינע		plays_db	PL-0039		matched		plays	
play:PL-0040	play	בעליזאַריע און איזאַבעל		plays_db	PL-0040		matched		plays	
play:PL-0041	play	ברכה, אָדער דער יידישער קעניג פון פּוילן אויף איין נאַכט		plays_db	PL-0041		matched		plays	
play:PL-0042	play	בת יפתח		plays_db	PL-0042		matched		plays	
play:PL-0043	play	בת כהן		plays_db	PL-0043		matched		plays	
play:PL-0044	play	בת מלכה		plays_db	PL-0044		matched		plays	
play:PL-0045	play	בת-שבֿע		plays_db	PL-0045		matched		plays	
play:PL-0046	play	גאָלדעלע		plays_db	PL-0046		matched		plays	
play:PL-0047	play	גבריאל		plays_db	PL-0047		matched		plays	
play:PL-0048	play	גבריאל, אָדער די ליבע פֿון אַ ייִדישער פֿרוי		plays_db	PL-0048		matched		plays	
play:PL-0049	play	גדליה בן אחיקום		plays_db	PL-0049		matched		plays	
play:PL-0050	play	גלות רוסלאַנד		plays_db	PL-0050		matched		plays	
play:PL-0051	play	דאָן יאָזעף אברבנל		plays_db	PL-0051		matched		plays	
play:PL-0052	play	דאָס ייִדישע האַרץ		plays_db	PL-0052		matched		plays	
play:PL-0053	play	דאָס לעבן אין ניו-יאָרק		plays_db	PL-0053		matched		plays	
play:PL-0054	play	דאָס לעבן אין קלאָנדײַק		plays_db	PL-0054		matched		plays	
play:PL-0055	play	דאָס פֿינפֿטע געבאָט		plays_db	PL-0055		matched		plays	
play:PL-0056	play	דאָס ציגײַנער מיידל		plays_db	PL-0056		matched		plays	
play:PL-0057	play	דאָס קינד אין וואַלד		plays_db	PL-0057		matched		plays	
play:PL-0058	play	דאס גאָלדענע לייטערל		plays_db	PL-0058		matched		plays	
play:PL-0059	play	דאס גאָלדענע קאלב		plays_db	PL-0059		matched		plays	
play:PL-0060	play	דאס הויז פון סודות		plays_db	PL-0060		matched		plays	
play:PL-0061	play	דאס הייליגע רבילע		plays_db	PL-0061		matched		plays	
play:PL-0062	play	דאס יודישע קינד		plays_db	PL-0062		matched		plays	
play:PL-0063	play	דאס פּוילישע יינגל		plays_db	PL-0063		matched		plays	
play:PL-0064	play	דאס פּוילישע מלמדל		plays_db	PL-0064		matched		plays	
play:PL-0065	play	דאס פערלארענע גליק		plays_db	PL-0065		matched		plays	
