fact_id	person_id	xml_id	source	window_id	hit_ids	play_title_surface	play_id_hint	fact_type	person_surface	person_role	character	org_surface	venue_surface	settlement_surface	country	date_start	date_end	date_precision	evidence_quote	evidence_ok	confidence	model	drafted_at	notes
P-1-facs_101_tr_1740521158:1#1	P-1-facs_101_tr_1740521158	facs_101_tr_1740521158	gemini_window	P-1-facs_101_tr_1740521158:1	HIT-00001	יונה הנביא	PL-0198	production	[HOST]	actor				גאָלאַץ	Romania	1895		year	"אין 1895 טרעט ער אַריין אין דער טרופּע, וואָס טרייטלער שטעלט צונויף פֿון לאָקאַלע כחות, מיט וועלכער ער פֿירט אויף זיין פּיעסע ""יונה הנביא"""	yes	high	gemini-3-flash-preview	2026-07-25T17:08:44+00:00	
P-1-facs_101_tr_1740521158:1#2	P-1-facs_101_tr_1740521158	facs_101_tr_1740521158	gemini_window	P-1-facs_101_tr_1740521158:1	HIT-00001	יונה הנביא	PL-0198	authorship	טרייטלער	author				גאָלאַץ	Romania	1895		year	"טרייטלער שטעלט צונויף פֿון לאָקאַלע כחות, מיט וועלכער ער פֿירט אויף זיין פּיעסע ""יונה הנביא"""	yes	medium	gemini-3-flash-preview	2026-07-25T17:08:44+00:00	The text attributes the play to Treitler ('זיין פּיעסע'), though the registry lists Hurwitz as the claimed author.
P-1-facs_102_r_9:1#1	P-1-facs_102_r_9	facs_102_r_9	gemini_window	P-1-facs_102_r_9:1	HIT-00002|HIT-00003	כל נדרי		mention_only	קעסלער	actor					USA			none	"פאָרטרעט ב. דעם קראַנק-געוואָרענעם קעסלער אין שאַרקאַנסקיס „כל נדרי"""	no	high	gemini-3-flash-preview	2026-07-25T17:08:47+00:00	The text explicitly attributes this version of 'Kol Nidre' to Sharkansky, not Hurwitz.
P-1-facs_102_r_9:1#2	P-1-facs_102_r_9	facs_102_r_9	gemini_window	P-1-facs_102_r_9:1	HIT-00002|HIT-00003	כל נדרי		production	[HOST]	actor					USA			none	"פאָרטרעט ב. דעם קראַנק-געוואָרענעם קעסלער אין שאַרקאַנסקיס „כל נדרי"""	no	high	gemini-3-flash-preview	2026-07-25T17:08:47+00:00	Blank substituted for Kessler in Sharkansky's play.
P-1-facs_102_r_9:1#3	P-1-facs_102_r_9	facs_102_r_9	gemini_window	P-1-facs_102_r_9:1	HIT-00002|HIT-00003	דודס פידעלע	PL-0070	authorship	לאַטיינער	author								none	לאַטיינערס „דודס פידעלע“	yes	high	gemini-3-flash-preview	2026-07-25T17:08:47+00:00	
P-1-facs_102_r_9:1#4	P-1-facs_102_r_9	facs_102_r_9	gemini_window	P-1-facs_102_r_9:1	HIT-00002|HIT-00003	דודס פידעלע	PL-0070	production	[HOST]	actor	ר' טוביה ניו				USA	1897		year	ערשט 1897, ווען ער שפּילט „ר' טוביה ניו“ אין לאַטיינערס „דודס פידעלע“, צוט ער אויף זיך די אויפֿמערקזאָמקייט פֿון דער קריטיק	yes	high	gemini-3-flash-preview	2026-07-25T17:08:47+00:00	
P-1-facs_102_tr_1740521060:1#1	P-1-facs_102_tr_1740521060	facs_102_tr_1740521060	gemini_window	P-1-facs_102_tr_1740521060:1	HIT-00004	דיבוק	PL-0133	production	[HOST]	actor	יוקעל גבאי	לאטיינערס און מאָגולעסקאָס טרופּע	מאָרינסקי-טעאַטער	אָדעם		1889		year	"געקומען מיט לאטיינערס און מאָגולעסקאָס טרופּע קיין אָדעם אין 1889, און געשפּילט אין מאָרינסקי-טעאַטער. זיין כעסטע ראָל אין וועלכער ער האָט געהאָט אָ גרויסן דערפֿאָלג איז געווען ""יוקעל גבאי"" אין לאַטיינערס „דיבוק"""	yes	high	gemini-3-flash-preview	2026-07-25T17:08:49+00:00	The text attributes this 'Dybbuk' to Lateiner, though the registry associates the ID with Hurwitz; it is clearly not the Anski play given the 1889 date.
P-1-facs_102_tr_1740521060:1#2	P-1-facs_102_tr_1740521060	facs_102_tr_1740521060	gemini_window	P-1-facs_102_tr_1740521060:1	HIT-00004	דיבוק	PL-0133	authorship	לאַטיינער	author								none	"לאַטיינערס „דיבוק"""	yes	high	gemini-3-flash-preview	2026-07-25T17:08:49+00:00	Text explicitly attributes the play to Lateiner.
P-1-facs_102_tr_1740521064:1#1	P-1-facs_102_tr_1740521064	facs_102_tr_1740521064	gemini_window	P-1-facs_102_tr_1740521064:1	HIT-00005	חתן כלה מזל-טוכ		mention_only	ליליען	author			ליריק-טעאַטער			1928	1929	year	"אין 1928-9 אין ליריק-טעאַטער זיינע אָפּערעטן „אַ מלכה אָן אַ מלך“ (טעקסט פון א. ליליען), „רייזעלע פֿון טשייניטאן“ (טעקסט פֿון סיגל), „חתן כלה מזל-טוכ"" (טעקסט פון ליליען)"	yes	high	gemini-3-flash-preview	2026-07-25T17:08:51+00:00	The text explicitly attributes this 'Khosn Kale' variant to Lilien, not Hurwitz. It is likely a different work or a new adaptation.
P-1-facs_103_tr_1740521114:1#1	P-1-facs_103_tr_1740521114	facs_103_tr_1740521114	gemini_window	P-1-facs_103_tr_1740521114:1	HIT-00006	איר לעצטער טאַנץ	PL-0017	authorship	[HOST]	author						1927-12-07		day	"דעם 7טן דעצ. 1927 איז אין האָפּקינסאָן-טעאָטער אויפֿגעפֿירט געוואָרן זיין דראַמע „איר לעצטער טאַנץ"""	yes	high	gemini-3-flash-preview	2026-07-25T17:08:54+00:00	The text attributes the play to the HOST (Abraham Blum), contradicting the registry's attribution to Lateiner.
