slot	surface	auto_link	auto_status	auto_method	n_facts	example_fact_id	example_evidence	decision	decided_link	reviewer_notes	reviewer	reviewed_at
person	הערמאַן יאַבלאָקאָוו	person:UP-0474	unmatched	mentions	11	M-3-facs_36_tr_1752653032-012	ער איז געווען דער דירעקטאָר פונעם טעאַטער וואו דער סוביעקט האָט געשפּילט.					
person	אַדלער	person:UP-0060	unmatched	mentions	7	M-3-facs_21_tr_1752653037-035	דער באַרימטער אַקטיאָר וואָס ווערט דערמאָנט אין טעקסט.			draft candidates: person:1118(אסתר אַדלער (שאַצקי)) | person:1120(היימאַן אַדלער (בּאַרטפעלד)) | person:1122(דזשוליא אַדלער) | person:1123(יוליוס אַדלער) | person:1127(סטעלאַ אַדלער) | person:988(סטעלא אדלער)		
person	שלום עליכמס	person:UP-0558	unmatched	mentions	7	M-3-facs_116_tr_1754820291-045	דער סוביעקט האָט אויפגעפירט זיין ווערק.			draft (fuzzy): שלום עליכם / Sholem-Aleykhem — confirm → ALIGN person:383		
person	מאָריס שוואַרצס	person:UP-0586	unmatched	mentions	7	M-3-facs_125_tr_1754820300-014	דער סוביעקט האָט געשפּילט אין זיין טעאַטער און טרופּע.			draft candidates: person:2507(מאָריס) | person:2863(מאָריס שוואַרץ)		
person	יצחק רויטבלום	person:UP-0341	unmatched	mentions	6	M-3-facs_16_tr_1752653044-001	ער האָט רעזשיסירט די פּיעסע „דער בינשטאָק“.			draft candidates: person:3413(יצחק יצחק) | person:3817(יצחק ראָטבלום (רויטבּלום))		
person	גאָלדענבורג	person:UP-0066	unmatched	mentions	6	M-3-facs_20_tr_1752653058-005	ער האָט מיטגעשפּילט מיט דעם סוביעקט.			draft candidates: person:1825(הערשל גאָלדענבּורג (קאַליגראַף)) | person:1826(איציקל גאָלדענבּורג) | person:1827(שפרה גאָלדענבּורג (האַזענבערג))		
person	*פֿאָטער	person:UP-0046	unmatched	mentions	6	M-3-facs_115_tr_1753726015-001	פֿאָטער פֿון דעם סוביעקט.					
person	גאָרדינס	person:UP-0198	unmatched	mentions	6	M-3-facs_115_tr_1753726015-002	מחבר פֿון פּיעסעס אין וועלכע דער סוביעקט האָט געשפּילט.					
person	ישראל ראָזענבערג	person:UP-0614	unmatched	mentions	6	M-3-facs_128_tr_1754820291-001	ישראל ראָזענבערג איז איינער פֿון די עלטערן פֿון דער סוביעקט.			draft candidates: person:2776(ישראל ראָזענבּערג (אַמעריקע)) | person:3630(ישראל ראָזענבּערג (רוסלאַנד))		
person	סימאָר רעכטצייט	person:UP-1182	unmatched	mentions	6	M-3-facs_317_tr_1756045226-019	זי האָט געשפּילט מיט אים אין ברוקלינער האָפּקינסאָן טעאַטער.			draft (variant): סימאָר רעכטצייט (שמעון, ישעיה) / Seymour Rechtzeit — confirm → ALIGN person:2742		
