hit_id	play_id	author_db_id	matched_segment	matched_surface	tier	source	person_id	volume	heading	mention_id	char_start	char_end	context_before	context_after	author_comention	ambiguity_flag	hit_status
HIT-00001	PL-0198	684	יונה הנביא	יונה הנביא	A	entry_text	P-1-facs_101_tr_1740521158	1	בירנבערג, יעקב		307	317	"געב. 9 יולי 1879 אין גאָלאַץ, רומעניע. פֿאָטער — אַ קאָרסעט-פֿאָבריקאָנט. געענדיקט 4 קלאָסן עלעמענטאָר-שול, געלערנט אין אַ קאָמערץ-שול. אין 1893 טרעט ער אַרויס אין כאָר-קאָנצערטן, און אין 1895 טרעט ער אַריין אין דער טרופּע, וואָס טרייטלער שטעלט צונויף פֿון לאָקאַלע כחות, מיט וועלכער ער פֿירט אויף זיין פּיעסע """	""". אין 1896 טרעט ב. אַריין אין אַ וואַריעטע טרופּע (ה' און פי קלוג, הי קונעשקאָוויטש, ה' און פ' לאָנדאָן), וועלכע וואָנדערט איבער רומעניע. אין פֿלאָיעשט נייט ער איבער אין אַ לעגיטימער טרופּע, וואו עס שפּילן הי און פ'פֿיליפּעסקאָ, ה' ניימאַן, סאַלאָמאָנעסקאָ, גרינפעלד (סופלער) און ח' און פ' ווייסמאָן, מיט וועלכע ער וואָנדערט איבער רומעניע ביז אין 1900 קומט ער אין קאָנאדע, וואו ער טרעט אַריין אין אַ ט"	none	homonym_risk	candidate
HIT-00002	PL-0207	684	כל נדרי	כל נדרי	A	entry_text	P-1-facs_102_r_9	1	בלאַנק לעאָן		1492	1499	" ב. געווען אַ כאָריסט און געוואָרן אַ מיטגליד אין דער כאָריסטן-יוניאָן, טיילמאָל אויך אָנפֿירנדיק מיטן כאָר. אונספּירירט פֿון מאָגולעסקאָ צו ווערן אַן אַקטיאָר, פֿאָרטרעט אַמאָל ב. דעם קראַנק-געוואָרענעם טאָמאָשעווסקי אין דער געזאָנגראָל „קרוינפּרינץ אָלעקסאַנדער“, אָבער ט.'ס „פאַטריאָטן"" זיינען מקבל פּנים ב. מיט פֿוילע עפּל. אַן אַנדער מאָל פֿאָרטרעט ב. דעם קראַנק-געוואָרענעם קעסלער אין שאַרקאַנסקיס „"	""" און באָקומט אַן ענלעכן קבלת-פּנים פֿון ק.'ס „פּאַטריאָטן"". 5 יאָר איז ב. כאָר-דיריגענט און שפּילט גלייכצייטיק פֿאַרשיירענע ראָלן, אָבער ערשט 1897, ווען ער שפּילט „ר' טוביה ניו“ אין לאַטיינערס „דודס פידעלע“, צוט ער אויף זיך די אויפֿמערקזאָמקייט פֿון דער קריטיק און ווערט דערנאָך אָנגאַזשירט אין טעאַטער, וועלכער שפּולט דעם גאָרדין-רעפּערטואָר. ב. איז געווען דער ערשטער צו קרעאירן פֿאָלננדיקע גאָרדיןס טיפן"	none	generic|homonym_risk	candidate
HIT-00003	PL-0070	683	דודס פידעלע	דודס פידעלע	A	entry_text	P-1-facs_102_r_9	1	בלאַנק לעאָן		1692	1703	" טאָמאָשעווסקי אין דער געזאָנגראָל „קרוינפּרינץ אָלעקסאַנדער“, אָבער ט.'ס „פאַטריאָטן"" זיינען מקבל פּנים ב. מיט פֿוילע עפּל. אַן אַנדער מאָל פֿאָרטרעט ב. דעם קראַנק-געוואָרענעם קעסלער אין שאַרקאַנסקיס „כל נדרי"" און באָקומט אַן ענלעכן קבלת-פּנים פֿון ק.'ס „פּאַטריאָטן"". 5 יאָר איז ב. כאָר-דיריגענט און שפּילט גלייכצייטיק פֿאַרשיירענע ראָלן, אָבער ערשט 1897, ווען ער שפּילט „ר' טוביה ניו“ אין לאַטיינערס „"	"“, צוט ער אויף זיך די אויפֿמערקזאָמקייט פֿון דער קריטיק און ווערט דערנאָך אָנגאַזשירט אין טעאַטער, וועלכער שפּולט דעם גאָרדין-רעפּערטואָר. ב. איז געווען דער ערשטער צו קרעאירן פֿאָלננדיקע גאָרדיןס טיפן: „כאַצקעל דראָכמע"" אין „גאָט, מענטש און טייוול“, „טוכיה האָביוני"" אין „אלישע בן אבויה“, „מלכיאל גאַרבער“ אין „דער מטורף“, ""באָריס סטאָווראָפּאָלסקי"" אין „סאפֿאָ“, „שמואל אַשכנזי"" אין „דער אומבאַקאַנטער“ א"	entry		accept
HIT-00004	PL-0133	684	דער דיבוק	דיבוק	A'	entry_text	P-1-facs_102_tr_1740521060	1	בלאַנק. יחיאָל		205	210	"געקומען מיט לאטיינערס און מאָגולעסקאָס טרופּע קיין אָדעם אין 1889, און געשפּילט אין מאָרינסקי-טעאַטער. זיין כעסטע ראָל אין וועלכער ער האָט געהאָט אָ גרויסן דערפֿאָלג איז געווען ""יוקעל גבאי"" אין לאַטיינערס „"	""". אין סוף פֿון די ניינציקער יאָרן טרעפן מיר אים אין אָרגענטינע, וואו ער און אַברהם ניימאַן נעמען צוזאָמען „ליבהאָבער“ און שפּילן מיט זיי אין זאָלן. [גאַנץ מענלעך אַז בלאַנק אַברהם און יחיאָל זיינען איין פּערזאָן]."	none	homonym_risk	candidate
HIT-00005	PL-0186	684	חתנ כלה	חתן כלה	B	entry_text	P-1-facs_102_tr_1740521064	1	בלאַנק, בנימין		1244	1251	"ערגס ""בענקענדע הערצער“, מיכל גאָלדבערנס „משה דער גרונער“, סינעלס „העלאַ שמענדריק"" און „רייזעל מעקאָרטי“, און צו פֿריימאָןס אָפּערעטע „סערקעלע קאַזאָק"", דאָן פירט ב. אויף אין ניו יאָרקער ניישאָנאַל-טעאַטער זיין אָפּערעטע „לינע פֿון פּאָלעסטינע“ (טעקסט פון א. ליליען), און אין 1928-9 אין ליריק-טעאַטער זיינע אָפּערעטן „אַ מלכה אָן אַ מלך“ (טעקסט פון א. ליליען), „רייזעלע פֿון טשייניטאן“ (טעקסט פֿון סיגל), „"	" מזל-טוכ"" (טעקסט פון ליליען) און „די פֿריילעכע מויד“ (טעקסט פֿון א. זאַלאַטאָרעווסקי). ב. אין פֿאָרהייראָט מיט דער אַקטריסע בעטי פֿרענק."	none	homonym_risk	candidate
HIT-00006	PL-0017	683	איר לעצטע טאנצ	איר לעצטער טאַנץ	A'	entry_text	P-1-facs_103_tr_1740521114	1	בלום אַברהם		2903	2919	"1טן אַקטאָבער 1926 ווערט אויפֿגעפֿירט זיין ביבלישע דראַמע „רות"" אין ענגליש אין סעם העריסעס טעאַטער אין ניו יאָרק. ב. האָט איבערזעצט „סם"" פֿון לונאָטשאָרסקי און „די משוגענע"" (פֿון פֿראַנצויזיש) פֿאָרן אַקטיאָר א. אַזרא. ב. איז די לעצטע 3 יאָר געווען פובליסיטי-אָגענט ביי געביל, ניושאָנאַל-טעאַטער און כיי דער „ווילנער טרופּע"". דעם 7טן דעצ. 1927 איז אין האָפּקינסאָן-טעאָטער אויפֿגעפֿירט געוואָרן זיין דראַמע „"	""" (שפּעטער געשפּילט דורך געבילן), דעם 17 פעברואר 1928 איז אין מעקינלי-טעאַטער אויפֿגעפֿירט געוואָרן זיין דראָמע „די ווילדע מויד"". דעם 1 אַקטאָבער 1928 האָט סעמיועל גאָלדענבודג אויפֿגעפֿירט אין ניישאָנאַל-טעאָטער זיין קאָמעדיע-דראָמע „די ליבע פֿון אַ נאָר“ (שפּעטער געשפּילט אין דעטראָיט אינ יאָשקע גולם""), דעם 16 נאָוו. 1928 האָט יאָזער שיינגאָלד אויפֿגעפֿירט אין פֿילאָדעלפֿיער קאָסינאָ-טעאַטער זיין פּיעסע „ו"	none		accept
HIT-00007	PL-0126	684	דער אוצר	אוצר	A'	entry_text	P-1-facs_105_tr_1740521090	1	בלומענפעלד לופּוס [זאב]		1294	1298	" קאָרגער"" פֿון מאָליער און ראָמען ראָלאַזס „וועלף (אויפֿגעפֿירט דורך שוואָרץן דעם 30טן דעצ. 1924 אין ניו יאָרקער יידישן קונסט-טעאַטער) און ראָמען ראָלאָןס „דער שפּיל פֿון לעבן און טויט"". ב. איז געווען באָזונדערס טעטיק אַלס איבערזעצער אויף פֿראָנצויזיש פֿון דער יידישער ליטעראַטור. אַזוי האָט ער איבערזעצט אָשס „נאָט פֿון נקמה"" (געשפּילט געוואָרן דורך דיולענען אין אָטעליע-טעאַטער אין פּאַריז) און פּינסקיס „"	""". ער האָט אויך פֿאָרעפנטלעכט אויף פֿראַנצויזיש זייער פֿיל אָרטיקלען, אָפּשאָצונגען און קריטיק וועגן דער יידישער ליטעראַטור און יידישע קינסטלער. דעם 16 נאוועמבער 1929 איז ב. געשטאָרבן אין פאַריז. געב. יולי 1904 אין ווילנע, פּויליש-ליטע. פֿאָטער — אַן אָנגעשטעלטער. געלערנט אין חדרים, און שפּעטער אין חדר-מתוקן „תורת אמת"", דאָן אַ קורצע צייט אין ישיבה „תפֿאַרת בחורים"". אין 1917 אַריינגעטראָטן אין דער ""גמנ"	none	homonym_risk	candidate
HIT-00008	PL-0148	684	דער מאמעס טאכטערל	מאַמעס	P	entry_text	P-1-facs_105_tr_1740521096	1	בלומענטאָל, דוד		281	287	לויט יעקב פ. אָדלער איז ב. געווען אַ הערקוליסישע פיגור. ב. אין צוערשט געווען אַ בדחן, דערנאָך אַ פֿאָלקסזינגער, דאָן געשפּילט יידיש טעאַטער בוי נפתלי גאָלדפֿאָדען, דערנאָך ביי אַברהם גאָלדפֿאַדען און צו לעצט ביי פישזאָן. ב. פלעגט שפּילן כאַראַקטער-קאָמישע ראָלן און אין אַ נויט אויך „	""". ב. האָט אויך אַליין אָנגעפֿירט מיט קליינע וואַנדער-טרופּעס. געשטאָרבן אין ב. אין יעקאַטערינאָסלאָוו פֿון אַ האָנט-פֿאָרגיפטונג."	none	prefix	candidate
HIT-00009	PL-0268	684	שלומ בית	שלום בית	A	entry_text	P-1-facs_106_r_2	1	בלייך, יהודה		701	709	"ל-תפלה. ביום אויסבראָך פון דער וועלט-מלחמה וואַנדערט אויס זיין פֿאַמיליע, און נאָך אייניקע חדשים קומען זייי אָן אין ווין. דאָרט לערנט ב. ווייטער בערך אַ יאָר אין בית-המדרש. אין 1915 נעמט מען דעם פֿאָטער צו מיליטער-דינסט, און דער 14-יאָריקער ב. מוז ווערן דער פרנסה-געבער אין שטוב. ער נעמט זיך צו פֿאַרשיידענע מלאַכות, און פֿאַרדינענדיק געלט כאָפּט ער זיך אַמאָל אַריין אין יידישן טעאַטער אויף דער פּיעסע """	""". זייט דאָמאָלט ווערט ער אַן אָפֿטער באָזוכער אין טעאַטער, אַ בקי אין די פּיעסן, און קען פֿון אויסווייניק אַ סך ראָלן. אין 1917 טרעט ב. אַריין אין דראָמאָטישן קלוב פֿון פֿאַריין ""ציון“, און שפּילט דאָס ערשטע מאָל אהרן שיפּער“ אין דימאָווס „שמע ישראל' אונטער יעקב מעסטעלס רעזשי. פֿון דאָמאָלט אָן באַטייליקט ער זיך אין די וועכנטלעכע ליטעראָרישע אויפֿפֿירונגען פֿון מעסטעלס און יצחק דייטשס פּראָפעסיאנעלע פֿאָרש"	none	homonym_risk	candidate
HIT-00010	PL-0247	684	ציונ	ציון	A	entry_text	P-1-facs_106_r_2	1	בלייך, יהודה		884	888	"מט מען דעם פֿאָטער צו מיליטער-דינסט, און דער 14-יאָריקער ב. מוז ווערן דער פרנסה-געבער אין שטוב. ער נעמט זיך צו פֿאַרשיידענע מלאַכות, און פֿאַרדינענדיק געלט כאָפּט ער זיך אַמאָל אַריין אין יידישן טעאַטער אויף דער פּיעסע ""שלום בית"". זייט דאָמאָלט ווערט ער אַן אָפֿטער באָזוכער אין טעאַטער, אַ בקי אין די פּיעסן, און קען פֿון אויסווייניק אַ סך ראָלן. אין 1917 טרעט ב. אַריין אין דראָמאָטישן קלוב פֿון פֿאַריין """	“, און שפּילט דאָס ערשטע מאָל אהרן שיפּער“ אין דימאָווס „שמע ישראל' אונטער יעקב מעסטעלס רעזשי. פֿון דאָמאָלט אָן באַטייליקט ער זיך אין די וועכנטלעכע ליטעראָרישע אויפֿפֿירונגען פֿון מעסטעלס און יצחק דייטשס פּראָפעסיאנעלע פֿאָרשטעלונגען. ב. נעמט אַ קורס אין דיקציע אין דער דייטשער שפּראָך ביים רעזשיסער יוליוס האָלער, און גייט דורך די יידישע דראָמאַטישע שול אונטער י. מעסטעלס לייטונג. בינן לבינו שפּילט ער מ	none	generic|homonym_risk	candidate
