play_id	title_yiddish	title_segments_norm	alt_titles	author_db_id	author_heading	attribution_status	same_title_as	df_corpus	ambiguity_flag	source	notes
PL-0001	400 יאָר	400 יאר		683	יאָזעף לאַטיינער	single		3		people_db.created_expressions	
PL-0002	א טאָג פאר דער מאמע	א טאג פאר דער מאמע		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0003	אַ גן-עדן פֿאַר צוויי	א גנ עדנ פאר צוויי		683	יאָזעף לאַטיינער	single		4		people_db.created_expressions	
PL-0004	אַ יאָר נאָך דער חתונה	א יאר נאכ דער חתונה		683	יאָזעף לאַטיינער	single		3		people_db.created_expressions	
PL-0005	אַ יידישע נשמה אָדער אויסגעוואקסן אין קלויסטער	א יידישע נשמה|אויסגעוואקסנ אינ קלויסטער		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		3		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0006	אַ לוסטיקע מינוט	א לוסטיקע מינוט		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0007	אַ מאַמע פֿון יענער וועלט	א מאמע פונ יענער וועלט		683	יאָזעף לאַטיינער	single		1		people_db.created_expressions	
PL-0008	אַ מוטער האַרץ	א מוטער הארצ		683	יאָזעף לאַטיינער	single		1		people_db.created_expressions	
PL-0009	אַ פֿונק ייִדישקייט	א פונק יידישקייט		683	יאָזעף לאַטיינער	single		3		people_db.created_expressions	
PL-0010	אַ קרבן פֿון ליבע	א קרבנ פונ ליבע		683	יאָזעף לאַטיינער	single		2		people_db.created_expressions	
PL-0011	אברהם אבינו אין קאַלך אויוון	אברהמ אבינו אינ קאלכ אויוונ		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		0		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0012	אדם וחוה אָדער דער פֿארלוירענער גן-עדן	אדמ וחוה|דער פארלוירענער גנ עדנ		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		5		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0013	אהבת ציון	אהבת ציונ		683	יאָזעף לאַטיינער	single		7		people_db.created_expressions	
PL-0014	אומערלעכע מוטער	אומערלעכע מוטער		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0015	אונקלס הגר	אונקלס הגר		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		1		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0016	איר ווידוי	איר ווידוי		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0017	איר לעצטע טאנץ	איר לעצטע טאנצ		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0018	אישה רע	אישה רע		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0019	אליהו הנביא, אָדער דער מיליאָנער און בעטלער פאַנטאַסטישע אָפּערעטע אין 5 אַקטן און פּראָלאָג	אליהו הנביא|דער מיליאנער אונ בעטלער פאנטאסטישע אפערעטע אינ 5 אקטנ אונ פראלאג		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		21		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0020	אליהו הנביאס שלאָף-מיצל	אליהו הנביאס שלאפ מיצל		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		1		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0021	אלכּסנדר אָדער קרוינפּרינץ פֿון ירושלים	אלכסנדר|קרוינפרינצ פונ ירושלימ		683	יאָזעף לאַטיינער	single		15	generic	people_db.created_expressions	
PL-0022	אלעקסאַנדער מוקדון	אלעקסאנדער מוקדונ		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		2		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0023	אסתּר און המן	אסתר אונ המנ		683	יאָזעף לאַטיינער	single		3		people_db.created_expressions	
PL-0024	אפֿרים און מנשה	אפרימ אונ מנשה		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0025	ארץ ישראל ליבע אָדער דער רבי און דער צאר	ארצ ישראל ליבע|דער רבי אונ דער צאר		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		2		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0026	אשת-חיל	אשת חיל		683	יאָזעף לאַטיינער	single		9		people_db.created_expressions	
PL-0027	באָס און אַרבעטער	באס אונ ארבעטער		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		1		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0028	באָרניי באַרנאַטא, לעבענסבילד	בארניי בארנאטא לעבענסבילד		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		0		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0029	באראָן ראָטשילד	באראנ ראטשילד		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		5		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0030	בועז אונד רות	בועז אונד רות		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		0		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0031	בוקאַרעשטער פּונגאַש	בוקארעשטער פונגאש		683	יאָזעף לאַטיינער	unattributed_in_works		0		people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0032	בית דוד	בית דוד		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		7		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0033	בית יעקב אבינו, אָדער שמעון און לוי אחים	בית יעקב אבינו|שמעונ אונ לוי אחימ		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		1		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0034	בלימעלע די פּערל פֿון וואַרשע, אָדער גראַף און ייִד [יודע]	בלימעלע די פערל פונ ווארשע|גראפ אונ ייד יודע		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0035	בן הדור	בנ הדור		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		11		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0036	בן המלך	בנ המלכ		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		0		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0037	בן יעקבֿ	בנ יעקב		683	יאָזעף לאַטיינער	single		11		people_db.created_expressions	
PL-0038	בן ישראל	בנ ישראל		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		7		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0039	בני משה, אָדער, די יידן אין כינע	בני משה|די יידנ אינ כינע		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		1		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0040	בעליזאַריע און איזאַבעל	בעליזאריע אונ איזאבעל		683	יאָזעף לאַטיינער	unattributed_in_works		0		people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0041	ברכה, אָדער דער יידישער קעניג פון פּוילן אויף איין נאַכט	ברכה|דער יידישער קעניג פונ פוילנ אויפ איינ נאכט		683	יאָזעף לאַטיינער	unattributed_in_works		39	generic	people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0042	בת יפתח	בת יפתח		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		3		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0043	בת כהן	בת כהנ		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		3		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0044	בת מלכה	בת מלכה		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		0		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0045	בת-שבֿע	בת שבע		683	יאָזעף לאַטיינער	single		21		people_db.created_expressions	
PL-0046	גאָלדעלע	גאלדעלע		683	יאָזעף לאַטיינער	single		3	generic	people_db.created_expressions	
PL-0047	גבריאל	גבריאל		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		22	generic	people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0048	גבריאל, אָדער די ליבע פֿון אַ ייִדישער פֿרוי	גבריאל|די ליבע פונ א יידישער פרוי		683	יאָזעף לאַטיינער	unattributed_in_works		22	generic	people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0049	גדליה בן אחיקום	גדליה בנ אחיקומ		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		0		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0050	גלות רוסלאַנד	גלות רוסלאנד		683	יאָזעף לאַטיינער	single		4		people_db.created_expressions	
PL-0051	דאָן יאָזעף אברבנל	דאנ יאזעפ אברבנל		683	יאָזעף לאַטיינער	unattributed_in_works		1		people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0052	דאָס ייִדישע האַרץ	דאס יידישע הארצ		683	יאָזעף לאַטיינער	single		26		people_db.created_expressions	
PL-0053	דאָס לעבן אין ניו-יאָרק	דאס לעבנ אינ ניו יארק		683	יאָזעף לאַטיינער	single		3		people_db.created_expressions	
PL-0054	דאָס לעבן אין קלאָנדײַק	דאס לעבנ אינ קלאנדייק		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		1		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0055	דאָס פֿינפֿטע געבאָט	דאס פינפטע געבאט		683	יאָזעף לאַטיינער	single		1		people_db.created_expressions	
PL-0056	דאָס ציגײַנער מיידל	דאס ציגיינער מיידל		683	יאָזעף לאַטיינער	single		4		people_db.created_expressions	
PL-0057	דאָס קינד אין וואַלד	דאס קינד אינ וואלד		683	יאָזעף לאַטיינער	single		1		people_db.created_expressions	
PL-0058	דאס גאָלדענע לייטערל	דאס גאלדענע לייטערל		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0059	דאס גאָלדענע קאלב	דאס גאלדענע קאלב		683	יאָזעף לאַטיינער	unattributed_in_works		2		people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0060	דאס הויז פון סודות	דאס הויז פונ סודות		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0061	דאס הייליגע רבילע	דאס הייליגע רבילע		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0062	דאס יודישע קינד	דאס יודישע קינד		683	יאָזעף לאַטיינער	unattributed_in_works		1		people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0063	דאס פּוילישע יינגל	דאס פוילישע יינגל		683	יאָזעף לאַטיינער	unattributed_in_works		8		people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0064	דאס פּוילישע מלמדל	דאס פוילישע מלמדל		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		1		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0065	דאס פערלארענע גליק	דאס פערלארענע גליק		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0066	דאס פרייהייט לעבן	דאס פרייהייט לעבנ		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0067	דגל מחנה יהודה	דגל מחנה יהודה		683	יאָזעף לאַטיינער	unattributed_in_works		6		people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0068	דוד בן ישי	דוד בנ ישי	דוד בן ישי	684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		6		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0069	דודס האַרפע	דודס הארפע		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		3		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0070	דודס פֿידעלע	דודס פידעלע		683	יאָזעף לאַטיינער	unattributed_in_works		17		people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0071	די אלמנה	די אלמנה		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		27		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0072	די בלוטיקע האָכצייט אין קאטהערי	די בלוטיקע האכצייט אינ קאטהערי		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		1		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0073	די בני ישראל	די בני ישראל		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		2		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0074	די גאָלדענע חתונה, אָדער דער אַמעריקאַנער	די גאלדענע חתונה|דער אמעריקאנער		683	יאָזעף לאַטיינער	single		148		people_db.created_expressions	
PL-0075	די גאָלדענע מדינה	די גאלדענע מדינה		683	יאָזעף לאַטיינער	single		4		people_db.created_expressions	
PL-0076	די געהיימניסע פֿון ניו-יאָרק	די געהיימניסע פונ ניו יארק		683	יאָזעף לאַטיינער	single		1		people_db.created_expressions	
PL-0077	די געפֿערלעכע נאָכבארשאפֿט	די געפערלעכע נאכבארשאפט		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		0		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0078	די גרינהאָרנס	די גרינהארנס		683	יאָזעף לאַטיינער	single		4		people_db.created_expressions	
PL-0079	די גרינער שוסטער	די גרינער שוסטער		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0080	די העלדן פֿון האמסטער צײַט בילד	די העלדנ פונ האמסטער צייט בילד		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		1		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0081	די העלדן פון סאַנטיאַגאָ אדער פּאַטריאָטיזמוס און ליבע	די העלדנ פונ סאנטיאגא|פאטריאטיזמוס אונ ליבע		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		1		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0082	די וואָרהייט	די ווארהייט		683	יאָזעף לאַטיינער	unattributed_in_works		26		people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0083	די וועשין	די וועשינ		683	יאָזעף לאַטיינער	unattributed_in_works		2		people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0084	די זילבערנע האכצייט	די זילבערנע האכצייט		683	יאָזעף לאַטיינער	single		3		people_db.created_expressions	
PL-0085	די ייִדישע וועלט	די יידישע וועלט		683	יאָזעף לאַטיינער	single		17		people_db.created_expressions	
PL-0086	די יידן פון וואָרמס	די יידנ פונ ווארמס		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		1		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0087	די לוסטיקע קאַוואַלירן	די לוסטיקע קאוואלירנ		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0088	די ליבע פֿון ירושלים	די ליבע פונ ירושלימ		683	יאָזעף לאַטיינער	unattributed_in_works		1		people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0089	די לייכטזיניגער	די לייכטזיניגער		683	יאָזעף לאַטיינער	unattributed_in_works		0		people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0090	די מאַכט פֿון קונסט	די מאכט פונ קונסט		683	יאָזעף לאַטיינער	unattributed_in_works		0		people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0091	די מחותנים, אׁדער דאָס שפּיל פֿון לעבן	די מחותנימ|דאס שפיל פונ לעבנ		683	יאָזעף לאַטיינער	single		4		people_db.created_expressions	
PL-0092	די מלחמה מיט די שפאַנישע באַרבערן	די מלחמה מיט די שפאנישע בארבערנ		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		0		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0093	די נאַכטוואַנדלערין	די נאכטוואנדלערינ		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0094	די נייע פרימאַדאָנע	די נייע פרימאדאנע		683	יאָזעף לאַטיינער	unattributed_in_works		2		people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
PL-0095	די נשמה פֿון ישראל	די נשמה פונ ישראל		684	פּראָפֿעסאָר משה איש הלוי הורוויץ	single		2		people_db.created_expressions	author corrected from worksReport (created_expressions split bug, 2026-07-26)
PL-0096	די סדר-נאַכט, אָדער דער בלבול-דם	די סדר נאכט|דער בלבול דמ		683	יאָזעף לאַטיינער	single		4		people_db.created_expressions	
PL-0097	די עמיגראַנטן אויס רוסלאַנד	די עמיגראנטנ אויס רוסלאנד		683	יאָזעף לאַטיינער	single		1		people_db.created_expressions	
PL-0098	די עמיגראַציאָן נאָך אַמעריקע	די עמיגראציאנ נאכ אמעריקע		683	יאָזעף לאַטיינער	single		1		people_db.created_expressions	
PL-0099	די ענדע פון רוסישען צאר	די ענדע פונ רוסישענ צאר		683	יאָזעף לאַטיינער	single		0		people_db.created_expressions	
PL-0100	די ערע	די ערע		683	יאָזעף לאַטיינער	unattributed_in_works		5		people_db.created_expressions	worksReport has no author; author kept from (corrupt) created_expressions
