occ	yiddish	linked_qid	linked_label	n_places	linked_in_set	options	methods
2	מעזריטש	Q2069079	Międzyrzec Podlaski Ghetto	2	NO	Mez︠h︡yrichchi︠a︡ (Ukraine)[19737->Q2580559] | Międzyrzec Podlaski (Poland)[223->Q34267]	(blank):2
82	יאָסי	Q46852	Iași	2	yes	Iași (Romania)[669->Q46852] | Yassi Island (Turkey)[3737->Q34784475]	(blank):53|kima_name_exact:29
19	יאַסי	Q46852	Iași	2	yes	Iași (Romania)[669->Q46852] | Yassi Island (Turkey)[3737->Q34784475]	(blank):13|kima_name_exact:6
15	ירושלים	Q1218	Jerusalem	2	yes	Jerusalem (Israel)[691->Q1218] | Jerusalem (Latin Kingdom)[23674->] | Jerusalem (Sancak)[13560->Q111169764]	kima_name_exact:11|(blank):4
13	יאסי	Q46852	Iași	2	yes	Iași (Romania)[669->Q46852] | Yassi Island (Turkey)[3737->Q34784475]	(blank):9|kima_name_exact:4
10	נואַרק	Q25395	Newark	2	yes	New York (N.Y.)[32->Q60] | Newark (N.J.)[7180->Q25395]	audit_corrected:8|(blank):2
3	נואָרק	Q25395	Newark	2	yes	New York (N.Y.)[32->Q60] | Newark (N.J.)[7180->Q25395]	audit_corrected:2|(blank):1
2	דראָהאָביטש	Q158821	Drohobych	2	yes	Dorogobuzh (Russia)[366->Q135446] | Drohobych (Ukraine)[977->Q158821]	(blank):1|audit_corrected:1
2	ניואַרק	Q25395	Newark	2	yes	New York (N.Y.)[32->Q60] | Newark (N.J.)[7180->Q25395]	(blank):1|audit_corrected:1
2	סובאָלק	Q236083	Suwałki	2	yes	Suvalkskai︠a︡ gubernīi︠a︡ (Poland)[20569->Q236083] | Suwałki (Poland : Powiat)[20163->Q1135363] | Suwałki (Poland)[30->Q236083]	kima_name_exact:2
1	סידני	Q3130	Sydney	2	yes	Sydney (N.S.)[9812->Q932261] | Sydney (N.S.W.)[100->Q3130]	(blank):1
1	פיורדאָ	Q3075	Fürth	2	yes	Fürth (Germany : Landkreis)[14301->Q10455] | Fürth (Germany)[167->Q3075]	kima_name_exact:1
1	נו-אָרק	Q25395	Newark	2	yes	New York (N.Y.)[32->Q60] | Newark (N.J.)[7180->Q25395]	(blank):1
1	לינץ	Q41329	Linz (Austria)	2	yes	Linz (Austria)[1683->Q41329] | Lynch (Ky.)[16956->Q2012501]	kima_name_exact:1
1	בית אל	Q430939	Bet El (West Bank)	2	yes	Bet El (West Bank)[698->Q430939] | Bethel (Extinct city)[26102->Q3876767]	kima_name_exact:1
1	New York	Q3708418	New York (State), Western	2	yes	New York (State)[9561->Q1384] | New York (State), Western[5131->Q3708418]	kima_name_exact:1
1	ציריך	Q72	Zurich (Switzerland)	2	yes	Zurich (Switzerland : Canton)[8559->Q11943] | Zurich (Switzerland)[434->Q72]	kima_name_exact:1
1	בן-שמן	Q2777009	Kefar ha-Noar Ben Shemen (Israel)	2	yes	Ben Shemen (Israel)[26097->Q2895304] | Kefar ha-Noar Ben Shemen (Israel)[21911->Q2777009]	kima_name_exact:1
