verdict	occ	yiddish	kima_qid	kima_rom	wd_top_place	wd_top_desc
DISAGREE_PLACE	419	אַמעריקע	Q30	United States	Q828	North America and South America taken together a
DISAGREE_PLACE	125	אַמעריקע	Q30	United States	Q828	North America and South America taken together a
DISAGREE_PLACE	62	אמעריקע	Q30	United States	Q828	North America and South America taken together a
DISAGREE_PLACE	58	כאַרקאָוו	Q42308	Kharkiv (Ukraine)	Q170666	oblast of Ukraine
DISAGREE_PLACE	21	אָמעריקע	Q30	United States	Q828	North America and South America taken together a
DISAGREE_PLACE	14	אָרץ-ישראל	Q801	Israel	Q23792	geographic region in West Asia
DISAGREE_PLACE	8	וואַרשעווער	Q270	Warsaw (Poland)	Q4868751	neighbourhood in Jerusalem
DISAGREE_PLACE	8	נואַרק	Q60	New York (N.Y.)	Q25395	city in Essex County, and largest city in New Je
DISAGREE_PLACE	7	כאָרקאָוו	Q42308	Kharkiv (Ukraine)	Q170666	oblast of Ukraine
DISAGREE_PLACE	7	ארץ-ישראל	Q801	Israel	Q23792	geographic region in West Asia
DISAGREE_PLACE	5	קעניגסבערג	Q1829	Kaliningrad (Russia)	Q4120832	historic capital of East Prussia, since 1945 Rus
DISAGREE_PLACE	4	מאָהילעוו	Q997469	Mohyliv-Podilʹsʹkyĭ (Ukraine)	Q586369	governorate of the Russian Empire
DISAGREE_PLACE	4	קובאַ	Q647982	Quba (Azerbaijan)	Q241	sovereign state situated on an island in the Car
DISAGREE_PLACE	3	יאָס'	Q46852	Iași (Romania)	Q189655	county of Hungary
DISAGREE_PLACE	3	פּאָלטאָוואַ	Q156747	Poltava (Ukraine)	Q169501	oblast of Ukraine
DISAGREE_PLACE	3	פּאָלטאָוואָ	Q156747	Poltava (Ukraine)	Q169501	oblast of Ukraine
DISAGREE_PLACE	3	טשעלסי	Q743535	Chelsea (London, England)	Q1069129	neighborhood of Manhattan in New York City, New 
DISAGREE_PLACE	3	לידע	Q241475	Lida (Belarus)	Q3829397	suburb of Perth, Western Australia
DISAGREE_PLACE	3	סקאַלאַ	Q969475	Skala-Podilʹsʹka (Ukraine)	Q149159	city of Ukraine
DISAGREE_PLACE	2	וויליאַמסבורג	Q492346	Williamsburg (Va.)	Q771572	neighborhood of Brooklyn in New York City, USA
DISAGREE_PLACE	2	לידז	Q580	Łódź (Poland)	Q39121	city in West Yorkshire, England, United Kingdom
DISAGREE_PLACE	2	נואָרק	Q60	New York (N.Y.)	Q25395	city in Essex County, and largest city in New Je
DISAGREE_PLACE	2	קוראָוו	Q2316	Kurów (Lublin, Poland)	Q5194976	suburb of Sydney, New South Wales, Australia
DISAGREE_PLACE	1	מיזורי	Q1581	Missouri	Q980055	city in Fort Bend and Harris counties, Texas, Un
DISAGREE_PLACE	1	ניואַרק	Q60	New York (N.Y.)	Q25395	city in Essex County, and largest city in New Je
